date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-10-28,39.23,38.3158,-2.3304,67.4171,54.9264,9.0458,7.0067,10407452785.22,26.4857,30.4019,8.0,1.0,25.0,12.4394,34.439675572519086,17.677409646058802,27.39101904761905,20.74752817123316,52.11708521857789,6.64349087638589
2024-10-29,39.25,38.3158,-2.3801,67.4515,55.0303,9.0505,7.0067,10412758649.5,26.4857,30.4019,8.0,1.0,25.0,12.4394,34.29967642585551,17.789121280517286,26.885546825396823,20.690318574992244,52.0887977063728,6.195228250404583
2024-10-30,38.62,38.3158,-0.7877,66.3688,55.0736,8.9052,7.0077,10245623924.68,26.4857,30.4019,8.0,1.0,25.0,12.4394,34.1667696969697,17.886110299243942,26.404042063492064,20.622123442083645,52.05287999621365,5.781918621408419
2024-10-31,38.03,38.65,1.6303,66.0472,55.1169,8.7767,7.0087,10089100928.42,26.428,28.9914,9.0,1.0,25.0,13.6781,34.043990566037735,17.963739857393687,25.94784523809524,20.52837275695316,52.00773042343143,5.419472481142083
2024-11-01,39.64,39.05,-1.4884,68.8792,55.1775,9.1525,7.0144,10516223002.96,26.4022,28.9728,9.0,1.0,25.0,13.6781,33.91041015037594,18.06169041370749,25.46577301587302,20.45307089139392,51.97210056408343,5.012702124479098
2024-11-04,39.47,39.05,-1.0641,68.5838,55.2381,9.1133,7.0202,10471123156.58,26.399,28.9381,10.0,1.0,25.0,13.6781,33.77941947565543,18.15432694386469,25.02734841269841,20.42474401631405,51.93374641952012,4.602604396384361
2024-11-05,39.19,39.05,-0.3572,68.0973,55.4805,9.0486,7.0214,10396841056.66,26.399,28.9381,10.0,1.0,25.0,13.6781,33.65204402985074,18.23988413981456,24.60290793650794,20.391884885016776,51.891928169665306,4.211023051491164
2024-11-06,40.36,39.05,-3.2458,70.1181,55.7229,9.4088,7.0225,10810618476.84,26.399,28.9352,10.0,1.0,25.0,13.6781,33.51487732342007,18.34429437153065,24.051119047619046,20.19482343069811,51.85917169495073,3.856295616920935
2024-11-07,33.95,41.9,23.4168,59.6661,55.7922,7.8858,7.047,9093669407.55,26.3895,26.6231,12.0,1.0,25.0,13.6726,33.47747703703703,18.320475669929568,23.903422222222225,20.13025534094144,51.7979527069666,3.77316688128078
2024-11-08,33.35,41.85,25.4873,59.1522,55.8615,7.7353,7.0715,8932956546.15,26.4632,26.1313,12.0,1.0,25.0,9.7778,33.44799298892989,18.292957690315987,23.751663492063493,20.044807307731737,51.74095067924588,3.7068561843317553
2024-11-11,35.09,41.85,19.2647,62.2273,55.8788,8.1388,7.0781,9399023844.21,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.395848529411765,18.2794167212146,23.56725634920635,19.977714677067507,51.67526525062637,3.589541672138843
2024-11-12,36.53,41.85,14.5634,64.781,55.8961,8.4728,7.0847,9784734711.57,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.3268652014652,18.28134993674235,23.318518253968254,19.89230227134665,51.60821513820756,3.4262159826216028
2024-11-13,36.67,41.85,14.126,65.0293,55.9567,8.5053,7.087,9822234379.23,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.256789051094884,18.284667729934046,23.12981031746032,19.86560116597461,51.54145678102893,3.264209151485709
2024-11-14,36.95,41.85,13.2612,65.5258,56.0173,8.5702,7.0893,9897233714.55,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.18407781818182,18.29105789244164,22.915840476190475,19.82518843748093,51.475135710623455,3.090652038709542
2024-11-15,35.16,41.85,19.0273,62.3515,56.303,8.1551,7.098,9417773678.04,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.13278514492754,18.277646068569304,22.7902,19.799046172775068,51.41043121349684,2.991153827224931
2024-11-18,34.78,41.85,20.3278,61.6776,56.5887,8.0669,7.1066,9315988865.82,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.086557761732855,18.260719583657025,22.653353968253967,19.755612506686376,51.34727734538989,2.897741461567591
2024-11-19,34.46,41.85,21.4452,61.1101,57.0417,7.9927,7.112,9230275339.74,26.4632,26.1293,12.0,1.0,25.0,9.7778,33.044682374100724,18.24109540191843,22.50888095238095,19.69680435207583,51.28577777601915,2.8120766003051187
2024-11-20,35.06,41.85,19.3668,62.1741,57.4947,8.1319,7.1174,9390988201.14,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.99565770609319,18.22666226716306,22.361766666666668,19.650073456355297,51.22231997325625,2.7116932103113704
2024-11-21,36.62,41.85,14.2818,64.9406,57.6824,8.4937,7.1336,9808841640.78,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.928822499999995,18.2283087731278,22.12204523809524,19.5620460646778,51.15713127312779,2.559999173417438
2024-11-22,36.89,41.85,13.4454,65.4194,57.87,8.5563,7.1499,9881162428.41,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.85948647686833,18.232812749519205,21.86837222222222,19.464662719645087,51.09229922638753,2.403709502577133
2024-11-25,37.24,41.85,12.3792,66.0401,57.922,8.6375,7.1553,9974911597.56,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.78686134751773,18.24115675798033,21.60476349206349,19.36543826200315,51.02801810549806,2.239325230060341
2024-11-26,37.11,41.85,12.7728,65.8095,57.974,8.6074,7.1607,9940090477.59,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.716140282685515,18.247610452631733,21.32730793650793,19.23812586419622,50.96375073531725,2.089182072311715
2024-11-27,36.6,41.85,14.3443,64.9051,58.0041,8.4891,7.163,9803484545.4,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.651450704225354,18.247935848020227,21.04066031746032,19.068879519661657,50.89938655224558,1.9717807977986617
2024-11-29,37.14,41.85,12.6817,65.8627,58.0342,8.6143,7.1653,9948126120.66,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.58138140350877,18.25414854687111,20.73606984126984,18.891222624388348,50.83552995037988,1.8448472168814936
2024-12-02,37.28,41.85,12.2586,66.111,58.1138,8.6468,7.1684,9985625788.32,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.51032272727273,18.261677836354856,20.41310873015873,18.682754595641462,50.77200056362759,1.7303541345172668
2024-12-03,38.5,41.85,8.7013,68.2745,58.1933,8.9298,7.1715,10312408606.5,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.42736445993031,18.28381764417691,20.046521428571427,18.452566874698388,50.71118210410722,1.59395455387304
2024-12-04,38.96,41.85,7.4179,69.0903,58.2222,9.0364,7.1742,10435621800.24,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.340526041666664,18.31133443062397,19.685142063492066,18.24772410133098,50.65186047229064,1.437417962161085
2024-12-05,38.07,42.05,10.4544,67.512,58.2511,8.83,7.1769,10197231055.83,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.264795501730106,18.32479640839458,19.35487857142857,18.03225311625189,50.58959191012468,1.3226254551766772
2024-12-06,39.74,42.05,5.8128,70.4735,58.2684,9.2174,7.1918,10644548520.06,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.17358172413793,18.35889480558124,18.987776984126985,17.830660020165965,50.53247652971916,1.1571169639610197
2024-12-09,40.41,42.05,4.0584,71.6616,58.2857,9.3728,7.2066,10824011215.29,26.4632,26.1293,12.0,1.0,25.0,9.7778,32.07696597938144,18.40117250907866,18.6099626984127,17.63605057701855,50.4781384884601,0.9739121213941502
2024-12-10,38.57,42.2,9.4115,68.3987,58.4063,8.946,7.2216,10331158440.33,26.4632,26.1293,12.0,1.0,25.0,9.7778,31.999344520547947,18.41735300026661,18.266858730158727,17.387430758279443,50.41669752081456,0.8794279718792843
2024-12-11,39.41,42.2,7.0794,69.9007,58.5269,9.1407,7.2367,10556156446.29,26.4632,26.13,12.0,1.0,25.0,9.7778,31.914293515358363,18.443338033763368,17.95118492063492,17.22456503648698,50.35763154912173,0.7266198841479401
2024-12-12,39.24,42.2,7.5433,69.5991,58.7353,9.1013,7.2414,10510621135.56,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.83139897959184,18.466618412471764,17.601777777777777,16.981994183166506,50.2980173920636,0.6197835946112704
2024-12-13,39.06,42.2,8.0389,69.2799,58.9437,9.0596,7.246,10462407277.14,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.750746440677965,18.48715777747617,17.281170634920638,16.775291537315518,50.237904218154135,0.5058790976051206
2024-12-16,41.63,42.2,1.3692,73.8382,58.9837,9.6556,7.2472,11150794033.47,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.648106081081085,18.54008673685019,16.868307936507936,16.51766904542936,50.18819281793128,0.3506388910785745
2024-12-17,43.18,42.2,-2.2696,76.5874,59.0237,10.0152,7.2484,11565968925.42,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.533905050505048,18.61308644282788,16.426024603174604,16.27439044408449,50.14699149333293,0.1516341590901149
2024-12-18,41.99,42.2,0.5001,74.4768,59.0356,9.7391,7.2506,11247221750.31,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.42976476510067,18.66848596088743,16.009506349206347,16.00061329460462,50.0982507259881,0.008893054601728
2024-12-19,42.78,42.2,-1.3558,75.878,59.0476,9.9224,7.2529,11458827017.82,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.32011404682274,18.733334572537984,15.567932539682538,15.700857716941815,50.05344861936072,-0.1329251772592794
2024-12-20,44.08,42.95,-2.5635,78.1838,59.0523,10.2239,7.254,11807038217.52,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.207168666666668,18.804018633753422,15.10738492063492,15.368753877881234,50.01118730042009,-0.2613689572463151
2024-12-23,42.83,42.95,0.2802,75.9667,59.057,9.934,7.2552,11472219756.27,26.4632,26.1448,12.0,1.0,25.0,9.7778,31.10442126245848,18.85709801303333,14.74121507936508,15.165077300107953,49.9615192754918,-0.4238622207428708
2024-12-24,43.53,42.95,-1.3324,77.2082,59.1046,10.0963,7.2644,11659718094.57,26.4632,26.1448,12.0,1.0,25.0,9.7778,30.997014569536425,18.91805261025311,14.355294444444445,14.947209438737636,49.91506717978953,-0.5919149942931927
2024-12-26,43.37,42.95,-0.9684,76.9244,59.1522,10.0592,7.2736,11616861331.53,26.4632,26.1448,12.0,1.0,25.0,9.7778,30.89151815181518,18.97577076375492,14.04135873015873,14.849264376744117,49.8672889155701,-0.807905646585386
2024-12-27,42.77,42.95,0.4209,75.8602,59.2031,9.9201,7.2805,11456148470.13,26.4632,26.1448,12.0,1.0,25.0,9.7778,30.79128585526316,19.02486882172883,13.739333333333333,14.734869729867269,49.81615467699199,-0.995536396533934
