date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-02-24,13.24,17.5,32.1752,140.8511,4.3377,0.5435,1.4298,2297814856.04,90.4967,160.7609,8.0,1.0,12.0,1.0158
2017-02-27,13.16,17.5,32.9787,140.0,4.3443,0.5402,1.4298,2283930778.36,90.4967,160.7609,8.0,1.0,12.0,1.0158
2017-02-28,13.02,17.5,34.4086,138.5106,4.3459,0.5344,1.4298,2259633642.42,90.4967,160.7609,8.0,1.0,12.0,1.0158
2017-03-01,12.98,17.5,34.8228,138.0851,4.3475,0.5328,1.4293,2252691603.58,90.4967,160.7609,8.0,1.0,12.0,1.0158
2017-03-02,12.57,17.47,38.9817,120.9817,4.3492,0.518,1.4287,2181535705.47,90.4798,151.9997,10.0,1.0,12.0,1.0158
2017-03-03,12.5,17.2545,38.036,229.7794,4.3508,0.5159,1.4282,2169387137.5,90.5189,329.5068,11.0,1.0,12.0,1.0158
2017-03-06,12.87,17.2545,34.0676,236.5809,4.3574,0.5312,1.4276,2233600996.77,90.5189,329.5068,11.0,1.0,12.0,1.0158
2017-03-07,12.8,17.1083,33.6586,163.0573,4.3639,0.5274,1.427,2221452428.8,90.5805,218.1984,12.0,1.0,12.0,1.0158
2017-03-08,12.84,17.1083,33.2422,163.5669,4.3754,0.529,1.4265,2228394467.64,90.5805,218.1984,12.0,1.0,12.0,1.0158
2017-03-09,12.53,17.1083,36.5387,159.6178,4.3869,0.5162,1.426,2174593666.63,90.5805,218.1984,12.0,1.0,12.0,1.0158
2017-03-10,12.76,17.1083,34.0776,162.5478,4.3886,0.5257,1.4254,2214510389.96,90.5805,218.1984,12.0,1.0,12.0,1.0158
2017-03-13,12.97,17.1083,31.9067,165.2229,4.3902,0.5344,1.4205,2250956093.87,90.5805,218.1984,12.0,1.0,12.0,1.0158
2017-03-14,12.8,17.1083,33.6586,163.0573,4.3934,0.5274,1.4156,2221452428.8,90.5805,218.1984,12.0,1.0,12.0,1.0158
