date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2025-03-06,61.51,77.0,25.1829,29.1613,35.9942,6.4982,5.9163,1430440822.69,33.4506,46.798,1.0,1.0,201.0,44.737
2025-03-07,67.72,77.0,13.7035,32.1054,35.8551,7.1543,5.9247,1574856974.68,33.4506,46.798,1.0,1.0,201.0,44.737
2025-03-10,67.7,77.0,13.7371,32.096,35.7703,7.1522,5.9262,1574391866.3,33.4506,46.798,1.0,1.0,201.0,44.737
2025-03-11,68.22,77.0,12.8701,32.3425,35.6855,7.2071,5.9276,1586484684.18,33.4506,46.798,1.0,1.0,201.0,44.737
2025-03-12,69.21,77.0,11.2556,32.8118,35.6458,7.3117,5.928,1609507548.99,33.4506,46.798,1.0,1.0,201.0,44.737
2025-03-13,67.44,77.4444,14.8345,31.9727,35.6061,7.0685,5.9285,1568345457.36,34.2887,46.798,1.0,1.0,201.0,46.618
2025-03-14,72.57,77.4444,6.7168,34.4048,35.4904,7.6062,5.9334,1687645756.83,34.2887,46.798,1.0,1.0,201.0,46.618
2025-03-17,73.66,77.4444,5.1377,34.9215,35.3746,7.7204,5.9382,1712994163.54,34.2887,46.798,1.0,1.0,201.0,46.618
2025-03-18,72.35,77.4444,7.0413,34.3005,35.3682,7.5831,5.9442,1682529564.65,34.2887,46.798,1.0,1.0,201.0,46.618
2025-03-19,80.2,77.5556,-3.2973,37.5398,35.3746,8.4012,5.9501,1865084603.8,34.2608,45.941,2.0,1.0,201.0,45.9433
2025-03-20,79.68,77.5556,-2.6662,37.2964,35.4904,8.3467,5.9501,1852991785.92,34.2608,45.941,2.0,1.0,201.0,45.9433
2025-03-21,77.05,77.5556,0.6562,36.0653,35.6061,8.0712,5.9501,1791830033.95,34.2608,45.941,2.0,1.0,201.0,45.9433
2025-03-24,81.58,79.2222,-2.8902,38.1857,35.6458,8.4684,5.951,1897177082.02,35.1754,45.941,2.0,1.0,201.0,45.9433
2025-03-25,79.18,79.2222,0.0533,37.0623,35.6855,8.2193,5.9519,1841364076.42,35.1754,45.941,2.0,1.0,201.0,45.9433
2025-03-26,78.51,79.2222,0.9071,36.7487,35.7703,8.1497,5.9554,1825782945.69,35.1754,45.941,2.0,1.0,201.0,45.9433
2025-03-27,76.26,79.2222,3.8843,35.6956,35.6956,7.9162,5.9588,1773458252.94,35.1754,45.941,2.0,1.0,201.0,45.9433
2025-03-28,69.69,79.2222,13.678,32.8154,35.6906,7.2311,5.96,1620670150.11,36.6783,48.0029,3.0,1.0,201.0,45.9433
2025-03-31,71.94,79.2222,10.1226,33.8748,35.6855,7.4645,5.9611,1672994842.86,36.6783,48.0029,3.0,1.0,201.0,45.9433
2025-04-01,72.63,79.2222,9.0764,34.1997,35.6458,7.5361,5.9623,1689041081.97,36.6783,48.0029,3.0,1.0,201.0,45.9433
2025-04-02,74.54,79.2222,6.2815,34.9395,35.6061,7.7121,5.9635,1733458932.26,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-03,66.37,79.2222,19.3645,31.11,35.4904,6.8668,5.9678,1543462159.03,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-04,59.64,79.2222,32.834,27.9554,35.3746,6.1705,5.9721,1386953189.16,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-07,61.92,79.2222,27.9428,29.0241,35.3682,6.4064,5.9744,1439975544.48,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-08,60.49,79.2222,30.9674,28.3538,35.3617,6.2585,5.9768,1406720295.31,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-09,67.99,79.2222,16.5204,31.8693,35.1836,7.0344,5.979,1581135937.81,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-10,62.85,79.2222,26.0496,29.46,35.0056,6.5026,5.9813,1461603084.15,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-11,65.69,79.2222,20.6001,30.7912,34.9857,6.7965,5.9818,1527648474.11,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-14,67.92,79.2222,16.6405,31.8365,34.9658,7.0272,5.9822,1579508058.48,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-15,67.04,79.2222,18.1715,31.424,34.9527,6.9361,5.9826,1559043289.76,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-16,67.65,79.2222,17.106,31.7099,34.9395,6.9993,5.9831,1573229095.35,36.9005,48.5328,3.0,1.0,201.0,45.9433
2025-04-17,69.05,79.2222,14.7316,31.1879,34.9388,7.1521,5.9838,1605786681.95,36.8584,49.0465,3.0,1.0,201.0,45.8245
2025-04-21,65.41,79.2222,21.1163,29.5438,34.9382,6.7652,5.9846,1521136956.79,36.9989,56.9733,4.0,1.0,201.0,45.8245
2025-04-22,68.3,79.2222,15.9915,30.8491,34.9298,7.0642,5.9903,1588345117.7,36.9989,56.9658,4.0,1.0,201.0,45.8245
2025-04-23,69.98,79.2222,13.2069,31.7586,34.9215,7.254,5.996,1627414221.62,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-04-24,71.82,79.2222,10.3066,32.5936,34.895,7.4448,5.9983,1670204192.58,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-04-25,72.0,79.2222,10.0308,32.6753,34.8686,7.4634,6.0005,1674390168.0,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-04-28,74.17,79.2222,6.8116,33.6601,34.705,7.6884,6.0113,1724854427.23,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-04-29,74.27,79.2222,6.6678,33.7055,34.5414,7.6987,6.0221,1727179969.13,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-04-30,72.45,79.2222,9.3474,32.8795,34.5246,7.5101,6.0329,1684855106.55,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-05-01,74.95,79.2222,5.7001,34.0141,34.5079,7.7692,6.0437,1742993654.05,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-05-02,78.44,79.2222,0.9972,35.5979,34.5246,8.131,6.0496,1824155066.36,36.9472,56.8496,4.0,1.0,201.0,45.5834
2025-05-05,76.71,79.2222,3.2749,34.8128,34.5414,7.9517,6.0554,1783923191.49,36.9472,56.8496,4.0,1.0,201.0,45.5834
