date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2019-09-26,18.0,23.1809,28.7828,58.1583,31.6057,0.8033,0.8395,3267078930.0,4.259,125.2306,7.0,1.0,78.8,139.8439,16.70877894736842,8.552137204583643,20.25986507936508,4.52063246283645,25.26091615195206,15.739232616528628
2019-09-27,18.0,23.1809,28.7828,58.1583,31.8103,0.8033,0.8395,3267078930.0,4.259,125.2306,7.0,1.0,78.8,139.8439,16.736345205479452,8.561805889992256,20.33087063492064,4.583745464505064,25.29815109547171,15.747125170415568
2019-09-30,18.0,23.1809,28.7828,58.1583,32.0149,0.8033,0.8395,3267078930.0,4.259,125.2306,7.0,1.0,78.8,139.8439,16.763785876993165,8.57133134284258,20.399243650793647,4.645134912873824,25.335117219835745,15.754108737919822
2019-10-01,18.0,23.1809,28.7828,58.0458,32.2042,0.8033,0.8395,3267078930.0,4.259,125.1034,7.0,1.0,78.8,139.8439,16.79110181818182,8.580715543130141,20.467616666666665,4.704722063812053,25.37181736131196,15.762894602854612
2019-10-02,18.0,23.1809,28.7828,58.1583,32.3936,0.8033,0.8395,3267078930.0,4.259,125.2306,7.0,1.0,78.8,139.8439,16.81829387755102,8.589960436094398,20.53598968253968,4.7625745663593175,25.40825431364542,15.773415116180365
2019-10-03,18.0,23.8757,32.6428,43.0519,32.6642,0.7996,0.8395,3267078930.0,4.4593,123.7493,6.0,1.0,78.8,139.8439,16.85409592760181,8.613167340794423,20.6273746031746,4.882979693096192,25.46726326839624,15.744394910078409
2019-10-04,18.0,22.6082,25.6011,43.0519,32.9347,0.7996,0.8395,3267078930.0,4.4578,123.7493,6.0,1.0,78.8,139.8439,16.873840857787812,8.613449803767056,20.66287301587301,4.902868202322593,25.487290661554862,15.76000481355042
2019-10-07,18.0,22.6082,25.6011,46.5839,32.9933,0.8077,0.8395,3267078930.0,4.0048,121.3981,6.0,1.0,78.8,139.8439,16.893496846846848,8.613685925512732,20.698371428571427,4.922418318133586,25.507182772359577,15.77595311043784
2019-10-08,18.0,22.6241,25.6894,46.6926,33.0518,0.8091,0.8395,3267078930.0,3.9886,121.1923,6.0,1.0,78.8,139.8439,16.913262921348316,8.614077926654861,20.73457063492064,4.942336032089556,25.527340848003178,15.79223460283108
2019-10-09,18.0,22.3796,24.3311,39.9202,33.0518,0.8105,0.8395,3267078930.0,3.8196,128.2404,7.0,1.0,78.8,139.8439,16.92989484304933,8.611559939047982,20.759989682539683,4.952602766462563,25.54145478209731,15.80738691607712
2019-10-10,18.0,22.3796,24.3311,39.9202,33.0518,0.8105,0.8395,3267078930.0,3.8196,128.2404,7.0,1.0,78.8,139.8439,16.946452348993287,8.609020523662952,20.78540873015873,4.962717025646648,25.55547287265624,15.82269170451208
2019-10-11,18.0,22.3796,24.3311,39.9202,33.1604,0.8105,0.8395,3267078930.0,3.8196,128.2404,7.0,1.0,78.8,139.8439,16.9629359375,8.606460014229755,20.81082777777777,4.972679740029731,25.56939595172976,15.838148037748049
2019-10-14,18.0,22.3796,24.3311,39.9202,33.2691,0.8105,0.8395,3267078930.0,3.8196,128.2404,7.0,1.0,78.8,139.8439,16.979346102449888,8.603878739667946,20.836246825396827,4.982491818673642,25.58322484211784,15.853755006723183
2019-10-15,18.0,21.9587,21.9928,38.3468,33.2691,0.8105,0.8395,3267078930.0,3.8196,126.1588,8.0,1.0,78.8,139.8439,16.99048711111111,8.597541164710883,20.843107936507938,4.9834923330147145,25.588028275822,15.859615603493223
2019-10-16,18.0,21.9587,21.9928,38.3468,33.2691,0.8105,0.8395,3267078930.0,3.8196,126.1588,8.0,1.0,78.8,139.8439,17.001578713968957,8.591212729294417,20.849969047619048,4.984483126703733,25.592791443263373,15.865485920915315
2019-10-17,18.0,21.9587,21.9928,38.3468,33.2691,0.8105,0.8395,3267078930.0,3.8196,126.1588,8.0,1.0,78.8,139.8439,17.012621238938053,8.584893456993475,20.85683015873016,4.985464205536243,25.59751469593153,15.87136595319392
2019-10-18,18.0,21.9587,21.9928,38.3468,33.2691,0.8105,0.8395,3267078930.0,3.8196,126.1588,8.0,1.0,78.8,139.8439,17.023615011037528,8.578583370552884,20.86369126984127,4.986435575246422,25.60219838159041,15.877255694594847
