date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-05-18,17.14,18.4286,7.5181,11.8044,11.699,0.9866,0.9252,3786260280.0,5.443,17.1937,2.0,4.0,5.0,1.0438
2010-05-19,16.77,18.4286,9.8903,11.5496,11.6967,0.9653,0.9254,3704526540.0,5.443,17.1937,2.0,4.0,5.0,1.0438
2010-05-20,16.06,18.4286,14.7484,11.0606,11.6806,0.9245,0.9249,3547686120.0,5.443,17.1937,2.0,4.0,5.0,1.0438
2010-05-21,15.89,18.4375,16.0321,10.9616,11.6741,0.9152,0.9245,3510132780.0,5.4428,17.1897,2.0,4.0,5.0,0.7201
2010-05-24,15.79,18.4375,16.7669,10.8927,11.6671,0.9094,0.9232,3488042580.0,5.4428,17.1897,2.0,4.0,5.0,0.7201
2010-05-25,15.57,18.4375,18.4168,10.7409,11.6667,0.8968,0.9225,3439444140.0,5.4428,17.1897,2.0,4.0,5.0,0.7201
2010-05-26,15.61,18.4375,18.1134,10.7685,11.6627,0.8991,0.9218,3448280220.0,5.4428,17.1897,2.0,4.0,5.0,0.7201
2010-05-27,16.03,18.4375,15.0187,11.0582,11.6563,0.9233,0.9218,3541059060.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-05-28,16.07,18.4375,14.7324,11.0858,11.6476,0.9256,0.9218,3549895140.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-01,15.78,18.4375,16.8409,10.8858,11.6366,0.9089,0.9211,3485833560.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-02,16.1,18.4375,14.5186,11.1065,11.631,0.9273,0.9214,3556522200.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-03,16.36,18.4375,12.6987,11.2859,11.625,0.9423,0.9214,3613956720.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-04,15.7,18.4375,17.4363,10.8306,11.6233,0.9042,0.9208,3468161400.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-07,15.78,18.4375,16.8409,10.8858,11.6096,0.9089,0.9198,3485833560.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-08,15.85,18.4375,16.3249,10.9341,11.5972,0.9129,0.919,3501296700.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-09,15.85,18.4375,16.3249,10.9341,11.5958,0.9129,0.9181,3501296700.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-10,16.18,18.4375,13.9524,11.1617,11.5919,0.9319,0.9181,3574194360.0,5.4428,16.5297,3.0,4.0,5.0,0.7201
2010-06-11,16.2,18.2778,12.8259,11.2289,11.5892,0.9357,0.9181,3578612400.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-14,16.23,18.2778,12.6174,11.2497,11.5758,0.9374,0.917,3585239460.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-15,16.55,18.2778,10.4399,11.4715,11.5694,0.9559,0.9176,3655928100.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-16,16.78,18.2778,8.9261,11.631,11.5758,0.9692,0.9176,3706735560.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-17,16.93,18.2778,7.961,11.7349,11.5758,0.9778,0.9176,3739870860.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-18,16.77,18.2778,8.9911,11.624,11.5758,0.9686,0.9176,3704526540.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-21,16.57,18.2778,10.3066,11.4854,11.5554,0.957,0.917,3660346140.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-22,16.17,18.2778,13.0353,11.2082,11.5526,0.9339,0.917,3571985340.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-23,15.91,18.2778,14.8825,11.0279,11.5511,0.9189,0.9176,3514550820.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-24,15.91,18.2778,14.8825,11.0279,11.5491,0.9189,0.9176,3514550820.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-25,16.08,18.2778,13.6679,11.1458,11.5486,0.9287,0.9176,3552104160.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-28,16.25,18.2778,12.4788,11.2636,11.5396,0.9385,0.917,3589657500.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-29,15.86,18.2778,15.2446,10.9933,11.5387,0.916,0.917,3503505720.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-06-30,15.87,18.2778,15.172,11.0002,11.5353,0.9166,0.9168,3505714740.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-07-01,15.68,18.2778,16.5676,10.8685,11.5303,0.9056,0.9163,3463743360.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-07-02,15.74,18.2778,16.1233,10.9101,11.5234,0.9091,0.9156,3476997480.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-07-06,15.92,18.2778,14.8103,11.0349,11.504,0.9195,0.9152,3516759840.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-07-07,16.45,18.2778,11.1112,11.4022,11.4941,0.9501,0.9152,3633837900.0,5.4429,16.5127,3.0,4.0,5.0,0.5875
2010-07-08,16.59,18.2778,10.1736,11.5232,11.4941,0.9582,0.9152,3664764180.0,5.4426,16.205,4.0,4.0,5.0,0.5875
2010-07-09,16.77,18.2778,8.9911,11.6483,11.4941,0.9686,0.9152,3704526540.0,5.4426,16.205,4.0,4.0,5.0,0.5875
2010-07-12,16.99,18.2778,7.5798,11.8011,11.4941,0.9813,0.9152,3753124980.0,5.4426,16.205,4.0,4.0,5.0,0.5875
2010-07-13,17.18,18.2778,6.39,11.933,11.4941,0.9923,0.9152,3795096360.0,5.4426,16.205,4.0,4.0,5.0,0.5875
2010-07-14,17.21,18.3333,6.527,11.9539,11.4941,0.994,0.9152,3801723420.0,5.4426,16.205,4.0,4.0,5.0,0.5875
2010-07-15,17.36,18.3333,5.6066,12.0539,11.4941,1.0027,0.9152,3834858720.0,5.4426,16.1179,5.0,4.0,5.0,0.5875
2010-07-16,16.79,18.3333,9.1918,11.6581,11.4941,0.9697,0.9152,3708944580.0,5.4426,16.1179,5.0,4.0,5.0,0.5875
2010-07-19,16.95,18.3333,8.1611,11.7692,11.4941,0.979,0.9152,3744288900.0,5.4426,16.1179,5.0,4.0,5.0,0.5875
2010-07-20,17.2,18.3333,6.589,11.9428,11.4941,0.9934,0.9152,3799514400.0,5.4426,16.1179,5.0,4.0,5.0,0.5875
2010-07-21,16.96,18.3333,8.0973,11.7761,11.504,0.9795,0.9156,3746497920.0,5.4426,16.1179,5.0,4.0,5.0,0.5875
2010-07-22,17.29,18.3333,6.0341,12.0053,11.504,0.9986,0.9156,3819395580.0,5.4426,16.1179,5.0,4.0,5.0,0.5875
