date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-01-27,11.95,14.3377,19.9808,13.1391,13.4689,0.6514,0.6677,5225009157.0,0.513,1.4022,17.0,6.0,-0.9369,16.9321
2020-01-28,11.95,14.2898,19.5799,13.203,13.4414,0.6518,0.6664,5225009157.0,0.5053,1.415,17.0,6.0,-0.9369,16.9321
2020-01-29,11.95,14.2698,19.4126,13.2176,13.414,0.6525,0.665,5225009157.0,0.4646,1.376,17.0,6.0,-0.9369,16.8649
2020-01-30,11.95,14.2653,19.3749,13.222,13.318,0.6527,0.6588,5225009157.0,0.4491,1.36,17.0,6.0,-0.9369,16.8649
2020-01-31,11.95,14.2653,19.3749,13.2176,13.222,0.6527,0.6527,5225009157.0,0.4491,1.3586,17.0,6.0,-0.9369,16.8649
2020-02-03,11.95,14.2653,19.3749,13.2176,13.2176,0.6527,0.6527,5225009157.0,0.4491,1.3586,17.0,6.0,-0.9369,16.8649
2020-02-04,11.95,14.2653,19.3749,13.2176,13.2176,0.6527,0.6527,5225009157.0,0.4491,1.3586,17.0,6.0,-0.9369,16.8649
2020-02-05,11.95,14.2705,19.4184,13.2176,13.2176,0.6527,0.6527,5225009157.0,0.4491,1.3586,17.0,6.0,-0.9369,16.8647
2020-02-06,11.95,14.2595,19.3264,13.2176,13.2176,0.6538,0.6527,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8647
2020-02-07,11.95,14.2595,19.3264,13.2176,13.2176,0.6538,0.6527,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8647
2020-02-10,11.95,14.2595,19.3264,13.2176,13.2176,0.6538,0.6527,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8647
2020-02-11,11.95,14.2595,19.3264,13.2176,13.2176,0.6538,0.6527,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8647
2020-02-12,11.95,14.2575,19.3096,13.2176,13.2176,0.6538,0.6527,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8401
2020-02-13,11.95,14.2575,19.3096,13.2176,13.2176,0.6538,0.6532,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8401
2020-02-14,11.95,14.2575,19.3096,13.2176,13.2176,0.6538,0.6538,5225009157.0,0.452,1.3586,17.0,6.0,-0.9369,16.8401
2020-02-18,11.95,14.2575,19.1029,13.2498,13.2176,0.6549,0.6538,5225009157.0,0.3867,1.2893,17.0,6.0,-0.9369,16.644
2020-02-19,11.95,14.1907,18.7506,13.2498,13.2176,0.6549,0.6538,5225009157.0,0.3867,1.2893,17.0,6.0,-0.9369,16.3902
2020-02-20,11.95,14.1907,18.7506,13.2498,13.2176,0.6549,0.6538,5225009157.0,0.3867,1.2893,17.0,6.0,-0.9369,16.3902
2020-02-21,11.95,14.1907,18.7506,13.2498,13.2176,0.6549,0.6538,5225009157.0,0.3867,1.2893,17.0,6.0,-0.9369,16.3902
2020-02-24,11.99,14.1907,18.3545,13.2942,13.2176,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.3902
2020-02-25,11.99,14.1907,18.3545,13.2942,13.2176,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.3902
2020-02-26,11.99,14.1827,18.2877,13.2942,13.2176,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.4069
2020-02-27,11.99,14.1827,18.2877,13.2942,13.2176,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.4069
2020-02-28,11.99,14.1827,18.2877,13.2942,13.2198,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.4069
2020-03-02,11.99,14.1827,18.2877,13.2942,13.222,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.4069
2020-03-03,11.99,14.1856,18.3119,13.2942,13.2359,0.6571,0.6538,5242498727.4,0.3867,1.2893,17.0,6.0,-0.9369,16.4069
