date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2013-01-18,207.9,256.875,23.557,37.7657,29.1884,65.4832,62.5211,12008484457.2,17.3901,9.4213,5.0,3.0,25.0,49.1483,18.64650615079365,13.043951632711568,23.632673015873014,10.570698304274462,31.690457783505217,13.061974711598552
2013-01-22,201.45,256.875,27.513,36.6239,29.2438,63.452,62.7076,11635926858.6,17.3901,9.4213,5.0,3.0,25.0,49.1483,18.695659523809525,13.030560627238714,23.844836507936503,10.374822101122572,31.72622015104824,13.470014406813933
2013-01-23,203.25,256.875,26.3838,36.9512,29.2659,64.0189,62.7184,11739896421.0,17.3901,9.4213,5.0,3.0,25.0,49.1483,18.73402559523809,13.024661042337687,24.04196507936508,10.181909750783282,31.75868663757578,13.860055328581796
2013-01-24,205.95,256.875,24.7269,37.4421,29.2659,64.8693,62.7421,11895850764.6,17.3901,9.4213,5.0,3.0,25.0,49.1483,18.766223611111112,13.019366317948377,24.20624365079365,10.022140563803934,31.78558992905949,14.184103086989715
2013-01-25,211.2,256.875,21.6264,38.3651,29.3231,66.5226,62.762,12199095321.6,17.3919,9.454,5.0,3.0,25.0,49.1483,18.790305555555555,13.013396114758338,24.319892857142857,9.909527895480863,31.80370167031389,14.410364961661994
2013-01-28,204.6,256.7308,25.4794,36.9554,29.3653,64.3922,62.8238,11817873592.8,17.6278,10.4502,6.0,3.0,25.0,49.1483,18.81901805555556,13.012156231639247,24.48738253968254,9.746745863104133,31.8311742871948,14.740636676578408
2013-01-29,203.4,256.7308,26.2197,36.7387,29.3684,64.0145,62.8343,11748560551.2,17.6278,10.4502,6.0,3.0,25.0,49.1483,18.85417797619048,13.00815617038054,24.667616666666664,9.563993966775843,31.86233414657101,15.10362269989082
2013-01-30,201.0,256.7308,27.7268,36.3052,29.3714,63.2592,62.8566,11609934468.0,17.6278,10.4502,6.0,3.0,25.0,49.1483,18.893297023809524,13.005127690501538,24.87452936507936,9.341592176913716,31.898424714311066,15.532937188165644
2013-01-31,200.55,256.7308,28.0134,36.2239,29.3951,63.1176,62.9107,11583942077.4,17.6278,10.4502,6.0,3.0,25.0,49.1483,18.92351805555556,13.0085948939063,25.075754761904765,9.129902021232311,31.93211294946186,15.945852740672454
2013-02-01,206.25,256.7308,24.4755,37.2534,29.4209,64.9115,62.9458,11913179025.0,17.6278,10.4502,6.0,3.0,25.0,49.1483,18.95364880952381,13.003822327197913,25.26894365079365,8.851187721159462,31.95747113672172,16.41775592963419
