date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-03-05,10.61,12.5,17.8134,13.8385,9.7249,0.3925,0.4105,1107684000.0,7.012,122.6553,2.0,1.0,7.0,440.9377,46.02994109589041,21.416979902680417,47.246138095238095,22.74288438054543,67.44692099857082,24.503253714692665
2002-03-06,11.0,12.5,13.6364,14.3472,9.7625,0.4069,0.41,1148400000.0,7.012,122.6553,2.0,1.0,7.0,440.9377,45.8095768707483,21.51008400172764,47.168198412698416,22.84167511060776,67.31966087247594,24.326523302090663
2002-03-07,10.75,12.5,16.2791,14.0211,9.7625,0.3976,0.4096,1122300000.0,7.012,122.6553,2.0,1.0,7.0,440.9377,45.61004662162162,21.57379032324522,47.11030158730159,22.911097362775045,67.18383694486684,24.19920422452654
2002-03-08,11.22,12.5,11.4082,14.6341,9.7625,0.415,0.4096,1171368000.0,7.012,122.6553,2.0,1.0,7.0,440.9377,45.38050402684564,21.682583398875074,46.993769841269845,23.055745346686223,67.06308742572071,23.938024494583622
2002-03-11,11.21,12.5,11.5076,14.6211,9.7133,0.4147,0.409,1170324000.0,7.012,122.6553,2.0,1.0,7.0,440.9377,45.15468466666667,21.785966028180585,46.90723888888889,23.1689295120857,66.94065069484725,23.73830937680319
2002-03-12,10.79,12.5,15.848,14.0733,9.7249,0.3991,0.409,1126476000.0,7.012,122.6553,2.0,1.0,7.0,440.9377,44.96060066225166,21.843811153857736,46.86241904761904,23.223878816971865,66.8044118161094,23.638540230647177
2002-03-13,10.5,12.75,21.4286,13.6951,9.7625,0.3884,0.409,1096200000.0,7.012,150.1248,2.0,1.0,7.0,440.9377,44.80578486842105,21.854868187677614,46.85827142857143,23.22840959902975,66.66065305609867,23.62986182954168
2002-03-14,10.98,12.75,16.1202,16.8276,9.7625,0.4062,0.4086,1146312000.0,7.012,177.6411,2.0,1.0,7.0,440.9377,44.61829738562092,21.90596070343685,46.78204047619048,23.31392217716506,66.52425808905777,23.46811829902542
2002-03-15,11.65,12.75,9.4421,16.5836,9.7625,0.4309,0.4086,1216260000.0,7.012,219.6482,2.0,1.0,7.0,389.9256,44.38988051948052,22.01748256722483,46.54383412698413,23.54159266250324,66.40736308670535,23.002241464480893
2002-03-18,11.25,12.75,13.3333,16.0142,9.7133,0.4161,0.4082,1174500000.0,7.012,219.6482,2.0,1.0,7.0,389.9256,44.18951548387096,22.087198493992062,46.29915,23.72602841805177,66.27671397786303,22.57312158194823
2002-03-19,11.48,12.75,11.0627,16.3416,9.7249,0.4246,0.4084,1198512000.0,7.012,219.6482,2.0,1.0,7.0,389.9256,43.9771641025641,22.17501926758868,45.85784523809524,23.8608916173176,66.15218337015278,21.99695362077764
2002-03-20,10.95,12.75,16.4384,14.3701,9.7625,0.405,0.4082,1143180000.0,7.012,225.9284,2.0,1.0,7.0,389.9256,43.80175796178344,22.212830143462675,45.387796825396826,23.852378758085955,66.01458810524612,21.53541806731087
2002-03-21,10.51,12.75,21.313,13.7927,9.7625,0.3888,0.407,1097244000.0,7.012,225.9284,2.0,1.0,7.0,389.9256,43.659424050632914,22.21413959922689,44.96710476190477,23.805412616928475,65.8735636498598,21.16169214497629
2002-03-22,10.1,12.75,26.2376,13.2546,9.7625,0.3736,0.407,1054440000.0,7.012,225.9284,2.0,1.0,7.0,389.9256,43.54985283018868,22.18679141920863,44.462519841269845,23.519279260484225,65.7366442493973,20.94324058078562
