date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2010-12-10,172.38,212.3333,23.1775,11.9102,10.975,0.3966,0.399,613752439.56,11.2754,29.8959,1.0,1.0,14.0,0.053,25.50525753968254,20.033976894854405,47.171083333333335,9.10788525811562,45.539234434536944,38.06319807521771
2010-12-13,168.61,212.3333,25.9316,11.6497,10.9737,0.3879,0.3987,600329497.82,11.2754,29.8959,1.0,1.0,14.0,0.053,25.57816507936508,19.968296174522475,47.021283333333336,9.300276647212158,45.54646125388756,37.72100668612118
2010-12-14,164.84,212.3333,28.8118,11.3892,10.9744,0.3792,0.3987,586906556.08,11.2754,29.8959,1.0,1.0,14.0,0.053,25.66361527777778,19.88949151225259,46.8728238095238,9.44053176429741,45.55310679003037,37.43229204522639
2010-12-15,163.41,212.3333,29.939,11.2904,10.975,0.3759,0.3987,581815095.42,11.2754,29.8959,1.0,1.0,14.0,0.053,25.742074603174604,19.82799035325707,46.7323126984127,9.55996984736653,45.57006495643168,37.17234285104617
2010-12-16,163.15,212.3333,30.1461,11.2725,10.9756,0.3753,0.398,580889375.3,11.2754,29.8959,1.0,1.0,14.0,0.053,25.831439087301582,19.745808160152208,46.60137619047619,9.673494679797386,45.5772472474538,36.9278815106788
2010-12-17,161.33,212.3333,31.6143,11.1467,10.9756,0.3712,0.397,574409334.46,11.2754,29.8959,1.0,1.0,14.0,0.053,25.92389623015873,19.663237623613977,46.48894444444444,9.765002244854252,45.58713385377271,36.72394219959019
2010-12-20,162.89,212.3333,30.3538,11.2545,10.9744,0.3747,0.3964,579963655.18,11.2754,29.8959,1.0,1.0,14.0,0.053,26.007914087301582,19.59124532904232,46.33860476190476,9.866720106392846,45.5991594163439,36.47188465551192
2010-12-21,162.37,212.3333,30.7713,11.2186,10.975,0.3736,0.3962,578112214.94,11.2754,29.8959,1.0,1.0,14.0,0.053,26.094848214285715,19.514676403585472,46.18748253968254,9.958479710631156,45.60952461787119,36.22900282905138
2010-12-22,161.72,212.3333,31.2969,11.1737,10.9756,0.3721,0.396,575797914.64,11.2754,29.8959,1.0,1.0,14.0,0.053,26.176001785714288,19.450864022211256,45.97435634920635,9.987712443874171,45.62686580792554,35.98664390533218
2010-12-23,161.72,212.3333,31.2969,11.1737,10.9756,0.3721,0.3958,575797914.64,11.2754,29.8959,1.0,1.0,14.0,0.053,26.25654543650793,19.387626815961973,45.7968373015873,10.048530971112,45.64417225246991,35.7483063304753
2010-12-27,161.59,212.3333,31.4025,11.1647,10.9737,0.3718,0.3945,575335054.58,11.2754,29.8959,1.0,1.0,14.0,0.053,26.33627242063492,19.32578298811384,45.63087301587301,10.112516920817766,45.66205540874876,35.518356095055246
2010-12-28,159.12,212.3333,33.4422,10.994,10.9744,0.3661,0.3944,566540713.44,11.2754,29.8959,1.0,1.0,14.0,0.053,26.41963273809524,19.265429026900883,45.44047301587301,10.114381850473396,45.68506176499612,35.32609116539962
2010-12-29,158.6,212.3333,33.8798,10.9581,10.9737,0.3649,0.3943,564689273.2,11.2754,29.8959,1.0,1.0,14.0,0.053,26.49918273809524,19.21311875366164,45.23512063492064,10.084063878380102,45.71230149175688,35.15105675654054
2010-12-30,157.82,212.3333,34.5414,10.9042,10.9699,0.3631,0.3935,561912112.84,11.2754,29.8959,1.0,1.0,14.0,0.053,26.58493115079365,19.15216300661336,45.0256007936508,10.029235653591895,45.73709415740701,34.9963651400589
2010-12-31,159.51,212.3333,33.116,11.021,10.9699,0.367,0.3932,567929293.62,11.2754,29.8959,1.0,1.0,14.0,0.053,26.67837261904761,19.06856688712684,44.79520952380953,9.966047307641483,45.746939506174456,34.82916221616805
2011-01-03,164.06,212.3333,29.4242,11.3354,10.9657,0.3774,0.3925,584129395.72,11.2754,29.8959,1.0,1.0,14.0,0.053,26.769304365079364,18.97173334384394,44.49580793650793,9.855172241519472,45.7410377089233,34.64063569498846
2011-01-04,161.85,212.3333,31.1914,11.1827,10.9667,0.3724,0.3922,576260774.7,11.2754,29.8959,1.0,1.0,14.0,0.053,26.86163630952381,18.879383250023874,44.22934682539683,9.756127572332645,45.74101955954768,34.47321925306419
2011-01-05,164.19,212.3333,29.3217,11.3443,10.9699,0.3777,0.392,584592255.78,11.2754,29.8959,1.0,1.0,14.0,0.053,26.9525378968254,18.78025792464189,43.96400873015873,9.702760948225126,45.732795821467285,34.261247781933605
2011-01-06,159.77,212.3333,32.8994,11.0389,10.9699,0.3676,0.3917,568855013.74,11.2754,29.8959,1.0,1.0,14.0,0.053,27.043881746031744,18.69665000426363,43.75437142857143,9.653692091214454,45.740531750295375,34.10067933735698
2011-01-07,156.91,212.3333,35.3217,10.8413,10.9657,0.361,0.3912,558672092.42,11.2754,29.8959,1.0,1.0,14.0,0.053,27.140776984126983,18.61239801519964,43.54028095238095,9.537598591810918,45.75317499932662,34.00268236057003
2011-01-10,157.56,212.3333,34.7635,10.8863,10.9614,0.3625,0.3909,560986392.72,11.2754,29.8959,1.0,1.0,14.0,0.053,27.22880873015873,18.54305230454005,43.4031119047619,9.538563265436595,45.77186103469879,33.86454863932531
2011-01-11,159.25,212.3333,33.3333,11.003,10.9647,0.3664,0.3907,567003573.5,11.2754,29.8959,1.0,1.0,14.0,0.053,27.31091051587301,18.47805017335038,43.24067301587302,9.534355694530454,45.788960689223394,33.70631732134257
2011-01-12,159.38,212.3333,33.2246,11.012,10.9647,0.3667,0.3904,567466433.56,11.2754,29.8959,1.0,1.0,14.0,0.053,27.396293253968253,18.40546993778341,43.09865555555556,9.549327875309766,45.80176319175166,33.5493276802458
2011-01-13,157.43,212.3333,34.8747,10.8773,10.9647,0.3622,0.39,560523532.66,11.2754,29.8959,1.0,1.0,14.0,0.053,27.48082202380952,18.34155562115889,42.94082063492064,9.519315579660653,45.82237764496841,33.421505055259985
2011-01-14,156.91,212.3333,35.3217,10.8413,10.9581,0.361,0.3896,558672092.42,11.2754,29.8959,1.0,1.0,14.0,0.053,27.576220238095235,18.25668637925304,42.80383333333334,9.503642844290772,45.83290661734827,33.30019048904256
2011-01-18,156.78,212.3333,35.4339,10.8324,10.9577,0.3607,0.3883,558209232.36,11.2754,29.8959,1.0,1.0,14.0,0.053,27.67259285714286,18.169329515183524,42.68971587301587,9.50513724139874,45.84192237232638,33.18457863161713
2011-01-19,153.66,212.3333,38.1838,10.6168,10.9573,0.3535,0.3879,547100590.92,11.2754,29.8959,1.0,1.0,14.0,0.053,27.75958531746032,18.11429496406499,42.523179365079365,9.397339587532738,45.8738802815253,33.12583977754663
2011-01-20,154.05,212.3333,37.834,10.6437,10.9573,0.3544,0.3873,548489171.1,11.2754,29.8959,1.0,1.0,14.0,0.053,27.851659523809523,18.04707257038169,42.41983174603175,9.376549036771646,45.89873209419122,33.0432827092601
2011-01-21,152.88,212.3333,38.8889,10.5629,10.9569,0.3517,0.3858,544323430.56,11.2754,29.8959,1.0,1.0,14.0,0.053,27.942662698412697,17.986638336523654,42.36804682539682,9.377899432829777,45.92930103493635,32.99014739256705
2011-01-24,154.83,212.3333,37.1396,10.6976,10.9569,0.3562,0.3855,551266331.46,11.2754,29.8959,1.0,1.0,14.0,0.053,28.03168531746032,17.920652608862657,42.33163095238096,9.3893065248544,45.952337926322976,32.94232442752656
2011-01-25,153.53,212.3333,38.3009,10.6078,10.9566,0.3532,0.3853,546637730.86,11.2754,29.8959,1.0,1.0,14.0,0.053,28.12754265873016,17.845811271622534,42.29888650793651,9.396164019031152,45.97335393035269,32.902722488905354
2011-01-26,156.26,212.3333,35.8846,10.7964,10.9562,0.3595,0.3852,556357792.12,11.2754,29.8959,1.0,1.0,14.0,0.053,28.224622222222223,17.7542466108396,42.20954206349206,9.403262761840468,45.978868833061824,32.80627930165159
2011-01-27,156.52,212.3333,35.6589,10.8144,10.9562,0.3601,0.3852,557283512.24,11.2754,29.8959,1.0,1.0,14.0,0.053,28.33131984126984,17.63639202437891,42.1154246031746,9.409053968026166,45.96771186564875,32.70637063514844
2011-01-28,155.48,212.3333,36.5663,10.7425,10.9562,0.3577,0.3849,553580631.76,11.2754,29.8959,1.0,1.0,14.0,0.053,28.429939285714287,17.54276261780268,41.99573095238095,9.382711946318793,45.97270190351696,32.61301900606216
2011-01-31,156.39,212.3333,35.7717,10.8054,10.9569,0.3598,0.3836,556820652.18,11.2754,29.8959,1.0,1.0,14.0,0.053,28.517088492063493,17.469620183801,41.87705714285714,9.365973018235085,45.98670867586449,32.51108412462206
2011-02-01,159.25,212.3333,33.3333,11.003,10.9571,0.3664,0.3836,567003573.5,11.2754,29.8959,1.0,1.0,14.0,0.053,28.60085257936508,17.3909673961373,41.77729365079365,9.389658489753415,45.99181997550238,32.38763516104024
2011-02-02,159.25,212.3333,33.3333,11.003,10.9573,0.3664,0.3835,567003573.5,11.2754,29.8959,1.0,1.0,14.0,0.053,28.682744444444445,17.31557052774523,41.67066666666667,9.408791280558786,45.99831497218968,32.26187538610788
2011-02-03,157.82,212.3333,34.5414,10.9042,10.9573,0.3631,0.3831,561912112.84,11.2754,29.8959,1.0,1.0,14.0,0.053,28.76555,17.243306593042654,41.55661587301587,9.407410970450108,46.00885659304265,32.149204902565764
2011-02-04,155.74,212.3333,36.3383,10.7605,10.9573,0.3583,0.3826,554506351.88,11.2754,29.8959,1.0,1.0,14.0,0.053,28.85084642857143,17.173951946149536,41.45581031746032,9.394626140502435,46.024798374720966,32.06118417695788
2011-02-07,157.69,212.3333,34.6524,10.8952,10.9569,0.3628,0.3822,561449252.78,11.2754,29.8959,1.0,1.0,14.0,0.053,28.93493412698413,17.098082368177153,41.38190476190477,9.411346212769782,46.03301649516128,31.97055854913498
2011-02-08,158.86,212.3333,33.6606,10.9761,10.9571,0.3655,0.3822,565614993.32,11.2754,29.8959,1.0,1.0,14.0,0.053,29.0174753968254,17.019948897296622,41.31047142857143,9.43568490365676,46.03742429412202,31.874786524914665
2011-02-09,159.12,212.3333,33.4422,10.994,10.9573,0.3661,0.3816,566540713.44,11.2754,29.8959,1.0,1.0,14.0,0.053,29.090306746031743,16.959964885026864,41.214489682539686,9.453851437104966,46.05027163105861,31.76063824543472
2011-02-10,158.6,208.0,31.1475,11.3488,10.9573,0.3641,0.3808,564689273.2,11.2834,29.9111,1.0,1.0,14.0,0.053,29.15671031746032,16.902158759551764,41.084567460317466,9.47898743223408,46.05886907701208,31.605580028083388
2011-02-11,160.16,201.5,25.8117,9.4769,10.9569,0.3448,0.3804,570243593.92,3.4844,-2.2908,1.0,1.0,14.0,-5.4052,29.1885998015873,16.880599219542923,40.902247619047614,9.55036805803594,46.069199021130224,31.35187956101167
