date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-03-17,8.17,10.5,28.519,24.0082,8.526,1.806,2.159,1023399796.61,90.0841,655.7631,4.0,1.0,50.0,53.6797
2023-03-20,7.85,10.2,29.9363,13.6783,8.5615,1.759,2.164,983315594.05,93.0634,115.9476,4.0,1.0,50.0,53.6797
2023-03-21,8.87,10.2,14.9944,15.4557,8.5797,1.9876,2.1596,1111083989.71,93.0634,115.9476,4.0,1.0,50.0,53.6797
2023-03-22,7.78,10.2,31.1054,13.5564,8.5978,1.7434,2.159,974547174.74,93.0634,115.9476,4.0,1.0,50.0,53.6797
2023-03-23,8.46,10.2,20.5674,14.7412,8.601,1.8957,2.159,1059726105.18,93.0634,115.9476,4.0,1.0,50.0,53.6797
2023-03-24,7.81,11.0,40.8451,11.7056,8.6024,1.6931,2.159,978305068.73,95.7951,89.2308,4.0,1.0,50.0,53.6797
2023-03-27,7.11,11.0,54.7117,11.6691,8.6492,1.5895,2.164,890620875.63,96.2335,46.699,4.0,1.0,50.0,53.6797
2023-03-28,7.2,11.0,52.7778,11.8168,8.6531,1.6097,2.1596,901894557.6,96.2335,46.699,4.0,1.0,50.0,53.6797
2023-03-29,7.95,11.0,38.3648,13.0478,8.657,1.7773,2.159,995841907.35,96.2335,46.699,4.0,1.0,50.0,53.6797
2023-03-30,7.83,10.8,37.931,12.6699,8.6713,1.6851,2.159,980810331.39,99.5955,54.4738,4.0,1.0,50.0,53.6797
2023-03-31,8.72,10.8,23.8532,14.11,8.7149,1.8766,2.159,1092294519.76,99.5955,54.4738,4.0,1.0,50.0,53.6797
2023-04-03,8.43,11.6,37.6038,15.2717,8.738,1.9071,2.164,1055968211.19,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-04,8.51,11.6,36.3102,15.4167,8.738,1.9252,2.1596,1065989261.83,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-05,7.93,11.6,46.2799,14.3659,8.7381,1.794,2.159,993336644.69,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-06,7.98,11.6,45.3634,14.4565,8.7391,1.8053,2.159,999599801.34,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-10,9.1,11.6,27.4725,16.4855,8.7744,2.0586,2.1683,1139894510.3,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-11,10.23,11.6,13.392,18.5326,8.7778,2.3143,2.1701,1281441850.59,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-12,9.95,11.6,16.5829,18.0254,8.7858,2.2509,2.1719,1246368173.35,92.3123,59.5297,1.0,1.0,50.0,47.2125
2023-04-13,11.52,12.8,11.1111,18.7013,8.8396,2.5576,2.1761,1443031292.16,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-14,11.97,12.8,6.934,19.4318,8.8918,2.6575,2.1873,1499399702.01,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-17,11.45,12.8,11.7904,18.5877,8.9266,2.5421,2.2185,1434262872.85,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-18,11.68,12.8,9.589,18.961,8.9493,2.5932,2.2246,1463073393.44,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-19,10.66,12.8,20.075,17.3052,8.966,2.3667,2.2307,1335304997.78,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-20,9.52,12.8,34.4538,15.4545,8.9827,2.1136,2.2246,1192505026.16,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-21,8.93,11.0,23.1803,14.4968,8.9831,1.9826,2.2246,1118599777.69,93.5561,50.3116,1.0,1.0,50.0,47.2125
2023-04-24,8.89,11.5,29.3588,14.2926,9.0346,1.9473,2.2408,1113589252.37,96.0666,38.9566,1.0,1.0,50.0,47.2125
2023-04-25,8.99,11.5,27.9199,14.4534,9.0576,1.9692,2.2307,1126115565.67,96.0666,38.9566,1.0,1.0,50.0,47.2125
2023-04-26,9.46,11.5,21.5645,15.209,9.0807,2.0722,2.2246,1184989238.18,96.0666,38.9566,1.0,1.0,50.0,47.2125
