date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-12-10,46.79,51.3333,9.71,13.7307,13.6334,0.8202,0.9574,1285789200.0,14.8768,8.8649,1.0,2.0,10.0,12.7435
2014-12-11,46.75,51.3333,9.8039,13.7189,13.6352,0.8195,0.9572,1284690000.0,14.8768,8.8649,1.0,2.0,10.0,12.7435
2014-12-12,45.71,51.3333,12.3021,13.4137,13.6352,0.8012,0.9572,1256110800.0,14.8768,8.8649,1.0,2.0,10.0,12.7435
2014-12-15,45.45,51.3333,12.9446,13.3374,13.6408,0.7967,0.9575,1248966000.0,14.8768,8.8649,1.0,2.0,10.0,12.7435
2014-12-16,45.38,51.3333,13.1188,13.3169,13.637,0.7954,0.9574,1247042400.0,14.8768,8.8649,1.0,2.0,10.0,12.7435
2014-12-17,46.52,51.3333,10.3467,13.6514,13.6408,0.8154,0.9572,1278369600.0,14.8768,8.8649,1.0,2.0,10.0,12.7435
2014-12-18,47.11,51.3333,8.9648,13.8246,13.6448,0.8258,0.9572,1294582800.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-19,47.04,51.3333,9.1269,13.804,13.6462,0.8245,0.9572,1292659200.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-22,47.85,51.3333,7.2796,14.0417,13.6503,0.8387,0.9566,1314918000.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-23,48.3,51.3333,6.2801,14.1738,13.6503,0.8466,0.9562,1327284000.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-24,48.64,51.3333,5.5372,14.2736,13.6508,0.8526,0.956,1336627200.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-26,49.22,51.3333,4.2936,14.4438,13.6613,0.8628,0.9562,1352565600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-29,49.33,51.3333,4.061,14.476,13.6655,0.8647,0.9555,1355588400.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-30,49.01,51.3333,4.7405,14.3821,13.6664,0.8591,0.9547,1346794800.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2014-12-31,48.67,51.3333,5.4722,14.2824,13.6672,0.8531,0.9539,1337451600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-02,48.14,51.3333,6.6334,14.1268,13.6715,0.8438,0.9542,1322887200.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-05,47.57,51.3333,7.9111,13.9596,13.6826,0.8338,0.9542,1307223600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-06,46.54,51.3333,10.2993,13.6573,13.6808,0.8158,0.9528,1278919200.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-07,46.77,51.3333,9.7569,13.7248,13.6826,0.8198,0.9525,1285239600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-08,47.58,51.3333,7.8884,13.9625,13.6846,0.834,0.9525,1307498400.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-09,47.19,51.3333,8.78,13.8481,13.6872,0.8272,0.9525,1296781200.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-12,46.83,51.3333,9.6163,13.7424,13.691,0.8209,0.9542,1286888400.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-13,47.32,51.3333,8.4812,13.8862,13.6918,0.8294,0.9528,1300353600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-14,46.62,51.3333,10.11,13.6808,13.691,0.8172,0.9525,1281117600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-15,45.66,51.3333,12.4251,13.3991,13.6901,0.8004,0.9522,1254736800.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-16,46.31,51.3333,10.8471,13.5898,13.6901,0.8117,0.9522,1272598800.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-20,45.32,51.3333,13.2685,13.2993,13.6918,0.7944,0.9528,1245393600.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-21,44.73,51.3333,14.7626,13.1262,13.691,0.7841,0.9525,1229180400.0,14.8913,8.8544,1.0,2.0,10.0,12.7435
2015-01-22,45.84,52.0,13.438,13.391,13.691,0.8035,0.9525,1259683200.0,14.8913,8.8663,1.0,2.0,10.0,12.7905
2015-01-23,47.19,52.0,10.1928,13.7853,13.6928,0.8272,0.9525,1296781200.0,14.8913,8.8663,1.0,2.0,10.0,12.7905
2015-01-26,47.92,52.0,8.5142,13.9986,13.6982,0.84,0.9542,1316841600.0,14.8913,8.8663,1.0,2.0,10.0,12.7905
2015-01-27,47.32,52.0,9.8901,13.8233,13.7012,0.8294,0.9528,1300353600.0,14.8913,8.8663,1.0,2.0,10.0,12.7905
2015-01-28,46.81,52.0,11.0874,13.6743,13.6982,0.8205,0.9525,1286338800.0,14.8913,8.8663,1.0,2.0,10.0,12.7905
2015-01-29,47.15,52.0,10.2863,13.7737,13.7012,0.9953,0.9542,1560334950.0,14.8913,8.8663,1.0,2.0,10.0,12.7905
2015-01-30,46.33,52.0,12.2383,13.6069,13.7012,0.9824,0.9558,1533198690.0,14.8017,8.8504,1.0,2.0,10.0,12.7905
2015-02-02,46.31,53.6667,15.8858,13.6511,13.7038,0.9829,0.9572,1532536830.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-03,48.08,53.6667,11.6196,14.1729,13.7065,1.0205,0.9574,1591111440.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-04,47.55,53.6667,12.8637,14.0166,13.7111,1.0092,0.9575,1573572150.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-05,47.92,53.6667,11.9923,14.1257,13.7158,1.0171,0.9584,1585816560.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-06,47.66,53.6667,12.6032,14.0491,13.7163,1.0116,0.9596,1577212380.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-09,47.89,53.6667,12.0624,14.1168,13.719,1.0164,0.9615,1584823770.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-10,48.26,53.6667,11.2033,14.2259,13.7192,1.0243,0.9621,1597068180.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-11,48.44,53.6667,10.79,14.279,13.721,1.0281,0.9622,1603024920.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-12,48.4,53.6667,10.8816,14.2672,13.7238,1.0273,0.9628,1601701200.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-13,49.13,53.6667,9.2341,14.4824,13.7249,1.0428,0.9638,1625859090.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-17,48.74,53.6667,10.1081,14.3674,13.7272,1.0345,0.965,1612952820.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-18,48.95,53.6667,9.6358,14.4293,13.7283,1.0389,0.965,1619902350.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-19,48.57,53.6667,10.4935,14.3173,13.7307,1.0309,0.978,1607327010.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-20,48.59,53.6667,10.448,14.3232,13.7354,1.0313,0.9787,1607988870.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-23,48.55,53.6667,10.539,14.3114,13.7405,1.0304,0.9822,1606665150.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-24,48.5,53.6667,10.653,14.2967,13.7414,1.0294,0.9823,1605010500.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-25,48.16,53.6667,11.4342,14.1964,13.7424,1.0222,0.9824,1593758880.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-26,48.51,53.6667,10.6302,14.2996,13.7427,1.0296,0.9827,1605341430.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-02-27,48.37,53.6667,10.9504,14.2583,13.7523,1.0266,0.9829,1600708410.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-02,48.26,53.6667,11.2033,14.2259,13.7556,1.0243,0.984,1597068180.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-03,47.96,53.6667,11.8989,14.1375,13.7568,1.0179,0.9841,1587140280.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-04,47.5,53.6667,12.9825,14.0019,13.7596,1.0082,0.9853,1571917500.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-05,47.39,53.6667,13.2448,13.9695,13.7634,1.0058,0.9868,1568277270.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-06,46.36,53.6667,15.7608,13.6658,13.7634,0.984,0.9868,1534191480.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-09,46.97,53.6667,14.2574,13.8457,13.7668,0.9969,0.9923,1554378210.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-10,46.78,53.6667,14.7215,13.7896,13.7679,0.9929,0.9929,1548090540.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-11,47.22,53.6667,13.6525,13.9193,13.7692,1.0022,0.9932,1562651460.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-12,48.73,53.6667,10.1307,14.3645,13.771,1.0343,0.9936,1612621890.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-13,49.07,53.6667,9.3676,14.4647,13.7715,1.0415,0.9946,1623873510.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-16,49.59,53.6667,8.2208,14.618,13.7746,1.0525,0.9966,1641081870.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-17,50.01,53.6667,7.3119,14.7418,13.7755,1.0614,0.9969,1654980930.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-18,50.49,53.6667,6.2917,14.8833,13.7764,1.0716,0.9971,1670865570.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-19,50.08,53.6667,7.1619,14.7624,13.7783,1.0629,0.9974,1657297440.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-20,51.04,53.6667,5.1464,15.0454,13.7804,1.0833,0.998,1689066720.0,14.5914,8.8395,1.0,2.0,10.0,12.7905
2015-03-23,51.5,54.6667,6.1489,15.0925,13.7822,1.102,1.0002,1704289500.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-03-24,52.28,54.6667,4.5652,15.321,13.7827,1.1187,1.0013,1730102040.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-03-25,51.13,54.6667,6.9171,14.984,13.7838,1.0941,1.0015,1692045090.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-03-26,51.25,54.6667,6.6667,15.0192,13.7852,1.0966,1.0018,1696016250.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-03-27,51.58,54.6667,5.9843,15.1159,13.7874,1.1037,1.0021,1706936940.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-03-30,52.1,54.6667,4.9265,15.2683,13.7918,1.1148,1.003,1724145300.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-03-31,51.51,54.6667,6.1283,15.0954,13.7918,1.1022,1.0031,1704620430.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-01,51.59,54.6667,5.9638,15.1188,13.7935,1.1039,1.0033,1707267870.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-02,51.64,54.6667,5.8612,15.1335,13.7982,1.105,1.0039,1708922520.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-06,52.01,54.6667,5.1081,15.2419,13.8048,1.1129,1.0058,1721166930.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-07,51.35,54.6667,6.459,15.0485,13.8056,1.0988,1.0066,1699325550.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-08,51.65,54.6667,5.8407,15.1364,13.8065,1.1052,1.0073,1709253450.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-09,51.56,54.6667,6.0254,15.11,13.8105,1.1033,1.0081,1706275080.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-10,51.19,54.6667,6.7918,15.0016,13.8166,1.0954,1.0082,1694030670.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-13,50.85,54.6667,7.5058,14.902,13.8233,1.0881,1.0092,1682779050.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-14,50.43,54.6667,8.4012,14.7789,13.824,1.0791,1.0093,1668879990.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-15,50.85,54.6667,7.5058,14.902,13.8246,1.0881,1.0093,1682779050.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-16,50.85,54.6667,7.5058,14.902,13.8322,1.0881,1.0096,1682779050.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
2015-04-17,49.87,54.6667,9.6184,14.6148,13.8328,1.0671,1.0096,1650347910.0,13.9472,10.6444,1.0,2.0,10.0,13.9185
