date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2016-12-14,30.9,30.6667,-0.755,17.5329,15.2802,1.1628,0.897,750902846.7,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-15,32.4,30.6667,-5.3497,18.384,15.2837,1.2192,0.897,787354441.2,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-16,32.8,30.6667,-6.504,18.611,15.2872,1.2343,0.8972,797074866.4,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-19,34.0,30.6667,-9.8038,19.2919,15.3116,1.2794,0.8974,826236142.0,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-20,35.35,30.6667,-13.2484,20.0579,15.3122,1.3302,0.8976,859042577.05,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-21,34.3,30.6667,-10.5927,19.4621,15.3128,1.2907,0.8977,833526460.9,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-22,33.9,30.6667,-9.5378,19.2351,15.3136,1.2757,0.8978,823806035.7,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-23,34.3,30.6667,-10.5927,19.4621,15.3143,1.2907,0.898,833526460.9,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-27,34.2,30.6667,-10.3313,19.4054,15.3168,1.2869,0.8994,831096354.6,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-28,33.65,30.6667,-8.8657,19.0933,15.3229,1.2662,0.8997,817730769.95,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-29,34.1,30.6667,-10.0683,19.3486,15.329,1.2832,0.9002,828666248.3,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2016-12-30,33.9,30.6667,-9.5378,19.2351,15.3382,1.2757,0.9006,823806035.7,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2017-01-03,34.0,30.6667,-9.8038,19.2919,15.3473,1.2794,0.9009,826236142.0,6.8726,4.9291,6.0,1.0,7.2874,-2.1652
2017-01-04,34.9,31.0,-11.1748,19.6178,15.354,1.3079,0.9012,848107098.7,7.4011,4.9427,6.0,1.0,7.2874,-2.1652
2017-01-05,33.6,31.0,-7.7381,18.8891,15.3608,1.2592,0.9014,816515716.8,7.3897,4.9105,6.0,1.0,7.2874,-1.9397
2017-01-06,33.75,32.1111,-4.856,18.9607,15.3665,1.2609,0.9016,820160876.25,7.3909,4.8929,6.0,1.0,7.2874,-1.9397
2017-01-09,33.95,33.4444,-1.4892,18.8496,15.3722,1.257,0.9018,825021088.85,7.8609,5.4948,6.0,1.0,7.2874,-1.9397
2017-01-10,34.2,34.1111,-0.2599,18.9295,15.374,1.2639,0.9021,831096354.6,8.3177,5.948,6.0,1.0,7.2874,-1.9397
2017-01-11,34.15,35.5556,4.116,18.8789,15.3759,1.2615,0.9022,829881301.45,8.3201,5.949,6.0,1.0,7.2874,-1.9397
2017-01-12,33.65,35.5556,5.663,18.6025,15.3778,1.243,0.9023,817730769.95,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-13,34.3,35.6667,3.9845,18.9618,15.3797,1.267,0.9027,833526460.9,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-17,33.65,35.6667,5.9932,18.5973,15.3827,1.243,0.9032,817730769.95,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-18,34.2,35.6667,4.2886,18.9013,15.3888,1.2633,0.9032,831096354.6,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-19,34.1,35.6667,4.5944,18.846,15.395,1.2596,0.9034,828666248.3,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-20,33.85,35.6667,5.3669,18.7079,15.3962,1.2504,0.9037,822590982.55,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-23,33.7,35.6667,5.8359,18.625,15.3974,1.2448,0.9038,818945823.1,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-24,34.4,35.6667,3.6823,19.0118,15.4001,1.2707,0.904,835956567.2,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-25,34.45,35.6667,3.5318,19.0395,15.4028,1.2725,0.9044,837171620.35,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-26,34.45,35.6667,3.5318,19.0395,15.4066,1.2725,0.9048,837171620.35,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-27,34.35,35.6667,3.8332,18.9842,15.4104,1.2688,0.9052,834741514.05,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-30,34.1,35.6667,4.5944,18.846,15.4186,1.2596,0.9055,828666248.3,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-01-31,34.1,35.6667,4.5944,18.846,15.4268,1.2596,0.9055,828666248.3,8.1918,5.949,6.0,1.0,7.2874,-1.9397
2017-02-01,34.25,35.6667,4.1364,18.9289,15.4291,1.2651,0.9055,832311407.75,8.1755,5.9613,6.0,1.0,7.2874,-1.9397
2017-02-02,34.2,35.6667,4.2886,18.9013,15.4314,1.2633,0.9056,831096354.6,8.1755,5.9613,6.0,1.0,7.2874,-1.9397
2017-02-03,35.0,35.6667,1.9049,19.3434,15.4341,1.2928,0.9057,850537205.0,8.1755,5.9613,6.0,1.0,7.2874,-1.9397
2017-02-06,34.9,35.6667,2.1968,19.2882,15.4368,1.2892,0.9062,848107098.7,8.1755,5.9613,6.0,1.0,7.2874,-1.9397
2017-02-07,35.0,35.6667,1.9049,19.3434,15.4376,1.2928,0.9067,850537205.0,8.1755,5.9613,6.0,1.0,7.2874,-1.9397
2017-02-08,36.9,37.2222,0.8732,20.0337,15.4383,1.4296,0.9067,951329158.2,9.0563,7.5918,6.0,1.0,7.2874,4.7299
2017-02-09,37.55,38.2222,1.7901,18.0381,15.4394,1.3119,0.9067,968086988.9,9.5598,7.5424,3.0,1.0,7.2381,4.1009
2017-02-10,37.6,38.2222,1.6548,18.0622,15.4405,1.3136,0.9073,969376052.8,9.5598,7.5424,3.0,1.0,7.2381,4.1009
2017-02-13,37.85,38.2222,0.9834,18.184,15.4418,1.3224,0.9079,975821372.3,8.497,6.2189,4.0,1.0,7.2381,4.1009
2017-02-14,38.4,38.2222,-0.463,18.4482,15.4431,1.3416,0.908,990001075.2,8.497,6.2189,4.0,1.0,7.2381,4.1009
2017-02-15,37.9,38.2222,0.8501,18.208,15.4498,1.3241,0.9081,977110436.2,8.497,6.2189,4.0,1.0,7.2381,4.1009
