date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-11,27.9,33.4,19.7133,16.9378,18.9051,2.1403,2.7354,36250470000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-12,28.35,33.4,17.8131,17.211,18.9036,2.1749,2.735,36835155000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-13,27.9,33.4,19.7133,16.9378,18.883,2.1403,2.7346,36250470000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-14,28.15,33.4,18.6501,17.0896,18.8616,2.1595,2.7334,36575295000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-15,28.72,33.4,16.2953,17.4356,18.8582,2.2032,2.7293,37315896000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-18,28.44,33.4,17.4402,17.2657,18.8323,2.1818,2.7231,36952092000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-19,28.8,33.4,15.9722,17.4842,18.8246,2.2094,2.7187,37419840000.0,4.1842,6.8549,1.0,2.0,11.5,8.989
2002-03-20,28.75,33.4,16.1739,17.5412,18.8245,2.2055,2.7143,37354875000.0,4.1842,6.839,1.0,2.0,11.5,8.989
2002-03-21,28.7,33.4,16.3763,17.5869,18.8112,2.2017,2.7143,37289910000.0,4.1842,6.8268,1.0,2.0,11.5,8.989
2002-03-22,27.65,32.6,17.9024,16.9903,18.7981,2.1238,2.7131,35925645000.0,4.1811,6.8197,1.0,2.0,11.5,9.1692
2002-03-25,27.22,32.6,19.7649,16.7261,18.7528,2.0908,2.701,35366946000.0,4.1811,6.8197,1.0,2.0,11.5,9.1692
2002-03-26,27.49,32.6,18.5886,16.9221,18.7479,2.1115,2.6996,35717757000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-03-27,27.94,32.6,16.6786,17.1991,18.7307,2.1461,2.6983,36302442000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-03-28,27.75,32.6,17.4775,17.0822,18.6962,2.1315,2.6945,36055575000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-04-01,27.25,32.6,19.633,16.7744,18.6739,2.0931,2.684,35405925000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-04-02,27.5,32.6,18.5455,16.9283,18.6728,2.1123,2.6815,35730750000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-04-03,27.49,32.6,18.5886,16.9221,18.6717,2.1115,2.6815,35717757000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-04-04,27.79,32.6,17.3084,17.1068,18.6213,2.1345,2.6785,36107547000.0,4.1814,6.8159,1.0,2.0,11.5,9.1692
2002-04-05,28.35,32.6,14.9912,17.4817,18.6195,2.1775,2.6755,36835155000.0,4.1814,6.8138,1.0,2.0,11.5,9.1692
2002-04-08,28.49,32.6,14.4261,17.568,18.5955,2.1883,2.6755,37017057000.0,4.1814,6.8138,1.0,2.0,11.5,9.1692
2002-04-09,28.15,32.6,15.8082,17.3583,18.5936,2.1622,2.6755,36575295000.0,4.1814,6.8138,1.0,2.0,11.5,9.1692
2002-04-10,27.95,32.6,16.6369,17.235,18.5917,2.1468,2.674,36315435000.0,4.1814,6.8138,1.0,2.0,11.5,9.1692
2002-04-11,27.71,32.6,17.6471,17.087,18.5635,2.1284,2.6688,36003603000.0,4.1814,6.8138,1.0,2.0,11.5,9.1692
2002-04-12,27.8,32.6,17.2662,17.1425,18.5619,2.1353,2.6632,36120540000.0,4.1814,6.8138,1.0,2.0,11.5,9.1692
2002-04-15,27.4,32.6,18.9781,16.9376,18.5358,2.1248,2.6606,35600820000.0,4.1591,6.8076,1.0,2.0,11.5,9.1692
2002-04-16,27.5,32.6,18.5455,16.9994,18.5312,2.1326,2.6601,35730750000.0,4.1591,6.8076,1.0,2.0,11.5,9.1692
2002-04-17,27.16,32.6,20.0295,16.7893,18.5267,2.1062,2.6581,35288988000.0,4.1591,6.8076,1.0,2.0,11.5,9.1692
2002-04-18,28.62,32.6,13.9064,17.6918,18.5208,2.2082,2.6525,36997074000.0,4.1591,6.8083,1.0,2.0,11.5,9.1692
2002-04-19,28.6,32.0,11.8881,17.6326,18.5092,2.2118,2.6476,36971220000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-22,28.5,32.0,12.2807,17.5709,18.4978,2.204,2.6426,36841950000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-23,28.77,32.0,11.227,17.7374,18.4929,2.2249,2.6401,37190979000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-24,28.5,32.0,12.2807,17.5709,18.488,2.204,2.6394,36841950000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-25,28.33,32.0,12.9545,17.4661,18.488,2.1909,2.6387,36622191000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-26,28.23,32.0,13.3546,17.4044,18.48,2.1831,2.635,36492921000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-29,28.21,32.0,13.435,17.3921,18.4687,2.1816,2.6249,36467067000.0,4.1547,6.8175,1.0,2.0,11.5,9.0485
2002-04-30,28.4,32.0,12.6761,17.533,18.4657,2.1963,2.6212,36712680000.0,4.1547,6.8134,1.0,2.0,11.5,9.0485
2002-05-01,28.48,32.0,12.3596,17.5824,18.4598,2.2025,2.6176,36816096000.0,4.1547,6.8134,1.0,2.0,11.5,9.0485
2002-05-02,28.5,32.0,12.2807,17.5948,18.449,2.204,2.6062,36841950000.0,4.1547,6.8134,1.0,2.0,11.5,9.0485
2002-05-03,29.29,32.0,9.2523,18.0825,18.4426,2.2651,2.5849,37863183000.0,4.1547,6.8134,1.0,2.0,11.5,9.0485
2002-05-06,29.1,32.0,9.9656,17.9652,18.4192,2.2504,2.5617,37617570000.0,4.1547,6.813,1.0,2.0,11.5,9.0485
