date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2025-02-26,355.88,406.0,14.0834,142.6373,142.6373,7.3442,18.411,7804243769.0,122.0733,338.778,9.0,2.0,12.7753,61.4995
2025-02-27,335.74,411.3125,22.5092,201.5246,172.081,7.0427,18.2442,7362585149.5,122.8993,495.5511,9.0,2.0,16.3092,169.0055
2025-02-28,341.27,412.625,20.9087,204.8439,201.5246,7.1587,18.1916,7483854869.75,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-03,313.47,412.625,31.6314,188.1573,194.841,6.5755,18.0679,6874216854.75,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-04,321.32,412.625,28.4156,192.8691,192.8691,6.7402,17.9661,7046362841.0,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-05,347.28,412.625,18.8162,208.4514,197.1968,7.2847,17.9156,7615650714.0,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-06,328.77,412.625,25.5057,197.3409,197.3409,6.8965,17.8383,7209737057.25,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-07,331.41,412.625,24.5059,198.9256,198.1332,6.9518,17.7582,7267630739.25,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-10,329.16,412.625,25.357,197.575,197.575,6.9047,17.6741,7218289533.0,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-11,335.39,412.625,23.0284,201.3145,198.2503,7.0353,17.651,7354909850.75,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-12,327.31,412.625,26.0655,196.4646,197.575,6.8658,17.6279,7177720096.75,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-13,323.02,412.625,27.7398,193.8896,197.4579,6.7759,17.6204,7083642863.5,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-14,348.35,412.625,18.4513,209.0936,197.575,7.3072,17.5998,7639115198.75,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-17,342.44,412.625,20.4956,205.5462,198.2503,7.1832,17.4694,7509512297.0,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-18,338.54,412.625,21.8837,203.2053,198.9256,7.1014,17.4611,7423987539.5,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-19,340.77,412.625,21.0861,204.5438,200.12,7.1482,17.4528,7472890157.25,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-20,335.13,412.625,23.1239,201.1585,201.1585,7.0299,17.4309,7349208200.25,122.8993,495.4917,9.0,2.0,16.3092,169.0055
2025-03-21,341.62,412.625,20.7848,205.054,201.2365,7.166,17.4309,7491530168.5,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-03-24,346.4,412.625,19.1181,207.9232,201.3145,7.2663,17.3331,7596352820.0,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-03-25,343.29,412.625,20.1972,206.0564,201.4196,7.2011,17.2928,7528152308.25,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-03-26,333.82,412.625,23.607,200.3721,201.3145,7.0024,17.2525,7320480653.5,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-03-27,337.27,412.625,22.3426,202.443,201.4196,7.0748,17.2233,7396137169.75,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-03-28,327.87,412.625,25.8502,196.8007,201.3145,6.8776,17.2132,7190000574.75,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-03-31,331.23,412.625,24.5736,198.8175,201.2365,6.9481,17.1292,7263683442.75,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-04-01,323.98,412.625,27.3613,194.4658,201.1585,6.796,17.1222,7104695111.5,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-04-02,334.6,412.625,23.3189,200.8403,200.9994,7.0188,17.0926,7337585605.0,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-04-03,327.1,412.625,26.1464,196.3385,200.8403,6.8614,17.0926,7173114917.5,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-04-04,314.39,412.625,31.2462,188.7095,200.6062,6.5948,17.0613,6894391925.75,122.8993,495.804,9.0,2.0,16.3092,169.0055
2025-04-07,310.52,412.625,32.8819,186.3866,200.3721,6.5136,17.0316,6809525051.0,122.9626,495.804,9.0,2.0,16.3092,169.0055
2025-04-08,302.78,412.625,36.2788,181.7407,199.6488,6.3513,17.0172,6639791301.5,122.9624,495.8422,9.0,2.0,16.3092,169.0055
2025-04-09,313.95,412.625,31.4302,188.4454,198.9256,6.5856,16.9607,6884742978.75,122.9624,495.8422,9.0,2.0,16.3092,169.0055
2025-04-10,307.35,412.625,34.2525,184.4838,198.8716,6.4472,16.8619,6740008773.75,122.9624,495.8422,9.0,2.0,16.3092,169.0055
2025-04-11,317.15,412.625,30.1041,190.3661,198.8175,6.6527,16.7366,6954917138.75,122.9624,495.8422,9.0,2.0,16.3092,169.0055
2025-04-14,322.32,412.625,28.0172,193.4694,198.1962,6.7612,16.6199,7068292266.0,122.9624,495.8422,9.0,2.0,16.3092,169.0055
2025-04-15,321.1,412.3125,28.4063,231.1236,198.8175,6.802,16.6193,7041538367.5,124.1645,594.2586,10.0,2.0,16.3092,169.0055
2025-04-16,307.78,412.3125,33.9634,221.536,198.8716,6.5198,16.6183,6749438426.5,124.1645,594.2586,10.0,2.0,16.3092,169.0055
2025-04-17,301.66,412.3125,36.6812,217.1309,198.9256,6.3902,16.6104,6615230345.5,124.1645,594.2586,10.0,2.0,16.3092,169.0055
2025-04-21,295.02,412.3125,39.7575,214.0929,199.6488,6.2495,16.522,6469618963.5,124.6124,598.1181,10.0,2.0,16.3092,169.0055
2025-04-22,302.72,412.3125,36.2026,233.7065,200.3721,6.4266,16.5216,6638475536.0,123.5111,607.8934,10.0,2.0,16.3092,169.0055
2025-04-23,308.79,412.3125,33.5252,315.5426,200.6062,6.5555,16.5176,6771587145.75,123.5116,798.4416,10.0,2.0,16.3092,169.0055
2025-04-24,319.93,412.3125,28.8758,326.9262,200.8403,6.792,16.5136,7015880940.25,123.5116,798.4416,10.0,2.0,16.3092,169.0055
2025-04-25,326.79,412.3125,26.1705,330.9936,200.9994,6.9388,16.4796,7166316795.75,123.7936,792.0029,10.0,2.0,16.3092,169.0055
2025-04-28,331.29,412.3125,24.4567,335.5515,201.1585,7.0344,16.464,7264999208.25,123.7936,792.0029,10.0,2.0,16.3092,169.0055
2025-04-29,340.8,412.3125,20.9837,345.1838,201.2365,7.2363,16.4591,7473548040.0,123.7936,792.0029,10.0,2.0,16.3092,169.0055
2025-04-30,333.91,412.3125,23.4801,338.2052,201.3145,7.09,16.4542,7322454301.75,123.7936,792.0029,10.0,2.0,16.3092,169.0055
2025-05-01,327.7,419.6875,28.0706,338.2052,201.3145,6.5951,16.4323,7239323597.8,131.8328,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-02,315.48,419.6875,33.0314,338.2052,201.3145,6.3492,16.3459,6969367740.72,131.8328,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-05,306.38,419.6875,36.9827,338.2052,201.3145,6.166,16.2667,6768336783.32,131.8328,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-06,295.13,419.6875,42.2043,338.2052,201.3145,5.9396,16.2445,6519809500.82,131.8328,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-07,298.83,419.6875,40.4436,338.2052,201.3145,6.0141,16.2223,6601547362.62,131.8328,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-08,299.57,419.6875,40.0966,338.2052,201.3145,6.029,16.1813,6617894934.98,131.8328,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-09,294.64,419.6875,42.4408,338.2052,201.3145,5.9298,16.1806,6508984756.96,131.833,2130.7489,12.0,2.0,17.6711,586.0221
2025-05-12,300.76,419.6875,39.5423,338.2052,201.3145,6.0529,16.152,6644183598.64,131.9577,2130.1243,12.0,2.0,17.6711,586.0221
2025-05-13,295.36,419.6875,42.0935,338.2052,201.3145,5.9443,16.1451,6524890503.04,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-14,282.86,419.6875,48.3729,338.2052,201.3145,5.6927,16.1382,6248749078.04,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-15,291.82,419.6875,43.8173,338.2052,201.3145,5.873,16.1364,6446687251.48,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-16,290.96,419.6875,44.2423,338.2052,201.3145,5.8557,16.1343,6427688721.44,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-19,290.72,419.6875,44.3614,338.2052,201.3145,5.8509,16.1104,6422386806.08,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-20,292.76,419.6875,43.3555,338.2052,201.3145,5.8919,16.106,6467453086.64,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-21,277.24,419.6875,51.3806,338.2052,201.3145,5.5796,16.1023,6124595893.36,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-22,273.35,419.6875,53.5348,338.2052,201.3145,5.5013,16.0688,6038660681.9,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-23,267.56,419.6875,56.8573,338.2052,201.3145,5.3848,16.0374,5910751973.84,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-27,271.57,419.6875,54.5412,338.2052,201.3145,5.4655,16.0183,5999338142.98,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-28,270.87,419.6875,54.9406,338.2052,201.3145,5.4514,16.0019,5983874223.18,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-29,269.93,419.6875,55.4801,338.2052,201.3145,5.4325,15.994,5963108388.02,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-05-30,275.26,419.6875,52.4695,338.2052,201.3145,5.5398,15.9852,6080855091.64,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-06-02,272.67,419.6875,53.9177,338.2052,201.3145,5.4876,15.9771,6023638588.38,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-06-03,284.41,419.6875,47.5643,338.2052,201.3145,5.7239,15.9766,6282990614.74,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-06-04,279.32,419.6875,50.2533,338.2052,201.3145,5.6215,15.965,6170545826.48,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-06-05,274.1,419.6875,53.1147,338.2052,201.3145,5.5164,15.9442,6055229167.4,131.9578,2130.7809,12.0,2.0,17.6711,586.0221
2025-06-06,278.23,420.6667,51.1939,338.2052,201.3145,5.5507,15.9232,6146466294.22,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-09,280.24,420.6667,50.1094,338.2052,201.3145,5.5908,15.8518,6190869835.36,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-10,282.32,420.6667,49.0035,338.2052,201.3145,5.6323,15.8322,6236819768.48,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-11,294.34,420.6667,42.9186,338.2052,201.3145,5.8721,15.8057,6502357362.76,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-12,297.21,420.6667,41.5385,338.2052,201.3145,5.9294,15.7971,6565759433.94,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-13,295.57,420.6667,42.3239,338.2052,201.3145,5.8967,15.7854,6529529678.98,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-16,285.06,420.6667,47.5713,338.2052,201.3145,5.687,15.7838,6297349968.84,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-17,279.6,420.6667,50.453,338.2052,201.3145,5.5781,15.7761,6176731394.4,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-18,282.72,420.6667,48.7927,338.2052,201.3145,5.6403,15.776,6245656294.08,133.4683,658.8807,11.0,2.0,17.6711,586.0221
2025-06-20,285.73,420.6667,47.2252,338.2052,201.3145,5.7004,15.7501,6312151149.22,133.4683,658.8807,11.0,2.0,17.6711,586.0221
