date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2021-03-25,42.74,43.0,0.6083,79.4424,54.3817,2.5149,2.0357,1065616203.98,11.5126,136.2414,2.0,1.0,2.0,33.2615
2021-03-26,44.29,43.0,-2.9126,82.3234,54.8347,2.6061,2.0362,1104261620.83,11.5126,136.2414,2.0,1.0,2.0,33.2615
2021-03-29,43.79,43.0,-1.8041,81.3941,55.2877,2.5762,2.0395,1091795357.33,11.5133,136.2414,2.0,1.0,2.0,33.2615
2021-03-30,46.89,43.0,-8.296,87.1561,55.7284,2.7586,2.0428,1169086191.03,11.5133,136.2414,2.0,1.0,2.0,33.2615
2021-03-31,50.19,45.8333,-8.6804,133.84,56.169,2.9775,2.0607,1251363530.13,10.9764,671.6242,3.0,1.0,2.0,33.2615
2021-04-01,54.35,47.3333,-12.9102,144.9333,56.2188,3.2243,2.0786,1355082842.45,10.9764,671.6242,3.0,1.0,2.0,33.2615
2021-04-05,57.28,49.3333,-13.8734,149.4391,56.2687,3.3982,2.0786,1428135146.56,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-06,57.37,49.3333,-14.0085,149.6739,56.8567,3.4035,2.0786,1430379073.99,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-07,55.61,49.3333,-11.287,145.0822,57.4447,3.2991,2.0796,1386497826.47,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-08,53.69,49.3333,-8.1145,140.073,57.7486,3.1852,2.0806,1338627374.63,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-09,52.37,49.3333,-5.7985,136.6293,58.0526,3.1069,2.0818,1305716438.99,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-12,52.88,49.3333,-6.7071,137.9598,58.5614,3.1371,2.0829,1318432027.76,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-13,56.99,49.3333,-13.4352,148.6825,59.0702,3.381,2.0918,1420904713.73,11.0398,674.8872,3.0,1.0,2.0,33.2615
2021-04-14,53.41,51.8333,-2.9521,264.7992,59.693,3.1643,2.1007,1331646267.07,11.2372,131.714,3.0,1.0,2.0,33.6332
2021-04-15,56.5,51.8333,-8.2596,280.119,60.3158,3.3473,2.104,1408687775.5,11.2372,131.714,3.0,1.0,2.0,33.6332
2021-04-16,56.53,53.1667,-5.9496,280.2677,60.3552,3.3491,2.1074,1409435751.31,11.2372,131.714,3.0,1.0,2.0,33.6332
2021-04-19,52.16,54.5,4.4862,258.6019,60.3947,3.0902,2.1109,1300480608.32,11.8799,131.714,3.0,1.0,2.0,33.6517
2021-04-20,52.1,54.5714,4.7436,219.7385,60.5658,3.0846,2.1144,1298984656.7,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-21,54.18,54.5714,0.7224,228.5112,60.7368,3.2078,2.1159,1350844312.86,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-22,56.62,54.5714,-3.6182,238.8022,60.8158,3.3523,2.1175,1411679678.74,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-23,52.56,54.5714,3.8269,221.6786,60.8947,3.1119,2.1239,1310453619.12,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-26,54.17,54.5714,0.741,228.469,61.2594,3.2072,2.1303,1350594987.59,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-27,53.99,54.5714,1.0769,227.7098,61.6242,3.1965,2.1331,1346107132.73,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-28,53.42,54.5714,2.1554,225.3058,61.6672,3.1628,2.1359,1331895592.34,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-29,54.96,54.5714,-0.7071,231.8009,61.7102,3.254,2.1382,1370291683.92,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-04-30,54.21,54.5714,0.6667,228.6377,62.0092,3.2096,2.1404,1351592288.67,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-03,57.49,54.5714,-5.0767,242.4715,62.3082,3.4038,2.1438,1433370977.23,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-04,57.51,54.5714,-5.1097,242.5559,62.4078,3.4049,2.1471,1433869627.77,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-05,57.03,54.5714,-4.3111,240.5314,62.5075,3.3765,2.1521,1421902014.81,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-06,55.9,54.5714,-2.3767,235.7655,62.657,3.3096,2.1572,1393728259.3,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-07,57.28,54.5714,-4.7287,241.5858,62.8065,3.3913,2.1605,1428135146.56,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-10,55.04,54.5714,-0.8514,232.1383,62.9958,3.2587,2.1639,1372286286.08,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-11,55.13,54.5714,-1.0132,232.5179,63.1852,3.264,2.1939,1374530213.51,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-12,54.08,54.5714,0.9087,228.0894,63.3347,3.2256,2.2238,1358327360.0,11.9035,154.9893,4.0,1.0,2.0,33.6517
2021-05-13,50.07,56.1429,12.1288,276.0198,63.4842,2.9078,2.2378,1257608190.0,12.7761,143.2004,4.0,1.0,2.0,33.2499
2021-05-14,51.55,57.4286,11.4037,284.1786,63.5838,2.987,2.2519,1294781350.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-17,51.5,57.4286,11.5118,283.903,63.6835,2.9841,2.2573,1293525500.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-18,50.38,57.4286,13.9909,277.7288,63.833,2.9192,2.2628,1265394460.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-19,50.08,57.4286,14.6737,276.075,63.9825,2.9018,2.2684,1257859360.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-20,46.92,57.4286,22.3968,258.6549,64.0822,2.7187,2.2741,1178489640.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-21,47.89,57.4286,19.9177,264.0022,64.1818,2.7749,2.2923,1202853130.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-24,49.21,57.4286,16.7011,271.2789,65.4408,2.8514,2.3105,1236007570.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-25,49.0,57.4286,17.2012,270.1213,66.6998,2.8392,2.3186,1230733000.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-26,47.97,57.4286,19.7177,264.4432,67.0282,2.7796,2.3266,1204862490.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-27,50.24,57.4286,14.3085,276.957,67.3567,2.9111,2.3296,1261878080.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-05-28,50.14,57.4286,14.5365,276.4057,70.1334,2.9053,2.3326,1259366380.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-01,51.01,57.4286,12.583,281.2018,72.91,2.9557,2.3971,1281218170.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-02,53.48,57.4286,7.3833,294.8181,74.5238,3.0988,2.4616,1343257160.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-03,50.75,57.4286,13.1598,279.7685,76.1375,2.9406,2.4736,1274687750.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-04,50.53,57.4286,13.6525,278.5557,76.3331,2.9279,2.4857,1269162010.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-07,51.71,57.4286,11.059,285.0606,76.5287,2.9963,2.4921,1298800070.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-08,51.39,57.4286,11.7505,283.2966,76.6111,2.9777,2.4985,1290762630.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-09,50.95,57.4286,12.7156,280.871,76.6934,2.9522,2.5012,1279711150.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-10,49.4,57.4286,16.2522,272.3264,77.3793,2.8624,2.5039,1240779800.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-11,50.0,57.4286,14.8572,275.634,78.0653,2.8972,2.5094,1255850000.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-14,49.88,57.4286,15.1335,274.9724,78.4024,2.8902,2.5149,1252835960.0,12.9885,143.2004,4.0,1.0,2.0,33.9165
2021-06-15,49.72,57.8571,16.3658,252.2577,78.7395,2.8557,2.5456,1248817240.0,13.5584,140.3884,4.0,1.0,2.0,33.9165
2021-06-16,49.54,57.8571,16.7887,251.3445,79.091,2.8454,2.5762,1244296180.0,13.5584,140.3884,4.0,1.0,2.0,33.9165
