date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2020-02-06,20.16,23.5191,16.6622,8.3617,8.3654,0.8887,0.8862,39473280000.0,27.731,8.3091,14.0,1.0,8.0,19.3479,24.45583273809524,8.856518504626978,18.17217619047619,5.073867295283741,33.312351242722215,13.09830889519245
2020-02-07,19.95,23.5639,18.1148,8.235,8.3654,0.8794,0.8862,39062100000.0,27.731,8.2192,14.0,1.0,8.0,19.3479,24.448274206349204,8.860308102589308,18.111915873015874,5.028541976969805,33.30858230893851,13.08337389604607
2020-02-10,19.91,23.5639,18.3521,8.2184,8.3651,0.8777,0.8863,38983780000.0,27.731,8.2192,14.0,1.0,8.0,19.3479,24.44073849206349,8.863880975308565,18.04818492063492,4.973471724838913,33.304619467372056,13.074713195796008
2020-02-11,20.21,23.5639,16.5952,8.3423,8.365,0.8909,0.8864,39571180000.0,27.731,8.2192,14.0,1.0,8.0,19.3479,24.43352638888889,8.868791184964289,17.960238095238093,4.899273230573948,33.30231757385318,13.060964864664143
2020-02-12,20.11,23.5399,17.0557,8.3092,8.3649,0.8842,0.8863,39274830000.0,27.731,8.2185,14.0,1.0,8.0,19.3479,24.42727817460317,8.872884670104936,17.89366587301587,4.853547856488836,33.30016284470811,13.040118016527034
2020-02-13,19.72,23.2988,18.1481,7.6633,8.3628,0.8434,0.8863,38513160000.0,-9.8816,8.1258,3.0,1.0,8.0,-13.4385,24.42067638888889,8.876322510514772,17.811009523809528,4.7581419247674726,33.29699889940366,13.052867599042056
2020-02-14,19.71,23.2513,17.967,7.6854,8.3617,0.853,0.8863,38493630000.0,-9.8117,8.1299,3.0,1.0,8.0,-12.8628,24.4123626984127,8.880408136893701,17.72533095238095,4.655451486925367,33.2927708353064,13.069879465455584
2020-02-18,19.58,23.2513,18.7503,7.6413,8.3468,0.8474,0.8864,38239740000.0,-9.8117,8.1299,3.0,1.0,8.0,-12.8628,24.409256944444447,8.882117302710764,17.663550793650792,4.588786326248007,33.29137424715521,13.074764467402783
2020-02-19,19.9,23.2532,16.8503,7.7656,8.3462,0.8612,0.8864,38864700000.0,-9.8117,8.131,3.0,1.0,8.0,-12.8628,24.40321825396825,8.886226974736921,17.578254761904763,4.501714637488526,33.289445228705176,13.076540124416235
2020-02-20,20.03,23.2532,16.0919,7.8163,8.3423,0.8669,0.8864,39118590000.0,-9.8117,8.131,3.0,1.0,8.0,-12.8628,24.394236706349204,8.892345316746617,17.473964285714285,4.3801339830187365,33.28658202309582,13.093830302695547
2020-02-21,19.51,23.2601,19.2214,7.6122,8.3404,0.8444,0.8864,38103030000.0,-9.8117,8.1307,3.0,1.0,8.0,-12.8628,24.38729365079365,8.895020302610526,17.413550793650792,4.301803773204987,33.28231395340418,13.111747020445804
2020-02-24,17.98,23.2601,29.3665,7.0152,8.3361,0.7782,0.887,35114940000.0,-9.8117,8.1307,3.0,1.0,8.0,-12.8628,24.400604563492067,8.897446335355612,17.429416666666665,4.342305034089763,33.29805089884768,13.087111632576905
2020-02-25,17.64,23.2601,31.86,6.8826,8.3351,0.7634,0.8864,34450920000.0,-9.8117,8.1307,3.0,1.0,8.0,-12.8628,24.41664047619048,8.903602875476905,17.445239682539682,4.391342162101924,33.32024335166738,13.053897520437758
2020-02-26,17.55,23.2601,32.5362,6.8474,8.3341,0.7595,0.8864,34275150000.0,-9.8117,8.1307,3.0,1.0,8.0,-12.8628,24.433959523809524,8.910901962387761,17.47582142857143,4.482695600936834,33.34486148619729,12.993125827634596
2020-02-27,16.86,23.2506,37.9039,6.5813,8.331,0.7322,0.8864,32927580000.0,-10.0204,8.0443,3.0,1.0,8.0,-12.8628,24.46445357142857,8.930665513809542,17.530688095238094,4.687084491162758,33.395119085238115,12.843603604075335
2020-02-28,16.84,23.2102,37.8278,6.5786,8.3281,0.7313,0.8864,32888520000.0,-10.0204,8.0454,3.0,1.0,8.0,-12.8628,24.493288095238096,8.950321967684905,17.589529365079365,4.892162759812076,33.443610062923,12.697366605267288
2020-03-02,17.2,23.2102,34.943,6.7193,8.3275,0.747,0.887,33591600000.0,-10.0204,8.0454,3.0,1.0,8.0,-12.8628,24.51273492063492,8.962373496512075,17.643018253968254,5.043637780862682,33.475108417147,12.599380473105573
2020-03-03,16.7,23.2021,38.9347,6.5265,8.3273,0.7252,0.8864,32615100000.0,-10.0204,8.046,3.0,1.0,8.0,-12.8628,24.53759900793651,8.984982986957776,17.733595238095237,5.31751292343126,33.52258199489429,12.416082314663978
2020-03-04,16.9,23.2054,37.3101,6.6036,8.3271,0.7339,0.8864,33005700000.0,-10.0204,8.0458,3.0,1.0,8.0,-12.8628,24.55586309523809,9.00158940071971,17.794555555555554,5.496006717835252,33.557452495957804,12.298548837720302
2020-03-05,16.65,23.2054,39.3718,6.5059,8.327,0.7231,0.8864,32517450000.0,-10.0204,8.0458,3.0,1.0,8.0,-12.8628,24.57944384920636,9.02482012632297,17.886780158730158,5.755780598946116,33.60426397552932,12.13099955978404
