date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2018-02-28,49.08,55.125,12.3166,8.8432,8.8432,5.1281,5.234,461528344.44,1.9411,-0.8601,2.0,1.0,5.0,0.0,2.452330555555556,8.148312349544844,1.5280658730158732,4.833294222323674,10.6006429051004,-3.3052283493078005
2018-03-01,49.65,55.125,11.0272,8.9459,8.8511,5.1876,5.234,466888392.45,1.9411,-0.8601,2.0,1.0,5.0,0.0,2.414104365079365,8.062178834707435,1.6374753968253968,4.891170095994537,10.4762831997868,-3.25369469916914
2018-03-02,50.23,55.125,9.7452,9.0505,8.8548,5.2482,5.2402,472342476.39,1.9411,-0.8601,2.0,1.0,5.0,0.0,2.380498611111111,7.99584642545005,1.7342857142857144,4.930124735877951,10.376345036561162,-3.1958390215922363
2018-03-05,51.34,54.75,6.642,9.6413,8.9023,5.6137,5.2407,482780464.62,0.7567,-2.3224,1.0,1.0,5.0,-1.7544,2.350123214285714,7.950300859315675,1.813697619047619,4.92793328953991,10.30042407360139,-3.114235670492291
2018-03-06,51.82,54.75,5.6542,9.7315,8.9028,5.6662,5.2438,487294189.26,0.7567,-2.3224,1.0,1.0,5.0,-1.7544,2.317233333333333,7.902034129122305,1.8904079365079367,4.911735522987557,10.21926746245564,-3.02132758647962
2018-03-07,51.64,54.75,6.0225,9.6977,8.9032,5.6465,5.2469,485601542.52,0.7567,-2.3224,1.0,1.0,5.0,-1.7544,2.287095238095238,7.8586738175897155,1.9580777777777776,4.90944436238395,10.145769055684951,-2.9513665846061725
2018-03-08,51.43,54.75,6.4554,9.6131,8.922,6.0416,5.2469,483626787.99,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.252794047619048,7.802363750655287,2.026338095238095,4.911725381067071,10.055157798274337,-2.885387285828976
2018-03-09,51.7,54.75,5.8994,9.6636,8.9326,6.0733,5.2474,486165758.1,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.218857142857143,7.748942339521041,2.0881396825396825,4.911074200638187,9.967799482378185,-2.8229345180985046
2018-03-12,52.84,54.75,3.6147,9.8766,8.938,6.2072,5.2491,496885854.12,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.1767501984126985,7.683175250239008,2.1338547619047623,4.898142856432267,9.859925448651708,-2.764288094527505
2018-03-13,52.69,54.75,3.9097,9.8486,8.942,6.1896,5.255,495475315.17,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.140178571428572,7.63068831572013,2.1859698412698414,4.881668952188839,9.770866887148705,-2.695699110918998
2018-03-14,53.11,54.75,3.0879,9.9271,8.9459,6.2389,5.2608,499424824.23,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.100474603174604,7.5732642042245235,2.235978571428572,4.858134459129187,9.673738807399127,-2.6221558877006155
2018-03-15,52.39,54.75,4.5047,9.7925,8.9514,6.1543,5.2617,492654237.27,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.061293650793651,7.509245366379037,2.2895722222222226,4.8455026834812,9.570539017172688,-2.5559304612589777
2018-03-16,53.29,54.75,2.7397,9.9607,8.954,6.2601,5.2642,501117470.97,0.8808,-2.3221,1.0,1.0,5.0,-1.7544,2.022587103174603,7.455068777431602,2.33441507936508,4.823086584121425,9.477655880606203,-2.4886715047563457
