date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-12-04,11.41,15.5,35.8457,10.5972,13.375,0.5803,1.0807,287817250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-05,9.97,15.5,55.4664,9.2598,13.375,0.507,1.0807,251493250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-08,9.92,15.5,56.25,9.2133,13.4174,0.5045,1.0839,250232000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-09,9.29,15.5,66.8461,8.6282,13.3962,0.4725,1.0823,234340250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-10,8.04,15.5,92.7861,7.4673,13.375,0.4089,1.0807,202809000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-11,6.83,15.5,126.94,6.3435,13.3608,0.3474,1.0798,172286750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-12,7.5,15.5,106.6667,6.9657,13.3608,0.3814,1.0798,189187500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-15,6.64,15.5,133.4337,6.167,13.3962,0.3377,1.0823,167494000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-16,6.67,15.5,132.3838,6.1949,13.375,0.3392,1.0807,168250750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-17,7.5,15.5,106.6667,6.9657,13.3608,0.3814,1.0798,189187500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-18,7.29,15.5,112.62,6.7707,13.3608,0.3707,1.0798,183890250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-19,7.83,15.5,97.9566,7.2722,13.3608,0.3982,1.0798,197511750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-22,7.64,15.5,102.8796,7.0958,13.3608,0.3885,1.0823,192719000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-23,7.92,15.5,95.7071,7.3558,13.3466,0.4028,1.0807,199782000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-24,7.99,15.5,93.9925,7.4208,13.3408,0.4063,1.0798,201547750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-26,8.7,15.5,78.1609,8.0802,13.3466,0.4425,1.0807,219457500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-29,8.5,15.5,82.3529,7.8945,13.2979,0.4323,1.0839,214412500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-30,9.26,15.5,67.3866,8.6004,13.2711,0.4709,1.0823,233583500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2008-12-31,9.39,15.5,65.0692,8.7211,13.2443,0.4775,1.0807,236862750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-02,9.73,15.5,59.3011,9.0369,13.2384,0.4948,1.0823,245439250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-05,9.95,15.5,55.7789,9.2412,13.207,0.506,1.084,250988750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-06,10.88,15.5,42.4632,10.105,13.1989,0.5533,1.0839,274448000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-07,10.26,15.5,51.0721,9.5291,13.1989,0.5218,1.0823,258808500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-08,9.95,15.5,55.7789,9.2412,13.1976,0.506,1.0823,250988750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-09,9.2,15.5,68.4783,8.5446,13.1948,0.4679,1.0823,232070000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-12,8.49,15.5,82.5677,7.8852,13.183,0.4318,1.0798,214160250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-13,9.11,15.5,70.1427,8.461,13.1785,0.4633,1.0788,229799750.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-14,8.37,15.5,85.1852,7.7738,13.1716,0.4257,1.0775,211133250.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-15,8.32,15.5,86.2981,7.7273,13.1648,0.4231,1.0762,209872000.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-16,8.5,15.5,82.3529,7.8945,13.15,0.4323,1.0753,214412500.0,-5.1518,-8.3552,1.0,2.0,14.0,337.3673
2009-01-20,7.67,15.5,102.086,7.1236,13.1307,0.3901,1.0748,193475750.0,-5.1518,-8.3552,1.0,2.0,11.5,337.3673
2009-01-21,8.17,15.5,89.7185,7.588,13.1292,0.4155,1.0743,206088250.0,-5.1518,-8.3552,1.0,2.0,11.5,337.3673
2009-01-22,7.72,15.5,100.7772,7.1701,13.1254,0.4389,1.0732,194737000.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-01-23,7.93,15.5,95.4603,7.3651,13.1184,0.4508,1.0725,200034250.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-01-26,7.81,15.5,98.4635,7.2536,13.1052,0.444,1.0672,197007250.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-01-27,7.73,15.5,100.5175,7.1793,13.1023,0.4395,1.064,194989250.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-01-28,8.24,15.5,88.1068,7.653,13.0901,0.4685,1.0638,207854000.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-01-29,7.55,15.5,105.298,7.0122,13.0645,0.4292,1.063,190448750.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-01-30,7.68,15.5,101.8229,7.1329,13.0455,0.4366,1.063,193728000.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-02,7.66,15.5,102.3499,7.1143,13.0378,0.4355,1.0638,193223500.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-03,7.7,15.5,101.2987,7.1515,13.035,0.4378,1.0638,194232500.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-04,7.59,15.5,104.2161,7.0493,13.0341,0.4315,1.0636,191457750.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-05,7.87,15.5,96.9504,7.3094,13.0284,0.4474,1.0636,198520750.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-06,8.51,15.5,82.1387,7.9038,13.0114,0.4838,1.0636,214664750.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-09,8.1,15.5,91.358,7.523,12.9943,0.4605,1.064,204322500.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-10,7.38,15.5,110.0271,6.8543,12.9794,0.4196,1.0638,186160500.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-11,7.34,15.5,111.1717,6.8171,12.9645,0.4173,1.0636,185151500.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-12,7.28,15.5,112.9121,6.7614,12.9611,0.4139,1.0636,183638000.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-13,7.29,15.5,112.62,6.7707,12.9489,0.4145,1.0636,183890250.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-17,7.06,15.5,119.5467,6.5571,12.9444,0.4014,1.064,178088500.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
2009-02-18,6.8,15.5,127.9412,6.3156,12.9388,0.3866,1.0638,171530000.0,-4.7817,-8.3552,1.0,1.0,10.0,337.3673
