date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2025-09-11,5.97,7.0833,18.6482,2296.1538,2296.1538,3.8058,3.9938,2755256490.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.154164682539683,15.031741361740746,9.855014285714288,10.956989092663967,40.18590604428043,-1.1019748069496806
2025-09-12,5.83,7.0833,21.4974,2242.3077,2269.2307,3.7165,3.9916,2690644110.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.186786706349206,15.005855666709037,9.847890476190477,10.949059779239104,40.19264237305824,-1.1011693030486267
2025-09-15,5.8,7.0833,22.1259,2230.7692,2242.3077,3.6974,3.9804,2676798600.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.220350793650795,14.979979516510406,9.869446825396825,10.970688077269934,40.2003303101612,-1.101241251873109
2025-09-16,5.79,7.0833,22.3368,2226.9231,2236.5384,3.691,3.9706,2672183430.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.25843273809524,14.948106998147082,9.940939682539682,11.02263999555168,40.20653973624232,-1.0817003130119982
2025-09-17,5.8,7.0833,22.1259,2230.7692,2230.7692,3.6974,3.9686,2676798600.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.29609623015873,14.916155110519654,10.048650793650792,11.075165997909115,40.21225134067839,-1.026515204258322
2025-09-18,5.81,7.0833,21.9157,2234.6154,2232.6923,3.7038,3.9658,2681413770.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.330839285714287,14.887764724097645,10.166004761904762,11.12222299686443,40.218604009811926,-0.9562182349596676
2025-09-19,5.69,7.0833,24.4868,2188.4615,2230.7692,3.6273,3.9649,2626031730.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.36833273809524,14.86172268375002,10.294358730158727,11.193769955465674,40.23005542184526,-0.8994112253069453
2025-09-22,5.73,7.0833,23.6178,2203.8462,2230.7692,3.6528,3.9562,2644492410.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.401809325396822,14.838675645056052,10.396367460317462,11.256479899129014,40.24048497045288,-0.8601124388115515
2025-09-23,5.56,7.0833,27.3975,2138.4615,2230.7692,3.5444,3.9555,2566034520.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.44040178571429,14.81846844906462,10.540147619047618,11.35737033282428,40.25887023477891,-0.8172227137766619
2025-09-24,5.5,7.0833,28.7873,2115.3846,2228.8462,3.5062,3.9535,2538343500.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.47536884920635,14.805500535748193,10.681190476190478,11.473084436286143,40.28086938495454,-0.7918939600956669
2025-09-25,5.35,7.0833,32.3981,2057.6923,2226.9231,3.4105,3.9454,2469115950.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.520027182539685,14.792336973626233,10.846876984126984,11.634918900270378,40.31236415616592,-0.7880419161433938
2025-09-26,5.36,7.0833,32.1511,2061.5385,2215.3846,3.4169,3.9388,2473731120.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.55982738095238,14.783118074841935,10.989971428571428,11.78540995487471,40.34294545579432,-0.7954385263032826
2025-09-29,5.4,7.0278,30.1444,2076.9231,2203.8462,3.4424,3.9324,2492191800.0,20.1091,1242.7667,7.0,1.0,0.0,67.2529,25.5941507936508,14.773618394137172,11.095523015873017,11.897291838916486,40.36776918778797,-0.8017688230434707
