date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2013-01-08,29.29,31.7143,8.2769,12.01,10.8156,0.4906,0.3835,2988429410.0,11.4344,84.3785,3.0,2.0,15.0,130.1431,19.626389375,6.309700076134119,17.781124603174604,5.683536195625904,25.93608945113412,12.0975884075487
2013-01-09,28.91,31.7143,9.7001,11.8542,10.8212,0.4837,0.384,2949658390.0,11.4324,84.3398,3.0,2.0,15.0,129.9659,19.564735403726708,6.33841330631541,17.67390079365079,5.707679990265686,25.90314871004212,11.966220803385106
2013-01-10,28.96,31.7143,9.5107,11.8747,10.8268,0.4845,0.3842,2954759840.0,11.4324,84.3398,3.0,2.0,15.0,129.9659,19.502673456790124,6.367881837032554,17.54279126984127,5.703921845678034,25.87055529382268,11.838869424163237
2013-01-11,29.15,31.7143,8.7969,11.9526,10.8298,0.4877,0.3845,2974145350.0,11.4324,84.3398,3.0,2.0,15.0,129.9659,19.43699386503068,6.403339892430108,17.38208492063492,5.662335570049758,25.840333757460783,11.71974935058516
2013-01-14,28.76,32.0,11.2656,11.733,10.8442,0.4807,0.3855,2934354040.0,11.0303,82.9398,4.0,2.0,15.0,129.9659,19.38716829268293,6.415477805154993,17.25283412698413,5.614018933379719,25.80264609783792,11.638815193604412
2013-01-15,28.96,32.7143,12.9637,11.7485,10.8606,0.4814,0.3857,2954759840.0,11.039,82.8071,5.0,2.0,15.0,129.9659,19.348238181818186,6.4154077204088935,17.161379365079362,5.589032637633343,25.76364590222708,11.57234672744602
2013-01-16,29.43,32.7143,11.1597,11.9391,10.877,0.4892,0.386,3002713470.0,11.039,82.8071,5.0,2.0,15.0,129.9659,19.298909638554218,6.427436950328801,17.06937380952381,5.591675797986548,25.72634658888302,11.477698011537262
2013-01-17,29.73,32.7143,10.038,12.0609,10.884,0.4942,0.3862,3033322170.0,11.039,82.8071,5.0,2.0,15.0,129.9659,19.24345508982036,6.447994895488677,16.9849253968254,5.617024572621146,25.69144998530904,11.367900824204254
2013-01-18,30.58,32.7143,6.9794,12.4057,10.891,0.5083,0.387,3120046820.0,11.039,82.8071,5.0,2.0,15.0,129.9659,19.17045476190476,6.497919383168496,16.868265079365077,5.671145051945922,25.66837414507326,11.197120027419157
2013-01-22,31.09,32.7143,5.2245,12.6126,10.8983,0.5168,0.3879,3172081610.0,11.039,82.8071,5.0,2.0,15.0,129.9659,19.087934319526628,6.566769033977126,16.77198253968254,5.765002685918942,25.65470335350376,11.006979853763598
2013-01-23,31.24,32.7143,4.7193,12.6734,10.9056,0.5193,0.3892,3187385960.0,11.039,82.8071,5.0,2.0,15.0,129.9659,19.00341294117647,6.639408849020139,16.698209523809524,5.85927353571315,25.64282179019661,10.838935988096374
2013-01-24,31.4,32.7143,4.1857,12.7383,10.908,0.5219,0.3905,3203710600.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.91675964912281,6.716133490375151,16.603503968253968,5.96421504055513,25.63289313949796,10.639288927698836
2013-01-25,31.35,32.7143,4.3518,12.7181,10.9104,0.5211,0.3906,3198609150.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.83207965116279,6.787932631519802,16.50235873015873,6.063038977453723,25.62001228268259,10.439319752705009
2013-01-28,31.13,32.7143,5.0893,12.6288,10.9146,0.5175,0.3907,3176162770.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.75264161849711,6.84834614319244,16.418855555555556,6.147285247490049,25.60098776168955,10.271570308065506
2013-01-29,30.94,32.7143,5.7346,12.5517,10.9188,0.5143,0.3914,3156777260.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.677825287356324,6.899471692830264,16.36432142857143,6.211524421983468,25.57729698018659,10.152797006587962
2013-01-30,30.61,32.7143,6.8746,12.4178,10.9194,0.5088,0.3921,3123107690.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.610378285714287,6.937234535783573,16.322626984126988,6.257647899745234,25.54761282149786,10.064979084381754
2013-01-31,30.73,32.7143,6.4572,12.4665,10.9201,0.5108,0.3922,3135351170.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.54132613636364,6.977780794222995,16.279126984126986,6.307224226709078,25.51910693058663,9.971902757417908
2013-02-01,31.07,32.7143,5.2922,12.6045,10.9297,0.5165,0.3922,3170041030.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.46647231638418,7.0288354693906,16.207160317460318,6.380602866552078,25.49530778577478,9.82655745090824
2013-02-04,30.33,32.7143,7.8612,12.3043,10.9515,0.5042,0.3926,3094539570.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.406892134831462,7.05388336155028,16.128066666666665,6.421996299656353,25.460775496381743,9.706070367010312
2013-02-05,30.15,32.7143,8.5051,12.2312,10.9637,0.5012,0.3934,3076174350.0,11.039,82.8071,5.0,2.0,15.0,129.9659,18.351574860335194,7.072868965594996,16.050735714285715,6.454835818472394,25.42444382593019,9.59589989581332
2013-02-06,30.11,33.6667,11.8124,12.0992,10.964,0.4995,0.3941,3072093190.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.31524611111111,7.069905481580106,16.045579365079366,6.457984214094263,25.385151592691216,9.587595150985102
2013-02-07,30.1,33.6667,11.8495,12.0952,10.9644,0.4994,0.3941,3071072900.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.27952375690608,7.066600931654895,16.051226984126984,6.453967933064583,25.34612468856097,9.597259051062402
2013-02-08,30.05,33.6667,12.0356,12.0751,10.9662,0.4985,0.3941,3065971450.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.245216483516483,7.06223523643573,16.0624126984127,6.445706376979746,25.30745171995221,9.616706321432954
2013-02-11,30.29,33.6667,11.1479,12.1715,10.9681,0.5025,0.3945,3090458410.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.206433333333333,7.062321392379946,16.018654761904763,6.460305706185818,25.26875472571328,9.558349055718946
2013-02-12,30.47,33.6667,10.4913,12.2438,10.9724,0.5055,0.3949,3108823630.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.16450326086957,7.065927469594002,15.951980952380952,6.473748833925686,25.230430730463567,9.478232118455267
2013-02-13,31.0,33.6667,8.6023,12.4568,10.9767,0.5143,0.395,3162899000.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.11281567567568,7.081682992834609,15.854894444444444,6.491632970454259,25.194498668510285,9.363261473990184
2013-02-14,31.74,33.6667,6.0703,12.7542,10.9799,0.5266,0.3952,3238400460.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,18.048070967741936,7.117502428886599,15.733030158730156,6.530238034513219,25.16557339662853,9.202792124216938
2013-02-15,32.02,33.6667,5.1427,12.8667,10.9831,0.5312,0.3952,3266968580.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,17.979058288770055,7.16080412310944,15.591238095238095,6.564870448828144,25.13986241187949,9.026367646409952
2013-02-19,31.89,33.6667,5.5713,12.8144,10.9902,0.529,0.3952,3253704810.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,17.913059574468086,7.198736181383451,15.427382539682538,6.555179808622536,25.11179575585154,8.872202731060003
2013-02-20,31.42,33.6667,7.1505,12.6256,10.9972,0.5213,0.3957,3205751180.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,17.856114814814813,7.222120609015218,15.26880476190476,6.511315922433577,25.07823542383003,8.757488839471183
2013-02-21,30.97,33.6667,8.7075,12.4447,11.0005,0.5112,0.3962,3144012460.0,10.7523,82.5819,4.0,2.0,15.0,129.9659,17.807964210526315,7.233502867897156,15.148831746031746,6.491655221709175,25.04146707842347,8.657176524322571
2013-02-22,29.53,32.2857,9.3319,10.9777,10.9972,0.4693,0.3964,2997826540.0,7.9949,15.7817,2.0,2.0,15.0,17.8449,17.763586910994764,7.240464170384193,15.007566666666667,6.4221125219167465,25.00405108137896,8.58545414474992
2013-02-25,29.15,32.2857,10.7571,10.7652,10.9902,0.4623,0.3967,2959249700.0,7.9944,15.7983,2.0,2.0,15.0,17.8586,17.727094791666666,7.239166393454384,14.884418253968256,6.352743503027964,24.96626118512105,8.53167475094029
2013-02-26,29.48,32.2857,9.5173,10.8871,10.9831,0.4675,0.3969,2992750640.0,7.9944,15.7983,2.0,2.0,15.0,17.8586,17.684556994818653,7.244433116953012,14.735871428571429,6.256182670937368,24.928990111771665,8.479688757634062
2013-02-27,30.97,32.2857,4.2483,11.4373,10.9902,0.4912,0.397,3144012460.0,7.9944,15.7983,2.0,2.0,15.0,17.8586,17.61529793814433,7.289750831672602,14.55243015873016,6.221774840262467,24.905048769816933,8.330655318467691
2013-02-28,30.72,32.2857,5.0967,11.3484,10.9972,0.4885,0.3972,3118632960.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.5511,7.325995866092201,14.380739682539684,6.1814050327358885,24.877095866092205,8.199334649803795
2013-03-01,30.61,32.2857,5.4744,11.3077,11.0005,0.4867,0.3973,3107465980.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.48948418367347,7.357927648803747,14.204731746031744,6.115900689588083,24.847411832477214,8.088831056443663
2013-03-04,30.3,32.3333,6.7106,11.2593,11.0038,0.4828,0.3988,3075995400.0,7.998,15.799,2.0,2.0,15.0,17.6756,17.434769035532995,7.379203726393381,14.055292063492065,6.066557508368017,24.813972761926376,7.988734555124045
2013-03-05,30.45,32.3333,6.1849,11.3151,11.0084,0.4852,0.4002,3091223100.0,7.998,15.799,2.0,2.0,15.0,17.6756,17.377951515151516,7.40374418250471,13.908755555555556,6.03152479936614,24.781695697656225,7.877230756189415
2013-03-06,29.35,32.3333,10.1646,10.9063,11.0038,0.4677,0.4006,2979553300.0,7.998,15.799,2.0,2.0,15.0,17.6756,17.341703517587938,7.402705712951404,13.769971428571427,5.912794912659918,24.74440923053934,7.857176515911511
2013-03-07,30.0,32.2857,7.619,11.0824,11.0084,0.477,0.401,3045540000.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.29309,7.416018442933491,13.612364285714284,5.808236378405595,24.70910844293349,7.804127907308691
2013-03-08,30.7,32.2857,5.1651,11.341,11.0131,0.4882,0.401,3116602600.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.232751741293534,7.446752627582676,13.43711507936508,5.726114283065843,24.67950436887621,7.711000796299237
2013-03-11,30.5,32.2857,5.8548,11.2671,11.0154,0.485,0.4011,3096299000.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.176425247524755,7.47121902079059,13.27053253968254,5.6375833164054034,24.647644268315343,7.632949223277136
2013-03-12,29.73,32.2857,8.5964,10.9826,11.0131,0.4727,0.4011,3018130140.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.134159113300495,7.476993106159565,13.142696031746032,5.558317732974967,24.61115221946006,7.584378298771066
2013-03-13,30.05,32.2857,7.4399,11.1008,11.0154,0.4778,0.4011,3050615900.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.086638235294117,7.489373099765855,13.016976984126982,5.506081983206014,24.57601133505997,7.510895000920968
2013-03-14,30.5,32.2857,5.8548,11.2671,11.0178,0.485,0.4012,3096299000.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,17.031848780487806,7.512066377695485,12.868698412698413,5.444565848153303,24.54391515818329,7.424132564545109
2013-03-15,30.6,32.8571,7.3761,11.304,11.0246,0.4866,0.4013,3106450800.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.984976213592233,7.523859191513632,12.729856349206347,5.358444430533847,24.508835405105867,7.371411918672502
2013-03-18,30.51,32.8571,7.6929,11.2708,11.0315,0.4851,0.4015,3097314180.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.94008695652174,7.533310905305457,12.600095238095236,5.27968369766002,24.473397861827195,7.3204115404352175
2013-03-19,30.2,32.8571,8.7983,11.1563,11.0315,0.4802,0.4017,3065843600.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.90094375,7.536266351428334,12.521136507936507,5.261379992581446,24.43721010142833,7.259756515355061
2013-03-20,31.57,32.8571,4.077,11.6624,11.0315,0.502,0.4019,3204923260.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.839585167464115,7.57027840658403,12.453240476190476,5.314866137425137,24.409863574048146,7.138374338765339
2013-03-21,32.05,32.8571,2.5183,11.8397,11.0318,0.5096,0.402,3253651900.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.77138857142857,7.616532791229143,12.3670126984127,5.387301371113119,24.38792136265772,6.97971132729958
2013-03-22,32.51,32.8571,1.0677,12.0096,11.0322,0.5169,0.402,3300350180.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.696963507109004,7.67489897080365,12.273925396825396,5.480346721307847,24.371862477912654,6.793578675517549
2013-03-25,31.9,32.8571,3.0003,11.7843,11.0393,0.5072,0.402,3238424200.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.632356603773584,7.714259977390663,12.194034126984128,5.541727246051168,24.34661658116425,6.652306880932959
2013-03-26,32.18,32.8571,2.1041,11.8877,11.0464,0.5117,0.4024,3266849240.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.56414882629108,7.760157244258885,12.10703015873016,5.613508156000399,24.32430607054997,6.493522002729761
2013-03-27,32.62,32.8571,0.7269,12.0502,11.0532,0.5187,0.4027,3311517160.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.490142990654206,7.817247987276283,12.01301507936508,5.704111467944032,24.30739097793049,6.308903611421047
2013-03-28,32.93,32.8571,-0.2214,12.1648,11.06,0.5236,0.4028,3342987740.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.41241488372093,7.881799598421925,11.909696825396829,5.806777211334154,24.294214482142856,6.102919614062673
2013-04-01,31.61,32.8571,3.9453,11.6771,11.06,0.5026,0.4029,3208983980.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.35469675925926,7.909070761196754,11.826075396825397,5.845181652030129,24.26376752045601,5.980893744795268
2013-04-02,31.39,32.8571,4.6738,11.5959,11.06,0.4991,0.4031,3186650020.0,7.9966,15.7978,2.0,2.0,15.0,17.8586,16.300867741935484,7.930483744648861,11.727603174603171,5.860433043234063,24.231351486584344,5.86717013136911
2013-04-03,30.63,32.8571,7.271,11.3151,11.0694,0.4875,0.4033,3109496340.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.259446330275228,7.935790746385914,11.653944444444445,5.857635913732494,24.195237076661144,5.796308530711949
2013-04-04,30.35,32.8571,8.2606,11.2117,11.0788,0.4831,0.4034,3081071300.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.22292191780822,7.9359967014303745,11.597920634920635,5.856053002510362,24.15891861923859,5.7418676324102735
2013-04-05,29.99,32.8571,9.5602,11.0787,11.0788,0.4773,0.4034,3044524820.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.192636818181818,7.930589179513023,11.555548412698412,5.851289017066009,24.12322599769484,5.704259395632404
2013-04-08,30.12,32.8571,9.0873,11.1267,11.0788,0.4794,0.4038,3057722160.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.16048597285068,7.926966909774888,11.464854761904762,5.799646441356316,24.087452882625566,5.665208320548446
2013-04-09,30.83,32.8571,6.5751,11.389,11.0806,0.4907,0.4042,3129799940.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.11730855855856,7.935133718995714,11.34436746031746,5.741532847312861,24.05244227755428,5.6028346130046
2013-04-10,31.15,32.8571,5.4803,11.5072,11.0824,0.4958,0.4048,3162285700.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.069608968609867,7.949219829049255,11.252296031746033,5.741816229151187,24.01882879765912,5.510479802594844
2013-04-11,31.02,32.8571,5.9223,11.4592,11.0827,0.4937,0.4053,3149088360.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,16.024308482142857,7.960302146555551,11.167172222222222,5.740689862901675,23.98461062869841,5.426482359320547
2013-04-12,30.65,32.8571,7.201,11.3225,11.0829,0.4878,0.4065,3111526700.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,15.985093777777776,7.964265687305821,11.077888888888888,5.71392428878397,23.9493594650836,5.363964600104918
2013-04-15,29.39,32.8571,11.7969,10.857,11.0827,0.4678,0.4077,2983614020.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,15.966561946902656,7.951429671681762,11.01032380952381,5.653900888546633,23.917991618584416,5.3564229209771765
2013-04-16,29.32,32.8571,12.0638,10.8312,11.0824,0.4667,0.408,2976507760.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,15.949369162995596,7.938046075370729,10.941216666666667,5.586452049474678,23.887415238366323,5.354764617191989
2013-04-17,28.63,32.8571,14.7646,10.5763,11.0806,0.4557,0.4083,2906460340.0,7.8239,15.7978,2.0,2.0,15.0,17.8586,15.944172807017544,7.920930724272791,10.915872222222225,5.561552221783236,23.865103531290337,5.354320000438987
2013-04-18,28.43,32.8571,15.5719,10.4637,11.0788,0.4525,0.4086,2886156740.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.942547161572053,7.903579459220023,10.90350873015873,5.549346317266837,23.84612662079208,5.354162412891894
2013-04-19,28.81,32.8571,14.0476,10.6036,11.0788,0.4585,0.409,2924733580.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.934308260869564,7.887293628083613,10.882109523809524,5.531815622139661,23.82160188895317,5.350293901669863
2013-04-22,28.82,32.8571,14.008,10.6073,11.0787,0.4587,0.4091,2925748760.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.925969264069264,7.871149128207776,10.863057936507936,5.516743587231179,23.79711839227704,5.346314349276756
2013-04-23,29.49,32.8571,11.4178,10.8539,11.0694,0.4694,0.4092,2993765820.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.9065375,7.859668368714005,10.841666666666669,5.509261137655378,23.766205868714003,5.33240552901129
2013-04-24,30.1,32.8571,9.1598,11.0784,11.0784,0.4791,0.4094,3055691800.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.87758154506438,7.855156025456787,10.81173253968254,5.508061840565384,23.732737570521167,5.303670699117156
2013-04-25,29.99,32.8571,9.5602,11.0379,11.0692,0.4773,0.4095,3044524820.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.850584188034189,7.849153266635804,10.766023015873015,5.4942336027243925,23.69973745467,5.271789413148623
2013-04-26,29.28,32.8571,12.2169,10.7766,11.06,0.466,0.4095,2972447040.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.83512170212766,7.835949564939188,10.741398412698413,5.480597732422741,23.67107126706685,5.260800680275672
2013-04-29,29.9,32.8571,9.89,11.0048,11.06,0.4759,0.4096,3035388200.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.809930508474576,7.82883035585025,10.67775634920635,5.4431317448615175,23.638760864324823,5.234624604344832
2013-04-30,29.95,32.8571,9.7065,11.0232,11.06,0.4767,0.4099,3040464100.0,7.8239,16.4075,2.0,2.0,15.0,17.8586,15.784177637130805,7.822279701837406,10.616146825396829,5.409473475534349,23.60645733896821,5.206673349862478
2013-05-01,28.89,32.8571,13.7317,10.6566,11.0532,0.4608,0.4102,2932855020.0,7.4372,15.9799,2.0,2.0,15.0,17.8586,15.775553781512604,7.806893270523721,10.569975396825397,5.357191241203703,23.58244705203633,5.212784155621694
2013-05-02,28.7,32.8571,14.4847,10.5865,11.0464,0.4619,0.4102,2939626200.0,7.4372,15.9799,2.0,2.0,15.0,17.8586,15.77015271966527,7.790922425418551,10.534159523809524,5.315319382512062,23.561075145083823,5.218840141297461
2013-05-03,30.84,34.25,11.0571,11.3725,11.0532,0.5016,0.4103,3158817840.0,7.1695,14.4052,2.0,2.0,15.0,17.8063,15.750515,7.780556364674349,10.467264285714284,5.254448385792187,23.53107136467435,5.212815899922098
2013-05-06,31.39,34.5,9.9076,11.5946,11.06,0.5106,0.4104,3215152140.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.726270539419088,7.773446978486239,10.414329365079364,5.22591992300022,23.499717517905324,5.188409442079143
2013-05-07,31.8,34.5,8.4906,11.746,11.06,0.5172,0.4105,3257146800.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.696371074380163,7.771234672309538,10.320031746031749,5.151468157093079,23.467605746689703,5.168563588938668
2013-05-08,32.07,34.5,7.5772,11.8458,11.06,0.5216,0.4107,3284801820.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.662958847736626,7.772632361831083,10.22309126984127,5.08631856550128,23.435591209567708,5.13677270433999
2013-05-09,31.61,34.5,9.1427,11.6758,11.0692,0.5142,0.411,3237685860.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.636236475409836,7.767846168594753,10.128163492063493,4.992374923526511,23.40408264400459,5.13578856853698
2013-05-10,31.29,34.625,10.6584,11.5576,11.0784,0.509,0.4122,3204909540.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.615918775510204,7.758432800759982,10.018207936507936,4.822709559716025,23.374351576270183,5.195498376791911
2013-05-13,31.28,34.625,10.6937,11.5539,11.0786,0.5088,0.4133,3203885280.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.595909756097562,7.748940665648512,9.904665873015874,4.631797721354621,23.34485042174608,5.272868151661253
2013-05-14,32.11,34.625,7.8325,11.8605,11.0787,0.5223,0.4144,3288898860.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.56447894736842,7.7489355349571,9.743551587301589,4.33631035237531,23.31341448232552,5.407241234926277
2013-05-15,32.55,34.625,6.3748,12.023,11.0788,0.5294,0.4156,3333966300.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.52742379032258,7.755219255388488,9.608659523809523,4.170171642072829,23.28264304571107,5.438487881736694
2013-05-16,32.53,34.625,6.4402,12.0157,11.0788,0.5291,0.4196,3331917780.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.490928915662652,7.760963147643462,9.482080158730158,4.018427102377621,23.25189206330612,5.463653056352537
2013-05-17,33.31,34.625,3.9478,12.3038,11.0806,0.5418,0.4236,3411810060.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.4447564,7.77969321327453,9.331633333333334,3.8637756376269854,23.22444961327453,5.467857695706348
2013-05-20,33.68,34.625,2.8058,12.4404,11.0824,0.5478,0.4241,3449707680.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.394401992031874,7.804995781776955,9.172942857142855,3.7138554696364254,23.19939777380883,5.459087387506431
2013-05-21,33.7,34.625,2.7448,12.4478,11.0827,0.5482,0.4246,3451756200.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.344205158730158,7.830084806922517,9.04547619047619,3.655763697493097,23.17428996565268,5.389712492983094
2013-05-22,33.1,34.625,4.6073,12.2262,11.0829,0.5384,0.4267,3390300600.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.301766798418972,7.843633735550427,8.95268492063492,3.618369731292067,23.1454005339694,5.334315189342854
2013-05-23,33.12,34.625,4.5441,12.2336,11.083,0.5387,0.4288,3392349120.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.259413779527558,7.857164727140074,8.855403968253968,3.5701140041718498,23.11657850666764,5.285289964082119
2013-05-24,32.74,34.625,5.7575,12.0932,11.0832,0.5325,0.4329,3353427240.0,7.1695,14.4058,2.0,2.0,15.0,17.7079,15.22215137254902,7.864225988538682,8.785270634920634,3.5431698547389208,23.086377361087703,5.242100780181714
2013-05-28,33.2,34.625,4.2922,12.3788,11.0894,0.5451,0.437,3400543200.0,5.7343,14.3786,3.0,2.0,15.0,13.7977,15.17945625,7.878462570904129,8.738254761904763,3.5632773456941256,23.057918820904128,5.174977416210638
2013-05-29,28.51,34.5625,21.2294,10.5636,11.0832,0.4711,0.4423,2920165260.0,5.1602,13.9842,3.0,2.0,15.0,13.7977,15.202996887159534,7.872110924049355,8.816480952380953,3.726053673981913,23.075107811208888,5.09042727839904
2013-05-30,27.4,34.3125,25.2281,10.2281,11.083,0.4543,0.4476,2806472400.0,5.1646,14.0211,3.0,2.0,15.0,13.7977,15.241853875968992,7.88153200893977,8.922449206349208,3.993995073201668,23.123385884908764,4.92845413314754
2013-05-31,28.39,34.3125,20.8612,10.6079,11.0829,0.4742,0.448,2907874140.0,5.1681,14.106,3.0,2.0,15.0,13.7977,15.263550193050191,7.873988592953832,8.995427777777776,4.1263405278699485,23.137538786004026,4.869087249907827
2013-06-03,28.22,34.0625,20.7034,10.8488,11.0827,0.4766,0.4485,2890461720.0,4.1322,12.5269,3.0,2.0,15.0,13.7977,15.284472692307691,7.866011095115444,9.06702857142857,4.2497532758663725,23.150483787423138,4.817275295562198
2013-06-04,26.93,33.0625,22.772,10.681,11.0824,0.4594,0.4488,2758332180.0,4.1487,12.653,3.0,2.0,15.0,13.7977,15.313160536398469,7.864537757511327,9.187933333333334,4.419227818123866,23.177698293909792,4.768705515209468
2013-06-05,26.93,33.0625,22.772,10.681,11.0806,0.4594,0.4491,2758332180.0,4.1487,12.653,3.0,2.0,15.0,13.7469,15.341629389312976,7.862971569778226,9.304246031746032,4.580717250853184,23.2046009590912,4.723528780892848
2013-06-06,27.34,33.0625,20.9309,10.8436,11.0788,0.4664,0.4494,2800326840.0,4.1487,12.653,3.0,2.0,15.0,13.7469,15.362881368821292,7.855515682864847,9.413270634920634,4.692205225436182,23.21839705168614,4.721065409484452
2013-06-07,27.31,33.0625,21.0637,10.8317,11.0788,0.4659,0.4496,2797254060.0,4.1487,12.6317,3.0,2.0,15.0,13.7469,15.384475378787878,7.848413515835619,9.50035634920635,4.805344094576286,23.232888894623496,4.695012254630063
2013-06-10,27.28,33.0625,21.1968,10.8198,11.0787,0.4654,0.4496,2794181280.0,4.1487,12.6317,3.0,2.0,15.0,13.7469,15.406408679245285,7.84166780445441,9.570020634920636,4.910472662207846,23.24807648369969,4.659547972712788
2013-06-11,27.3,33.0625,21.1081,10.8277,11.0786,0.4658,0.4497,2796229800.0,4.1487,12.6317,3.0,2.0,15.0,13.7469,15.427843609022558,7.834661763850446,9.633315079365078,5.007211115773991,23.262505372873004,4.626103963591087
2013-06-12,26.96,33.0625,22.6354,10.6929,11.0784,0.46,0.45,2761404960.0,4.1487,12.6317,3.0,2.0,15.0,13.7469,15.45483820224719,7.832351555598741,9.721298412698411,5.136868671040489,23.28718975784593,4.5844297416579245
