date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-02-28,5.15,5.75,11.6505,20.9861,57.3137,2.9329,6.5865,2456344000.0,19.6146,27.7937,3.0,5.0,25.0,11.9898
2003-03-03,5.0,5.75,6.0,20.2758,57.0377,2.8475,6.5638,2384800000.0,19.6146,27.8913,3.0,5.0,25.0,12.4047
2003-03-04,4.93,5.4583,10.716,19.9919,56.995,2.8077,6.5551,2351412800.0,19.6146,27.9707,3.0,5.0,25.0,12.4047
2003-03-05,4.91,5.4583,11.167,19.6951,56.9524,2.7963,6.5464,2341873600.0,19.6248,28.2046,3.0,5.0,25.0,12.4047
2003-03-06,4.94,5.4583,10.4919,19.8155,56.9344,2.8134,6.5344,2356182400.0,19.6248,28.2046,3.0,5.0,25.0,12.4047
2003-03-07,4.84,5.75,18.8017,19.4144,56.9164,2.7564,6.5224,2308486400.0,19.6248,28.2195,3.0,5.0,25.0,12.4047
2003-03-10,4.67,5.75,23.1263,18.7325,56.5171,2.6596,6.4716,2227403200.0,19.6248,28.2195,3.0,5.0,25.0,12.4047
2003-03-11,4.6,5.75,25.0,18.4443,56.1178,2.5316,6.4208,2194016000.0,19.8598,28.2086,3.0,6.0,24.1667,12.4047
2003-03-12,4.55,5.875,29.1209,18.2438,56.0883,2.504,6.3454,2170168000.0,19.9391,28.3694,3.0,5.0,25.0,12.4047
2003-03-13,4.94,5.875,18.9271,19.8075,56.0588,2.7187,6.27,2356182400.0,19.9391,28.3694,3.0,5.0,25.0,12.4047
2003-03-14,4.7,5.875,25.0,18.8452,55.9472,2.5866,6.2338,2241712000.0,19.9391,28.3694,3.0,5.0,25.0,12.4047
2003-03-17,4.75,5.875,23.6842,19.0457,55.8357,2.6141,6.1975,2265560000.0,19.9391,28.3694,3.0,5.0,25.0,12.4047
2003-03-18,4.91,5.875,19.6538,19.6872,55.7008,2.7022,6.1944,2341873600.0,19.9391,28.3694,3.0,5.0,25.0,12.4047
2003-03-19,4.86,5.875,20.8848,19.4868,55.5658,2.6746,6.1913,2318025600.0,19.9391,28.3694,3.0,5.0,25.0,12.4047
2003-03-20,4.84,5.875,21.3843,19.4066,55.4278,2.6636,6.1804,2308486400.0,19.8814,28.2841,3.0,6.0,24.1667,12.4047
2003-03-21,5.05,5.875,16.3366,20.2486,55.2898,2.7792,6.1695,2408648000.0,19.8814,28.2841,3.0,6.0,24.1667,12.4047
2003-03-24,4.9,5.875,19.898,19.6472,55.2459,2.6967,6.1534,2337104000.0,19.8814,28.2841,3.0,6.0,24.1667,12.4047
2003-03-25,5.11,5.875,14.9706,20.4892,55.202,2.8122,6.1373,2437265600.0,19.8814,28.2841,3.0,6.0,24.1667,12.4047
2003-03-26,5.33,5.875,10.2251,21.3713,54.7924,2.9333,6.0968,2542196800.0,19.8814,28.2841,3.0,6.0,24.1667,12.4047
2003-03-27,5.47,5.875,7.404,21.9326,54.3827,3.0104,6.0564,2608971200.0,19.8564,28.2841,3.0,6.0,24.1667,12.4047
2003-03-28,5.48,5.875,7.208,21.9727,54.3827,3.0159,6.0427,2613740800.0,19.8564,28.2841,3.0,6.0,24.1667,12.4047
2003-03-31,5.3,5.875,10.8491,21.251,54.3827,2.9168,6.029,2527888000.0,19.8564,28.2841,3.0,6.0,24.1667,12.4047
2003-04-01,5.31,5.875,10.6403,21.2911,54.2842,2.9223,6.0238,2532657600.0,19.8564,28.2841,3.0,6.0,24.1667,12.4047
2003-04-02,5.62,5.7917,3.0552,22.5341,54.1858,3.0929,6.0187,2680515200.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-03,5.54,5.7917,4.5433,22.2133,53.9558,3.0489,5.9872,2642358400.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-04,5.38,5.7917,7.6524,21.5718,53.7259,2.9608,5.9558,2566044800.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-07,5.41,5.7917,7.0555,21.6921,53.5879,2.9773,5.9246,2580353600.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-08,5.13,5.5833,8.8363,20.5694,53.4499,2.8232,5.8933,2446804800.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-09,5.08,5.5833,9.9075,20.3689,53.3579,2.7957,5.8784,2422956800.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-10,5.0,5.5833,11.666,20.0481,53.2659,2.7517,5.8635,2384800000.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-11,5.11,5.5833,9.2622,20.4892,53.1279,2.8122,5.856,2437265600.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-14,5.25,5.5833,6.3486,21.0505,52.9899,2.8893,5.8486,2504040000.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-15,5.28,5.5833,5.7443,21.1708,52.872,2.9058,5.8206,2518348800.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-16,5.56,5.5833,0.4191,22.2935,52.754,3.0599,5.7925,2651897600.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-17,5.79,5.5833,-3.5699,23.2157,52.55,3.1865,5.7736,2761598400.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-21,5.78,5.5833,-3.4031,23.1756,52.3459,3.181,5.7548,2756828800.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-22,6.03,5.5833,-7.408,24.178,51.8859,3.3185,5.7548,2876068800.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-23,6.02,5.5833,-7.2542,24.1379,51.4259,3.313,5.7548,2871299200.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-24,6.12,5.5833,-8.7696,24.5389,51.4168,3.3681,5.7109,2918995200.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-25,5.59,5.5833,-0.1199,22.4138,51.4076,3.0764,5.6669,2666206400.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-28,5.56,5.5833,0.4191,22.2935,51.352,3.0599,5.648,2651897600.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-29,5.65,5.5833,-1.1805,22.6544,51.2963,3.1094,5.6292,2694824000.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-04-30,5.77,5.5833,-3.2357,23.1355,50.8012,3.1755,5.5224,2752059200.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-01,5.85,5.5833,-4.559,23.4563,50.306,3.2195,5.4156,2790216000.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-02,6.0,5.5833,-6.945,24.0577,50.084,3.302,5.3465,2861760000.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-05,6.19,5.5833,-9.8013,24.8196,49.862,3.4066,5.2773,2952382400.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-06,6.16,5.5833,-9.362,24.6993,48.9007,3.3901,5.2538,2938073600.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-07,6.25,5.5833,-10.6672,25.0601,47.9394,3.4396,5.2302,2981000000.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-08,6.34,5.5833,-11.9353,25.421,47.8182,3.4891,5.1972,3023926400.0,19.8304,28.2086,3.0,6.0,24.1667,12.4047
2003-05-09,6.68,5.7917,-13.2979,26.3927,47.697,3.5799,5.1642,3186092800.0,20.0665,28.3665,3.0,6.0,24.1667,12.4047
2003-05-12,6.85,5.7917,-15.4496,27.0644,47.6364,3.671,5.1525,3267176000.0,20.0665,28.3665,3.0,6.0,24.1667,12.4047
2003-05-13,6.83,5.7917,-15.202,26.9854,47.5758,3.6603,5.1408,3257636800.0,20.0665,28.3665,3.0,6.0,24.1667,12.4047
