date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2012-01-19,18.28,22.0846,20.8129,7.8888,8.3494,0.963,1.014,33818000000.0,5.0026,30.1089,8.0,5.0,10.0,10.841,32.74740674603174,16.17162169989652,51.84248412698413,17.235323807118093,48.91902844592826,34.60716031986604
2012-01-20,18.39,22.0846,20.0903,7.9635,8.3494,0.9688,1.014,34021500000.0,4.6633,30.1127,8.0,5.0,10.0,10.841,32.73404384920635,16.179305810732913,51.85208174603174,17.217149240592935,48.913349659939264,34.63493250543881
2012-01-23,18.21,22.0846,21.2773,7.8855,8.3598,0.9593,1.0142,33688500000.0,4.6633,30.1127,8.0,5.0,10.0,10.841,32.709096626984135,16.187272229055164,51.85925714285714,17.204108646987038,48.8963688560393,34.6551484958701
2012-01-24,18.14,22.0846,21.7453,7.8552,8.3502,0.9556,1.0141,33559000000.0,4.6633,30.1127,8.0,5.0,10.0,10.841,32.68450357142857,16.194507721173785,51.84554523809524,17.227586348024577,48.87901129260236,34.61795889007067
2012-01-25,18.13,22.128,22.0518,7.8346,8.3494,0.9538,1.014,33540500000.0,4.6657,30.0924,8.0,5.0,10.0,10.841,32.6565257936508,16.20068345206346,51.846026984126986,17.226745658522148,48.85720924571426,34.61928132560484
2012-01-26,18.2,22.128,21.5824,7.8675,8.3494,0.9574,1.014,33670000000.0,4.5972,30.0687,9.0,5.0,10.0,10.841,32.633609126984126,16.208176256174106,51.80068888888889,17.299241819636524,48.84178538315823,34.501447069252364
2012-01-27,18.56,22.308,20.194,8.0315,8.3494,0.9778,1.014,34336000000.0,4.7126,30.3861,9.0,5.0,10.0,10.841,32.606119642857145,16.217517726160143,51.736198412698414,17.402316522711082,48.82363736901729,34.33388188998733
2012-01-30,18.2,22.308,21.9549,7.8757,8.3598,0.9589,1.0142,33670000000.0,4.7126,30.3861,9.0,5.0,10.0,10.841,32.575072420634925,16.222910504035912,51.68064841269841,17.486588007254678,48.79798292467083,34.194060405443736
2012-01-31,18.65,22.708,21.7587,7.979,8.3502,0.9826,1.0141,34502500000.0,4.7126,30.4467,9.0,5.0,10.0,10.841,32.551362896825395,16.229981550912857,51.62537857142857,17.570535727575376,48.78134444773825,34.054842843853194
2012-02-01,19.39,22.508,16.0805,8.2955,8.3494,1.0216,1.0142,35871500000.0,4.7126,30.4467,9.0,5.0,10.0,10.841,32.52111448412698,16.246468550779184,51.47806190476191,17.790502651362125,48.76758303490617,33.68755925339978
2012-02-02,19.52,22.508,15.3074,8.3512,8.3507,1.0284,1.0153,36112000000.0,4.7104,30.4467,9.0,5.0,10.0,10.841,32.48774384920635,16.264544380338453,51.31184126984128,18.03013615942899,48.7522882295448,33.28170511041228
2012-02-03,20.31,22.508,10.8223,8.6891,8.3603,1.07,1.0163,37573500000.0,4.7104,30.4467,9.0,5.0,10.0,10.841,32.43307023809524,16.290998154570858,51.03756825396825,18.38052715671261,48.7240683926661,32.65704109725564
2012-02-06,20.51,22.508,9.7416,8.7747,8.379,1.0806,1.0173,37943500000.0,4.7104,30.4467,9.0,5.0,10.0,10.841,32.38259761904762,16.32184833066087,50.77316111111112,18.73250211686579,48.70444594970849,32.04065899424533
2012-02-07,20.26,22.588,11.4906,8.6949,8.3801,1.0685,1.0173,37481000000.0,4.6599,30.1869,9.0,5.0,10.0,10.841,32.328940476190475,16.346019990668488,50.33031111111112,18.9966191442462,48.67496046685896,31.333691966864915
2012-02-08,20.44,22.588,10.5088,8.7722,8.3859,1.078,1.0173,37814000000.0,4.6599,30.1869,9.0,5.0,10.0,10.841,32.27870496031746,16.37412790933323,49.95914126984127,19.31405521173088,48.652832869650695,30.645086058110387
