date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-01-31,61.1,90.0,47.2995,6.5699,6.5699,1.153,2.999,119910705.2,118.0465,102.668,1.0,1.0,30.0,127.5763,40.59517936507936,17.377844894549902,61.03886587301587,8.7868276429646,57.97302425962926,52.25203823005127
2007-02-01,61.8,90.0,45.6311,6.6452,6.6076,1.1662,2.9965,121284477.6,118.0465,102.668,1.0,1.0,30.0,127.5763,40.64792440476191,17.35263859147533,60.90766666666666,8.892698580670597,58.00056299623724,52.01496808599607
2007-02-02,61.6,90.0,46.1039,6.6237,6.6237,1.1624,2.9963,120891971.2,118.0465,102.668,1.0,1.0,30.0,127.5763,40.698280753968255,17.331518655960092,60.76139761904762,8.983682072060166,58.02979940992834,51.77771554698745
2007-02-05,60.5,90.0,48.7603,6.5054,6.5968,1.1417,2.9961,118733186.0,118.0465,102.668,1.0,1.0,30.0,127.5763,40.76137837301587,17.302785658645597,60.64333333333333,9.043150918007562,58.06416403166147,51.60018241532577
2007-02-06,61.0,90.0,47.541,6.5591,6.5699,1.1511,2.996,119714452.0,118.0465,102.668,1.0,1.0,30.0,127.5763,40.82385218253968,17.270212836028463,60.524969047619045,9.116554791192524,58.09406501856815,51.408414256426525
2007-02-07,61.5,90.0,46.3415,6.6129,6.5914,1.1605,2.996,120695718.0,118.0465,102.668,1.0,1.0,30.0,127.5763,40.88628273809524,17.233060454366022,60.39006507936509,9.19995786776396,58.11934319246126,51.19010721160113
2007-02-08,61.0,90.0,47.541,6.5591,6.5699,1.1511,2.9942,119714452.0,118.0465,102.668,1.0,1.0,30.0,127.5763,40.941876190476194,17.209180369579766,60.26232380952381,9.266026907900162,58.15105656005596,50.99629690162365
2007-02-09,61.5,90.0,46.3415,6.6129,6.5914,1.1605,2.9919,120695718.0,118.0465,102.668,1.0,1.0,30.0,127.5763,40.9912492063492,17.18885270256725,60.1367626984127,9.346914003484724,58.180101908916455,50.78984869492798
2007-02-12,61.1,90.0,47.2995,6.5699,6.5699,1.153,2.9886,119910705.2,118.0465,102.668,1.0,1.0,30.0,127.5763,41.04154345238096,17.170105225493728,60.00946190476191,9.411948452672195,58.211648677874685,50.59751345208971
2007-02-13,61.8,90.0,45.6311,6.6452,6.5914,1.1662,2.9867,121284477.6,118.0465,102.668,1.0,1.0,30.0,127.5763,41.08299384920635,17.155884250299117,59.86891984126984,9.493684954449703,58.23887809950547,50.37523488682014
2007-02-14,62.1,90.0,44.9275,6.6774,6.6129,1.1719,2.9858,121873237.2,118.0465,102.668,1.0,1.0,30.0,127.5763,41.125594444444445,17.13867762339656,59.69146984126984,9.562643643845815,58.264272067841006,50.128826197424026
2007-02-15,62.0,90.0,45.1613,6.6667,6.6129,1.17,2.9847,121676984.0,118.0465,102.668,1.0,1.0,30.0,127.5763,41.17740734126984,17.111250656135002,59.542476984126985,9.641927402288806,58.28865799740484,49.90054958183818
2007-02-16,61.8,90.0,45.6311,6.6452,6.6129,1.1662,2.9834,121284477.6,118.0465,102.668,1.0,1.0,30.0,127.5763,41.22968273809524,17.08445773544283,59.41819761904762,9.71982341927754,58.31414047353806,49.69837419977008
2007-02-20,62.0,90.0,45.1613,6.6667,6.6183,1.17,2.9787,121676984.0,118.0465,102.668,1.0,1.0,30.0,127.5763,41.27768591269841,17.06138679518718,59.26920476190476,9.793645654488376,58.33907270788559,49.47555910741639
2007-02-21,60.8,90.0,48.0263,6.5376,6.6129,1.1473,2.9783,119321945.6,118.0465,102.668,1.0,1.0,30.0,127.5763,41.33040178571429,17.041058817675307,59.168506349206346,9.843769134427186,58.3714606033896,49.32473721477916
2007-02-22,60.8,90.0,48.0263,6.5376,6.6129,1.1473,2.978,119321945.6,118.0465,102.668,1.0,1.0,30.0,127.5763,41.38311765873016,17.020542967363287,59.04461666666667,9.885232057896369,58.40366062609344,49.1593846087703
2007-02-23,61.1,90.0,47.2995,6.5699,6.6129,1.153,2.9775,119910705.2,118.0465,102.668,1.0,1.0,30.0,127.5763,41.42787837301587,17.00634555111656,58.93128015873016,9.937656954462923,58.43422392413243,48.99362320426724
2007-02-26,61.999,90.0,45.1636,6.6666,6.6129,1.17,2.977,121675021.468,118.0465,102.668,1.0,1.0,30.0,127.5763,41.46942599206349,16.989801658782476,58.77515634920636,9.998499791629824,58.45922765084597,48.77665655757653
2007-02-27,60.4,90.0,49.0066,6.4946,6.6129,1.1398,2.977,118536932.8,118.0465,102.668,1.0,1.0,30.0,127.5763,41.51444742063492,16.9796273274854,58.62013492063492,9.997322827741092,58.494074748120326,48.622812092893824
2007-02-28,62.0,90.0,45.1613,6.6667,6.6129,1.17,2.977,121676984.0,118.0465,102.668,1.0,1.0,30.0,127.5763,41.54534365079365,16.972051154906065,58.41166428571429,10.00196599245652,58.51739480569972,48.40969829325777
2007-03-01,61.2,90.0,47.0588,6.5806,6.6129,1.1549,2.9706,120106958.4,118.0465,102.668,1.0,1.0,30.0,127.5763,41.57257678571428,16.96985975750061,58.251129365079365,10.020697941191193,58.54243654321489,48.23043142388818
2007-03-02,59.7,90.0,50.7538,6.4194,6.5968,1.1266,2.9679,117163160.4,118.0465,102.668,1.0,1.0,30.0,127.5763,41.6226378968254,16.959631720865445,58.10494603174603,9.994410722777348,58.58226961769085,48.110535308968686
2007-03-05,58.5,90.0,53.8462,6.2903,6.5806,1.1039,2.9679,114808122.0,118.0465,102.668,1.0,1.0,30.0,127.5763,41.67187182539683,16.959026670041126,57.99580634920635,9.964959611754686,58.630898495437954,48.03084673745166
2007-03-06,59.3,90.0,51.7707,6.3763,6.5752,1.119,2.9679,116378147.6,118.883,102.668,1.0,1.0,30.0,14.7312,41.723950595238094,16.94963606614515,57.847522222222224,9.916981354662571,58.67358666138324,47.93054086755966
2007-03-07,59.6,90.0,51.0067,6.4086,6.5699,1.1247,2.966,116966907.2,118.883,102.668,1.0,1.0,30.0,14.7312,41.77709166666667,16.93663995248135,57.72323650793651,9.90369124571437,58.71373161914802,47.81954526222214
