date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-07-21,12.56,16.2111,29.0693,512.6531,510.6122,3.9536,3.9379,516266240.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-22,12.36,16.2111,31.1578,504.4898,508.5714,3.8907,3.9222,508045440.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-23,11.89,16.2111,36.3423,485.3061,506.5306,3.7427,3.9064,488726560.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-24,12.23,16.2111,32.5519,499.1837,504.4898,3.8498,3.8907,502701920.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-25,12.0,16.2111,35.0925,489.7959,501.8368,3.7774,3.8702,493248000.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-28,11.96,16.2111,35.5443,488.1633,499.1837,3.7648,3.8498,491603840.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-29,11.97,16.2111,35.4311,488.5714,494.4898,3.7679,3.8136,492014880.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-30,11.98,16.2111,35.318,488.9796,489.7959,3.7711,3.7774,492425920.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-07-31,11.32,16.1373,42.5557,462.0408,489.3878,3.5633,3.7742,465297280.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-08-01,10.72,16.1373,50.5345,437.551,488.9796,3.3744,3.7711,440634880.0,17.6601,144.8436,3.0,1.0,10.7,15.5383
2014-08-04,10.81,15.7118,45.3451,330.581,488.7755,3.4343,3.7695,444334240.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-05,10.86,15.7118,44.6759,332.1101,488.5714,3.4502,3.7679,446389440.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-06,11.37,15.7118,38.1865,347.7064,488.3674,3.6122,3.7664,467352480.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-07,12.01,15.7118,30.8226,367.2783,488.1633,3.8156,3.7679,493659040.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-08,11.86,15.7118,32.4772,362.6911,486.7347,3.7679,3.7679,487493440.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-11,12.09,15.7118,29.957,369.7248,485.3061,3.841,3.7679,496947360.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-12,12.02,15.7118,30.7138,367.5841,473.6734,3.8187,3.7695,494070080.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-13,13.21,15.7118,18.9387,403.9755,462.0408,4.1968,3.7711,542983840.0,17.7421,150.5721,4.0,1.0,10.7,15.5383
2014-08-14,11.68,15.6556,34.0377,465.3386,463.6897,3.7028,3.7695,479720960.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-15,11.72,15.6166,33.2474,466.9323,465.3386,3.7155,3.7679,481363840.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-18,11.85,15.6166,31.7857,472.1116,466.1354,3.7567,3.7679,486703200.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-19,11.7,15.6166,33.4752,466.1355,466.1355,3.7091,3.7679,480542400.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-20,11.86,15.6166,31.6745,472.51,466.5339,3.7598,3.7664,487113920.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-21,11.75,15.6166,32.9072,468.1275,466.9323,3.725,3.7648,482596000.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-22,12.1,15.6166,29.0628,482.0717,467.5299,3.8359,3.7664,496971200.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-25,12.35,15.6166,26.4502,492.0319,468.1275,3.9152,3.7679,507239200.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-26,12.53,15.6166,24.6337,499.2032,470.1196,3.9722,3.7679,514632160.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-27,12.36,15.6166,26.3479,492.4303,472.1116,3.9184,3.7679,507649920.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-28,12.34,15.6166,26.5527,491.6335,472.3108,3.912,3.7695,506828480.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-08-29,12.52,15.6166,24.7332,498.8048,472.51,3.9691,3.7711,514221440.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-02,12.78,15.6166,22.1956,509.1633,477.2908,4.0515,3.7742,524900160.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-03,12.38,15.153,22.399,493.2271,482.0717,3.9247,3.7774,508471360.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-04,12.28,15.153,23.3958,489.243,483.6889,3.893,3.7965,504364160.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-05,12.06,15.153,25.6468,480.4781,482.0717,3.8232,3.8156,495328320.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-08,11.51,15.153,31.6507,458.5657,481.2749,3.6489,3.7965,472738720.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-09,11.43,15.153,32.5722,455.3785,480.4781,3.6235,3.7774,469452960.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-10,11.62,15.153,30.4045,462.9482,476.494,3.6838,3.7742,477256640.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-11,11.96,15.153,26.6973,476.494,476.494,3.7915,3.7774,491221120.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-12,11.93,15.153,27.0159,475.2988,475.8964,3.782,3.7797,489988960.0,17.7307,197.082,4.0,1.0,10.7,30.7773
2014-09-15,11.37,15.2517,34.1398,452.988,475.2988,3.7287,3.7774,466988640.0,17.8492,197.082,4.0,1.0,10.7,30.7773
2014-09-16,11.2,15.2517,36.1759,446.2151,473.9044,3.6729,3.7742,460006400.0,17.8492,197.082,4.0,1.0,10.7,30.7773
2014-09-17,10.94,15.2517,39.4122,435.8566,472.51,3.5876,3.7711,449327680.0,17.8492,197.082,4.0,1.0,10.7,30.7773
2014-09-18,10.54,14.5162,37.7249,364.7059,472.3108,3.4912,3.7695,432898880.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-19,10.25,14.647,42.8976,354.6713,472.1116,3.3952,3.7679,420988000.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-22,11.54,14.7914,28.175,399.308,470.1196,3.8225,3.7695,473970880.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-23,11.09,14.7914,33.376,383.737,468.1275,3.6734,3.7679,455488480.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-24,11.46,14.6746,28.0506,396.5398,467.5299,3.796,3.7695,470685120.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-25,11.09,14.6746,32.3228,383.737,466.9323,3.6734,3.7679,455488480.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-26,10.8,14.6746,35.8759,373.7024,466.5339,3.5773,3.7679,443577600.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-29,11.1,14.6746,32.2036,384.083,466.1355,3.6767,3.7679,455899200.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-09-30,11.23,14.6746,30.6732,388.5813,465.737,3.7198,3.7664,461238560.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-10-01,11.0,14.6746,33.4055,380.6228,465.3386,3.6436,3.7648,451792000.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-10-02,10.97,14.6746,33.7703,379.5848,464.1434,3.6337,3.7623,450559840.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-10-03,11.06,14.6746,32.6817,382.699,462.9482,3.6635,3.7598,454256320.0,15.8324,177.363,3.0,1.0,10.7,75.4235
2014-10-06,10.97,14.6346,33.4057,464.8305,463.8894,3.6778,3.7582,450559840.0,15.8916,220.3374,3.0,1.0,10.7,75.4235
