date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2011-11-07,13.69,14.8184,8.2425,434.9282,23.5423,5.3913,6.268,647134924.7,6.1837,-2309.303,6.0,1.0,0.0,10.9594
2011-11-08,13.93,14.8184,6.3776,434.9282,23.5423,5.4858,6.2654,658479875.9,6.1837,-2309.303,6.0,1.0,0.0,10.9594
2011-11-09,13.79,14.8184,7.4576,434.9282,23.5423,5.4307,6.2642,651861987.7,6.1837,-2309.303,6.0,1.0,0.0,10.9594
2011-11-10,14.07,14.8184,5.3191,434.9282,23.5423,5.541,6.2595,665097764.1,6.1837,-2309.303,6.0,1.0,0.0,10.9594
2011-11-11,14.48,14.8184,2.337,434.9282,23.5423,5.7024,6.2517,684478722.4,6.1837,-2302.8014,6.0,1.0,0.0,10.9594
2011-11-14,14.27,15.0933,5.7694,434.9282,23.5423,5.6197,6.2401,674551890.1,6.1837,-2353.5712,7.0,1.0,0.0,10.9594
2011-11-15,14.48,15.0933,4.2355,434.9282,23.5423,5.7024,6.2363,684478722.4,6.2073,-2353.701,7.0,1.0,0.0,10.9594
2011-11-16,14.25,15.0933,5.9179,434.9282,23.5423,5.6118,6.2303,673606477.5,6.2073,-2353.701,7.0,1.0,0.0,10.9594
2011-11-17,14.19,15.0933,6.3658,434.9282,23.5423,5.5882,6.2195,670770239.7,6.2073,-2353.701,7.0,1.0,0.0,10.9594
2011-11-18,14.33,15.0933,5.3266,434.9282,23.5423,5.6433,6.2136,677388127.9,6.2073,-2353.701,7.0,1.0,0.0,10.9594
2011-11-21,13.34,15.0933,13.1432,434.9282,23.5423,5.2535,6.2103,630590204.2,6.2073,-2353.701,7.0,1.0,0.0,10.9594
2011-11-22,12.63,15.0933,19.5036,434.9282,23.5423,4.9739,6.2093,597028056.9,6.2073,-2353.701,7.0,1.0,0.0,10.9594
2011-11-23,12.24,15.0933,23.3113,434.9282,23.5423,4.8203,6.2083,578592511.2,6.2073,-2353.701,7.0,1.0,0.0,26.7752
2011-11-25,12.0,15.0933,25.7775,434.9282,23.5423,4.7258,6.1678,567247560.0,6.2073,-2353.701,7.0,1.0,0.0,26.7752
2011-11-28,12.27,15.0933,23.0098,434.9282,23.5423,4.8321,6.1635,580010630.1,6.2073,-2353.701,7.0,1.0,0.0,26.7752
2011-11-29,11.92,15.0933,26.6216,434.9282,23.5423,4.6943,6.1624,563465909.6,6.2073,-2353.701,7.0,1.0,0.0,26.7752
2011-11-30,12.53,15.0933,20.4573,434.9282,23.5423,4.9345,6.1613,592300993.9,6.2073,-2353.701,7.0,1.0,0.0,26.7752
2011-12-01,11.89,15.0933,26.9411,434.9282,23.5423,4.6674,6.1501,562047790.7,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-02,11.95,15.0933,26.3038,434.9282,23.5423,4.691,6.15,564884028.5,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-05,12.75,14.9581,17.3184,434.9282,23.5423,5.005,6.1445,602700532.5,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-06,13.22,14.9581,13.1475,434.9282,23.5423,5.1895,6.1418,624917728.6,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-07,13.18,14.9581,13.4909,434.9282,23.5423,5.1738,6.139,623026903.4,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-08,12.63,14.9581,18.4331,434.9282,23.5423,4.9579,6.1366,597028056.9,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-09,12.87,14.9581,16.2246,434.9282,23.5423,5.0521,6.1313,608373008.1,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-12,12.62,14.868,17.813,434.9282,23.5423,4.954,6.1303,596555350.6,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-13,12.2,14.868,21.8689,434.9282,23.5423,4.7891,6.1291,576701686.0,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-14,11.93,14.868,24.627,434.9282,23.5423,4.6831,6.1279,563938615.9,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-15,12.08,14.868,23.0795,434.9282,23.5423,4.742,6.122,571029210.4,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-16,12.13,14.868,22.5721,434.9282,23.5423,4.7616,6.1149,573392741.9,6.4876,-2353.7672,7.0,1.0,0.0,28.4544
2011-12-19,11.69,14.5977,24.8734,434.9282,23.5423,4.595,6.1129,552593664.7,5.8384,-2346.0302,7.0,1.0,0.0,28.4544
2011-12-20,11.85,14.5977,23.1873,434.9282,23.5423,4.6579,6.1123,560156965.5,5.8384,-2346.0302,7.0,1.0,0.0,28.4544
2011-12-21,11.81,14.5977,23.6046,434.9282,23.5423,4.6421,6.1106,558266140.3,5.8384,-2346.0302,7.0,1.0,0.0,28.4544
2011-12-22,12.1,14.5977,20.6421,434.9282,23.5423,4.7561,6.1068,571974623.0,5.8384,-2346.0302,7.0,1.0,0.0,28.4544
2011-12-23,12.02,14.5977,21.4451,434.9282,23.5423,4.7247,6.1043,568192972.6,5.8384,-2346.0302,7.0,1.0,0.0,28.4544
2011-12-27,11.86,14.5977,23.0835,434.9282,23.5423,4.6618,6.099,560629671.8,5.8384,-2350.1568,7.0,1.0,0.0,28.6755
2011-12-28,11.73,14.5977,24.4476,434.9282,23.5423,4.6107,6.0961,554484489.9,5.8384,-2350.1568,7.0,1.0,0.0,28.6755
2011-12-29,11.74,14.5977,24.3416,434.9282,23.5423,4.6146,6.0952,554957196.2,5.8384,-2350.1568,7.0,1.0,0.0,28.6755
2011-12-30,11.99,14.5977,21.749,434.9282,23.5423,4.7129,6.0818,566774853.7,5.8384,-2350.1568,7.0,1.0,0.0,28.6755
2012-01-03,12.63,14.7689,16.9351,434.9282,23.5423,4.8229,6.079,597028056.9,6.1868,-2352.2722,5.0,1.0,0.0,30.9564
2012-01-04,12.83,14.7689,15.1122,434.9282,23.5423,4.8993,6.0787,606482182.9,6.1868,-2352.2722,5.0,1.0,0.0,30.9564
2012-01-05,13.15,14.7689,12.311,434.9282,23.5423,5.1689,6.0738,621608784.5,3.1184,-2358.3281,6.0,1.0,0.0,30.9564
2012-01-06,13.1,14.7689,12.7397,434.9282,23.5423,5.1492,6.0682,619245253.0,3.1184,-2348.171,7.0,1.0,0.0,42.6188
2012-01-09,13.38,14.6698,9.6398,434.9282,23.5423,5.2216,6.067,632481029.4,4.8049,-2357.7501,7.0,1.0,0.0,44.6917
2012-01-10,14.04,14.6698,4.4858,434.9282,23.5423,5.4791,6.0669,663679645.2,4.8049,-2357.7501,7.0,1.0,0.0,44.6917
2012-01-11,14.11,14.6698,3.9674,434.9282,23.5423,5.5065,6.0669,666988589.3,4.8049,-2364.2389,7.0,1.0,0.0,31.3893
2012-01-12,14.6,14.6698,0.4781,434.9282,23.5423,5.6977,6.0668,690151198.0,4.8049,-2364.2389,7.0,1.0,0.0,31.3893
2012-01-13,14.76,14.6698,-0.6111,434.9282,23.5423,5.7601,6.0668,697714498.8,4.8049,-2364.2389,7.0,1.0,0.0,31.3893
2012-01-17,15.16,14.6698,-3.2335,434.9282,23.5423,5.9162,6.0669,716622750.8,4.8049,-2364.2389,7.0,1.0,0.0,31.3893
2012-01-18,15.57,14.5706,-6.4188,434.9282,23.5423,6.1499,6.067,736003709.1,6.7211,-2451.754,8.0,1.0,0.0,31.3893
