date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-09-17,20.26,18.75,-7.4531,12.0717,12.25,0.8144,0.8561,1637827233.36,7.7216,-7.3018,1.0,1.0,7.0,5.3765,-3.811471276595745,6.512634406516634,-3.485828571428572,8.350966255028046,2.701163129920889,-11.836794826456618
2002-09-18,20.45,18.75,-8.313,12.1849,12.25,0.822,0.8558,1653186916.2,7.7216,-7.3018,1.0,1.0,7.0,5.3765,-3.8273777385159007,6.506581637841236,-3.463257142857143,8.33389234096461,2.679203899325335,-11.797149483821752
2002-09-19,20.1,18.75,-6.7164,11.8626,12.2495,0.764,0.8558,1624892763.6,11.1076,-6.7836,1.0,1.0,7.0,5.0795,-3.837550352112676,6.497337742569999,-3.42859761904762,8.310996893027593,2.6597873904573235,-11.739594512075213
2002-09-20,20.05,18.75,-6.4838,11.8331,12.247,0.7621,0.8557,1620850741.8,11.1076,-6.7836,1.0,1.0,7.0,5.0795,-3.846835438596491,6.487782566576138,-3.3953166666666665,8.290107904849009,2.640947127979647,-11.685424571515677
2002-09-23,20.04,18.75,-6.4371,11.8272,12.2448,0.7618,0.8552,1620042337.44,11.1076,-6.7836,1.0,1.0,7.0,5.0795,-3.855892307692308,6.4782014067863,-3.359316666666667,8.266753889577215,2.622309099093992,-11.626070556243882
2002-09-24,19.82,18.75,-5.3986,11.6974,12.2448,0.7534,0.8548,1602257441.52,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.861267595818816,6.467507083582055,-3.3144896825396826,8.240005130385098,2.60623948776324,-11.55449481292478
2002-09-25,20.0,18.75,-6.25,11.8036,12.2444,0.7602,0.8544,1616808720.0,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.869561805555556,6.4577640175266735,-3.269765873015873,8.208346331125782,2.588202211971118,-11.478112204141654
2002-09-26,20.3,18.75,-7.6355,11.9806,12.244,0.7716,0.854,1641060850.8,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.8825927335640142,6.450347950147174,-3.2374738095238094,8.182862856014918,2.56775521658316,-11.420336665538729
2002-09-27,19.95,18.75,-6.015,11.7741,12.2409,0.7583,0.8536,1612766698.2,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.8899458620689655,6.440395929107771,-3.186328571428571,8.144813585705764,2.5504500670388053,-11.331142157134336
2002-09-30,19.87,18.75,-5.6366,11.7269,12.234,0.7553,0.8533,1606299463.32,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.895948109965636,6.430097477935029,-3.128242063492064,8.100563206872504,2.5341493679693934,-11.228805270364568
2002-10-01,20.22,18.75,-7.27,11.9334,12.2339,0.7686,0.8531,1634593615.92,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.9075030821917807,6.422075805348831,-3.09535873015873,8.07503127515697,2.51457272315705,-11.1703900053157
2002-10-02,19.92,18.75,-5.8735,11.7564,12.2339,0.7572,0.8529,1610341485.12,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.914212969283276,6.412098402151384,-3.061679365079365,8.054333769367323,2.497885432868108,-11.116013134446687
2002-10-03,19.99,18.75,-6.2031,11.7977,12.2289,0.7599,0.8522,1616000315.64,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.921998299319728,6.402538668960912,-3.048342857142857,8.047674306157564,2.480540369641184,-11.096017163300422
2002-10-04,19.22,18.75,-2.4454,11.3432,12.221,0.7306,0.8515,1553753179.92,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.916992881355932,6.392218873153211,-2.9871587301587303,8.022481255115729,2.475225991797279,-11.00963998527446
2002-10-07,19.25,18.75,-2.5974,11.4359,12.2153,0.7317,0.8511,1556178393.0,11.1076,-6.7836,1.0,2.0,6.0,5.0795,-3.9125347972972975,6.381836329552163,-2.9265857142857143,7.9961302325734,2.4693015322548657,-10.922715946859114
2002-10-08,18.95,18.75,-1.0554,11.2576,12.209,0.7364,0.8507,1531926262.2,11.4231,-6.7836,1.0,2.0,6.0,5.0795,-3.902914814814815,6.3732037851415,-2.8435126984126984,7.960403341308624,2.4702889703266857,-10.803916039721322
2002-10-09,18.33,18.75,2.2913,10.8893,12.2028,0.7123,0.8491,1481805191.88,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.8821288590604026,6.3725755499777685,-2.746228571428571,7.947547814775146,2.490446690917366,-10.693776386203718
2002-10-10,18.82,18.75,-0.3719,11.1804,12.2023,0.7314,0.8475,1521417005.52,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.870388963210704,6.365112303493619,-2.6618,7.915499000346097,2.494723340282916,-10.577299000346096
2002-10-11,18.78,18.75,-0.1597,11.1567,12.1849,0.7298,0.8424,1518183388.08,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.85802,6.358069793119655,-2.580395238095238,7.887802033427133,2.500049793119655,-10.46819727152237
2002-10-14,18.81,18.75,-0.319,11.1745,12.1722,0.731,0.8372,1520608601.16,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.84626245847176,6.350741019530918,-2.496424603174604,7.854781429062804,2.504478561059158,-10.351206032237409
2002-10-15,19.19,18.75,-2.2929,11.4002,12.1626,0.7458,0.837,1551327966.84,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.8411188741721856,6.340812904230278,-2.4307674603174605,7.821296036190726,2.4996940300580923,-10.252063496508187
2002-10-16,18.98,18.75,-1.2118,11.2755,12.1622,0.7376,0.8369,1534351475.28,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.832441254125413,6.332108051034917,-2.351837301587301,7.782615360833241,2.499666796909504,-10.134452662420545
2002-10-17,19.24,18.75,-2.5468,11.4299,12.1586,0.7477,0.8365,1555369988.64,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.8282121710526313,6.32208041438552,-2.2762928571428573,7.733616677670844,2.493868243332889,-10.0099095348137
2002-10-18,19.29,18.75,-2.7994,11.4596,12.1552,0.7496,0.8361,1559412010.44,11.4231,-6.7536,1.0,2.0,6.0,5.0795,-3.824839016393443,6.31194859921748,-2.1940150793650792,7.671729712872506,2.4871095828240373,-9.865744792237583
