date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2016-11-18,11.21,13.5,20.4282,18.5627,28.439,0.2894,0.6984,252046200.5,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-21,11.21,13.5,20.4282,18.5627,28.4237,0.2894,0.6977,252046200.5,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-22,11.18,13.5,20.7513,18.513,28.4221,0.2886,0.6974,251371679.0,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-23,11.14,13.5,21.1849,18.4468,28.4205,0.2876,0.6972,250472317.0,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-25,11.11,13.5,21.5122,18.3971,28.3911,0.2868,0.6967,249797795.5,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-28,11.16,13.5,20.9677,18.4799,28.3721,0.2881,0.6959,250921998.0,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-29,11.26,13.5,19.8934,18.6455,28.3686,0.2907,0.6954,253170403.0,9.4788,7.2411,2.0,1.0,8.1059,18.4928
2016-11-30,10.6,13.375,26.1792,17.708,28.365,0.2737,0.695,238330930.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-01,10.91,13.375,22.594,18.2259,28.3502,0.2817,0.6938,245300985.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-02,10.82,13.375,23.6137,18.0755,28.3489,0.2793,0.693,243277421.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-05,11.13,13.375,20.1707,18.5934,28.3275,0.2873,0.6924,250247476.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-06,11.41,13.375,17.2217,19.0611,28.3255,0.2946,0.6924,256543010.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-07,11.69,13.375,14.414,19.5289,28.3235,0.3018,0.6924,262838544.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-08,11.95,13.375,11.9247,19.9632,28.2988,0.3085,0.6918,268684397.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-09,12.37,13.375,8.1245,20.6649,28.2617,0.3194,0.6918,278127698.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-12,12.21,13.375,9.5414,20.3976,28.1654,0.3152,0.6915,274530250.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-13,12.37,13.375,8.1245,20.6649,28.1586,0.3194,0.6904,278127698.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-14,12.27,13.375,9.0057,20.4978,28.1517,0.3168,0.6894,275879293.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-15,12.33,13.375,8.4753,20.5981,28.1409,0.3183,0.6892,277228336.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-16,12.5,13.375,7.0,20.8821,28.1143,0.3227,0.6889,281050625.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-19,12.59,13.375,6.2351,21.0324,28.0884,0.325,0.6876,283074189.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-20,12.57,13.375,6.4041,20.999,28.0872,0.3245,0.6875,282624508.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-21,12.65,13.375,5.7312,21.1326,28.0778,0.3266,0.6874,284423232.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-22,12.53,13.375,6.7438,20.9322,28.0652,0.3235,0.6868,281725146.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-23,12.22,13.375,9.4517,20.4143,28.0536,0.3155,0.686,274755091.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-27,12.24,13.375,9.2729,20.4477,27.9889,0.316,0.6852,275204772.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-28,12.12,13.375,10.3548,20.2472,27.9747,0.3129,0.6851,272506686.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-29,12.0,13.375,11.4583,20.0468,27.9496,0.3098,0.6844,269808600.0,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2016-12-30,11.89,13.375,12.4895,19.863,27.9249,0.307,0.6842,267335354.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
2017-01-03,11.99,13.375,11.5513,20.0301,27.8879,0.3095,0.6831,269583759.5,9.4788,8.0383,3.0,1.0,8.1059,18.4928
