date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-01-07,15.92,16.0,0.5025,7.8039,6.3182,2.6916,2.5624,428639759.36,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-08,15.9,16.0,0.6289,7.7941,6.3247,2.6882,2.5632,428101267.2,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-09,15.93,16.0,0.4394,7.8088,6.336,2.6933,2.5632,428909005.44,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-10,15.55,16.0,2.8939,7.6225,6.3653,2.629,2.5632,418677654.4,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-13,15.41,16.0,3.8287,7.5539,6.4073,2.6053,2.5624,414908209.28,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-14,15.7,16.5,5.0955,7.6961,6.4073,2.6544,2.5624,422716345.6,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-15,15.42,16.5,7.0039,7.5588,6.4196,2.607,2.5632,415177455.36,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-16,15.18,16.5,8.6957,7.4412,6.4318,2.5665,2.564,408715549.44,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-17,15.4,16.5,7.1429,7.549,6.4482,2.6037,2.564,414638963.2,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-21,15.5,16.5,6.4516,7.598,6.5455,2.6206,2.564,417331424.0,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-22,15.28,16.5,7.9843,7.4902,6.5796,2.5834,2.5652,411408010.24,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-23,15.58,16.5,5.905,7.6373,6.6136,2.6341,2.5677,419485392.64,-1.9908,828.2012,1.0,1.0,5.0,112.1233
2003-01-24,14.95,16.5,10.3679,7.3284,6.6392,2.5276,2.5677,402522889.6,-10.0931,24.8164,1.0,1.0,5.0,25.2928
2003-01-27,14.23,16.5,15.9522,6.9755,6.7054,2.4058,2.5652,383137171.84,-10.0931,24.8164,1.0,1.0,5.0,25.2928
