date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2018-03-29,24.35,33.4643,37.4304,7.6625,20.4314,0.6676,0.8776,590107128.65,18.1195,93.4578,7.0,1.0,64.0,342.6539
2018-04-02,23.87,33.4643,41.5404,7.3277,20.3859,0.6447,0.8762,578474626.73,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-03,26.0,33.4643,29.945,7.9816,20.3545,0.7022,0.8757,630093854.0,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-04,25.45,33.4643,32.7532,7.8127,20.2976,0.6873,0.8696,616764945.55,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-05,26.39,33.4643,28.0246,8.1013,20.2406,0.7127,0.8635,639545261.81,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-06,26.28,33.4643,28.5605,8.0675,20.2375,0.7097,0.8634,636879480.12,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-09,26.41,33.4643,27.9277,8.1074,20.2343,0.7133,0.8632,640029949.39,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-10,27.32,34.0714,24.7123,8.3868,20.2304,0.7378,0.863,662083234.28,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-11,28.19,34.0714,20.8634,8.6539,20.2264,0.7613,0.8629,683167144.01,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-12,28.1,34.0714,21.2505,8.6262,20.175,0.7589,0.8607,680986049.9,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-13,28.57,34.0714,19.2559,8.7705,20.1235,0.7716,0.8585,692376208.03,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-16,29.27,34.0714,16.4038,8.9854,20.0356,0.7905,0.8548,709340273.33,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-17,30.84,34.0714,10.478,9.4674,19.9478,0.8329,0.8511,747388248.36,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-18,31.65,34.0714,7.6506,9.716,19.8648,0.8548,0.853,767018095.35,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-19,29.02,34.0714,17.4066,8.9087,19.7819,0.7837,0.8511,703281678.58,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-20,28.93,34.0714,17.7719,8.881,19.6828,0.7813,0.851,701100584.47,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-23,29.71,34.0714,14.6799,9.1205,19.5836,0.8024,0.851,720003400.09,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-24,29.75,34.0714,14.5257,9.1328,19.4768,0.8035,0.8432,720972775.25,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-25,30.0,34.0714,13.5713,9.2095,19.3699,0.8102,0.8355,727031370.0,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-26,30.14,34.0714,13.0438,9.2525,19.3264,0.814,0.8342,730424183.06,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-27,29.37,34.0714,16.0075,9.0161,19.2828,0.7932,0.8329,711763711.23,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-04-30,30.54,34.0714,11.5632,9.3753,19.0735,0.8248,0.8296,740117934.66,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-05-01,30.29,34.0714,12.484,9.2985,18.8642,0.818,0.8264,734059339.91,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-05-02,30.62,34.0714,11.2717,9.3998,18.8074,0.827,0.8267,742056684.98,22.4285,106.2303,7.0,1.0,64.0,342.6539
2018-05-03,29.65,34.0714,14.912,9.1941,18.7505,0.8008,0.8264,718549337.35,22.4285,105.9348,7.0,1.0,64.0,342.6539
2018-05-04,30.5,34.0714,11.7095,9.4577,18.6014,0.8237,0.8256,739148559.5,22.4285,105.9348,7.0,1.0,64.0,342.6539
2018-05-07,30.09,34.0714,13.2316,9.3305,18.4524,0.8126,0.8248,729212464.11,22.4285,105.9348,7.0,1.0,64.0,342.6539
2018-05-08,30.73,34.0714,10.8734,9.529,18.4006,0.8299,0.8256,744722466.67,22.4285,105.9348,7.0,1.0,64.0,342.6539
2018-05-09,30.22,34.0714,12.7445,9.3708,18.3488,0.8162,0.8248,732362933.38,22.4285,105.9348,7.0,1.0,64.0,342.6539
2018-05-10,30.81,34.2143,11.0493,9.5352,18.2775,0.8311,0.8256,746661216.99,22.4347,105.9792,7.0,2.0,70.5782,359.7516
2018-05-11,30.98,34.2143,10.44,9.5878,18.2063,0.8357,0.8264,750781061.42,22.4347,105.9792,7.0,2.0,70.5782,359.7516
2018-05-14,33.44,37.7857,12.9955,10.1626,14.1844,0.8055,0.8256,737999164.32,24.2326,103.5817,1.0,2.0,68.6012,383.2554
2018-05-15,35.64,37.7857,6.0205,10.8312,10.8312,0.8585,0.8264,786551740.92,24.2326,103.5817,1.0,2.0,68.6012,383.2554
2018-05-16,35.72,37.7857,5.783,10.8555,10.8434,0.8604,0.8267,788317289.16,24.2326,103.5817,1.0,2.0,68.6012,383.2554
2018-05-17,38.36,38.6429,0.7375,10.8423,10.8423,0.9016,0.827,846580381.08,24.4222,102.2519,1.0,2.0,68.6012,383.2554
2018-05-18,38.46,38.6429,0.4756,10.8705,10.8489,0.904,0.8284,848787316.38,24.4222,102.2519,1.0,2.0,68.6012,383.2554
2018-05-21,37.57,38.6429,2.8557,10.619,10.8423,0.8765,0.8305,829145592.21,24.4222,102.2519,1.0,2.0,68.6012,383.2554
