date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2006-02-09,47.76,48.0,0.5025,11.3714,8.8864,8.5265,7.7154,1476798088.08,35.9428,6.3567,1.0,1.0,3.0,26.6132
2006-02-10,46.88,48.0,2.3891,11.1619,8.891,8.3694,7.717,1449587403.04,37.2964,5.3665,1.0,1.0,3.0,26.6132
2006-02-13,47.08,48.0,1.9541,10.9488,8.9056,8.4051,7.7204,1455771649.64,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-14,47.64,48.0,0.7557,11.0791,8.9071,8.5051,7.7215,1473087540.12,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-15,48.72,48.0,-1.4778,11.3302,8.9091,8.6979,7.7232,1506482471.76,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-16,49.6,48.0,-3.2258,11.5349,8.9116,8.855,7.7256,1533693156.8,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-17,49.28,48.0,-2.5974,11.4605,8.9149,8.7979,7.7311,1523798362.24,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-21,48.64,48.0,-1.3158,11.3116,8.9206,8.6836,7.7391,1504008773.12,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-22,48.8,48.0,-1.6393,11.3488,8.9206,8.7122,7.7391,1508956170.4,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-23,47.28,48.0,1.5228,10.9953,8.9221,8.4408,7.7395,1461955896.24,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-24,46.88,48.0,2.3891,10.9023,8.9286,8.3694,7.7395,1449587403.04,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-27,47.2,48.0,1.6949,10.9767,8.9302,8.4265,7.7487,1459482197.6,37.2964,5.538,1.0,1.0,3.0,26.6132
2006-02-28,47.0,48.0,2.1277,10.9302,8.9303,8.3908,7.7504,1453297951.0,37.2964,5.538,1.0,1.0,3.0,26.6132
