date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-10-14,39.2,54.6818,39.4944,31.4834,51.2875,4.2285,5.9192,3588407200.0,17.0447,9.6935,4.0,1.0,7.47,7.6865
2022-10-17,41.16,54.6818,32.8518,33.0576,51.2793,4.4399,5.9193,3767827560.0,17.0447,9.6935,4.0,1.0,7.47,7.6865
2022-10-18,41.62,54.6818,31.3835,33.427,51.2661,4.4896,5.9192,3809936420.0,17.0447,9.6935,4.0,1.0,7.47,7.6865
2022-10-19,40.06,54.6818,36.4998,32.1741,51.2529,4.3213,5.9192,3667132460.0,17.0447,9.6935,4.0,1.0,7.47,7.6865
2022-10-20,39.9,54.6818,37.0471,32.0456,51.2202,4.304,5.9192,3652485900.0,17.0451,9.6935,4.0,1.0,7.47,7.6865
2022-10-21,39.86,53.5,34.2198,32.2727,51.1875,4.3015,5.9192,3648824260.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-10-24,39.15,53.5,36.6539,31.6978,51.1687,4.2249,5.9193,3583830150.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-10-25,41.11,53.5,30.1387,33.2848,51.1499,4.4364,5.9192,3763250510.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-10-26,41.19,53.5,29.8859,33.3495,51.1364,4.445,5.9192,3770573790.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-10-27,41.37,53.5,29.3208,33.4953,51.123,4.4644,5.9192,3787051170.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-10-28,42.74,53.5,25.1755,34.6045,51.1025,4.6123,5.9192,3912462340.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-10-31,42.66,53.5,25.4102,34.5397,51.082,4.6036,5.9193,3905139060.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-11-01,42.59,53.5,25.6163,34.483,51.0819,4.5961,5.9192,3898731190.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-11-02,39.27,53.5,36.2363,31.795,51.0818,4.2346,5.9192,3592066170.0,17.0363,9.6799,4.0,1.0,7.47,7.6865
2022-11-03,37.5,52.5909,40.2424,30.5101,51.07,4.0318,5.9192,3430162500.0,17.0449,9.6512,4.0,1.0,7.47,7.6865
2022-11-04,37.91,51.8636,36.8072,31.7877,51.0581,4.0759,5.9192,3467665610.0,17.0449,8.7395,4.0,1.0,7.47,8.1374
2022-11-07,37.51,51.3182,36.8121,31.4523,51.0394,4.019,5.9193,3431077210.0,17.0582,8.7395,4.0,1.0,7.47,8.1374
2022-11-08,37.46,51.3182,36.9947,31.4104,51.0206,4.0136,5.9192,3426503660.0,17.0582,8.7395,4.0,1.0,7.47,8.1374
2022-11-09,37.42,51.3182,37.1411,31.3768,51.0103,4.0093,5.9192,3422844820.0,17.0582,8.7395,4.0,1.0,7.47,8.1374
2022-11-10,40.99,51.3182,25.1969,34.3703,51.0,4.3918,5.9192,3749396290.0,17.0582,8.7395,4.0,1.0,7.47,8.1374
2022-11-11,40.39,50.8636,25.9312,33.8672,50.9933,4.3275,5.9192,3694513690.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-14,39.12,50.8636,30.0194,32.8023,50.9866,4.1915,5.9193,3578345520.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-15,39.19,50.8636,29.7872,32.861,50.9769,4.199,5.9192,3584748490.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-16,39.14,50.8636,29.953,32.8191,50.9672,4.1936,5.9192,3580174940.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-17,38.63,50.8636,31.6687,32.3914,50.9652,4.139,5.9192,3533524730.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-18,39.32,49.45,25.763,32.97,50.9633,4.2129,5.9192,3596639720.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-21,39.5,49.45,25.1899,33.1209,50.9271,4.2322,5.9192,3613104500.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-22,39.47,49.45,25.285,33.0958,50.8909,4.229,5.9192,3610360370.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-23,38.91,49.45,27.0882,32.6262,50.8896,4.169,5.9142,3559136610.0,17.0582,8.7395,4.0,1.0,7.2033,8.2554
2022-11-25,38.98,49.45,26.8599,28.49,50.8883,4.1843,5.9192,3565539580.0,16.778,16.4572,3.0,1.0,7.2033,8.2554
2022-11-28,37.67,49.45,31.2716,27.5325,50.8844,4.0437,5.9193,3445712570.0,16.778,16.4572,3.0,1.0,7.2033,8.2554
2022-11-29,38.53,49.45,28.3416,28.1611,50.8804,4.136,5.9192,3524377630.0,16.778,16.4572,3.0,1.0,7.2033,8.2554
2022-11-30,39.81,49.45,24.215,29.0966,50.8787,4.2734,5.9192,3641460510.0,16.778,16.4572,3.0,1.0,7.2033,8.2554
2022-12-01,39.76,49.0455,23.3539,29.0601,50.877,4.268,5.9192,3636886960.0,16.778,16.4572,3.0,1.0,7.2033,8.2554
2022-12-02,39.18,47.8636,22.1633,29.4432,50.8566,4.2159,5.9192,3583833780.0,15.9708,14.5562,3.0,1.0,7.2033,8.2554
2022-12-05,38.77,47.8636,23.4552,29.135,50.8361,4.1717,5.9193,3546330670.0,15.9705,14.5562,3.0,1.0,7.2033,8.2554
2022-12-06,38.23,47.1364,23.2969,28.7292,50.8361,4.119,5.9192,3496936330.0,16.2418,14.5562,3.0,1.0,7.2033,8.2554
2022-12-07,38.41,47.1364,22.7191,28.8645,50.8361,4.1384,5.9192,3513401110.0,16.242,14.5562,3.0,1.0,7.2033,8.2554
2022-12-08,38.86,47.1364,21.298,29.2027,50.8251,4.1869,5.9192,3554563060.0,16.242,14.5562,3.0,1.0,7.2033,8.2554
2022-12-09,38.47,47.1364,22.5277,28.9096,50.814,4.1449,5.9192,3518889370.0,16.242,14.5562,3.0,1.0,7.2033,8.2554
2022-12-12,39.03,47.1364,20.7697,29.3304,50.8102,4.2052,5.9193,3570113130.0,16.242,14.5562,3.0,1.0,7.2033,8.2554
2022-12-13,39.37,45.6364,15.9167,37.3423,50.8065,4.2405,5.9192,3601213270.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-14,38.06,45.6364,19.9065,36.0998,50.7932,4.0994,5.9192,3481386260.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-15,37.97,45.6364,20.1907,36.0144,50.78,4.0897,5.9142,3473153870.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-16,36.56,45.6364,24.826,34.677,50.7794,3.9379,5.9142,3344179760.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-19,35.81,45.6364,27.4404,33.9657,50.7787,3.8571,5.9192,3275576510.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-20,36.23,45.6364,25.963,34.364,50.7334,3.9023,5.9192,3313994330.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-21,36.33,45.6364,25.6163,34.4589,50.6881,3.9131,5.9142,3323141430.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-22,36.11,45.6364,26.3816,34.2502,50.6667,3.8894,5.9142,3303017810.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-23,36.52,45.6364,24.9628,34.6391,50.6453,3.9336,5.9142,3340520920.0,16.2601,6.4744,2.0,1.0,7.2033,8.2554
2022-12-27,36.42,44.9091,23.3089,43.0649,50.6401,3.9161,5.9193,3331373820.0,16.7506,-3.3969,3.0,1.0,7.2033,8.2554
2022-12-28,35.73,44.9091,25.6902,42.249,50.6349,3.8419,5.9192,3268258830.0,16.7506,-3.3969,3.0,1.0,7.2033,8.2554
2022-12-29,36.61,44.9091,22.6689,43.2896,50.6208,3.9365,5.9192,3348753310.0,16.7506,-3.3969,3.0,1.0,7.2033,8.2554
2022-12-30,36.12,44.9091,24.3331,42.7102,50.6066,3.8838,5.9192,3303932520.0,16.7506,-3.3969,3.0,1.0,7.2033,8.2554
2023-01-03,35.19,45.0,27.8772,39.9569,50.5406,3.7857,5.9193,3218864490.0,16.7241,-0.299,3.0,1.0,7.2033,8.2554
2023-01-04,36.51,45.0,23.2539,41.4557,50.4746,3.9277,5.9193,3339606210.0,16.7241,-0.299,3.0,1.0,7.2033,8.2554
2023-01-05,35.83,44.6364,24.5783,45.257,50.4492,3.8546,5.9193,3277405930.0,16.7241,-5.0416,3.0,1.0,7.2033,-3.582
2023-01-06,36.47,44.0909,20.8964,49.5045,50.4237,3.9438,5.9193,3335947370.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-09,36.49,44.0909,20.8301,49.5317,50.4142,3.946,5.9193,3337776790.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-10,36.06,44.0909,22.2709,48.948,50.4047,3.8995,5.9193,3298444260.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-11,37.88,44.0909,16.3963,51.4185,50.4142,4.0963,5.9193,3464921480.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-12,38.38,44.0909,14.8799,52.0972,50.4237,4.1504,5.9193,3510656980.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-13,37.88,44.0909,16.3963,51.4185,50.4492,4.0963,5.9193,3464921480.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-17,38.57,44.0909,14.314,52.3551,50.4746,4.1709,5.9193,3528036470.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-18,37.87,44.0909,16.427,51.4049,50.5406,4.0952,5.9193,3464006770.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-19,37.8,44.0909,16.6426,51.3099,50.6066,4.0877,5.9192,3457603800.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-20,38.36,44.0909,14.9398,52.07,50.6066,4.1482,5.9093,3508827560.0,16.4965,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-23,38.41,44.0909,14.7902,52.1379,50.4746,4.1622,5.8976,3513401110.0,16.3895,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-24,38.58,44.0909,14.2843,52.3687,50.5406,4.1806,5.8965,3528951180.0,16.3895,-7.7982,3.0,1.0,7.2033,-3.582
2023-01-25,38.66,44.0909,14.0479,52.4773,50.6066,4.1893,5.8919,3536268860.0,16.3895,-7.7982,3.0,1.0,6.8662,-3.5995
2023-01-26,39.65,44.0909,11.2003,53.8211,50.6066,4.2966,5.8917,3626825150.0,16.3895,-7.7982,3.0,1.0,6.8662,-3.5995
2023-01-27,40.43,44.0909,9.0549,56.2152,50.6066,4.3811,5.8897,3698172530.0,16.3915,-7.8836,3.0,1.0,6.8662,-3.5995
2023-01-30,39.78,44.0909,10.8369,55.273,50.4746,4.3107,5.884,3638716380.0,16.3915,-8.2083,3.0,1.0,6.8662,-3.8219
2023-01-31,40.8,44.0909,8.0659,56.6903,50.5406,4.4212,5.8803,3732016800.0,16.3915,-8.2083,3.0,1.0,6.8662,-3.8219
2023-02-01,40.99,44.0909,7.565,56.9543,50.6066,4.4418,5.8766,3749396290.0,16.3915,-8.2083,3.0,1.0,6.8662,-3.8219
2023-02-02,42.47,44.0909,3.8166,59.0107,50.6066,4.6022,5.8761,3884773370.0,16.3915,-8.2083,3.0,1.0,6.8662,-3.8219
2023-02-03,42.04,44.0909,4.8784,58.4132,50.6066,4.5556,5.8749,3845440840.0,16.3915,-8.2083,3.0,1.0,6.8662,-3.8219
2023-02-06,42.81,44.0909,2.9921,59.4831,50.4746,4.639,5.8666,3915873510.0,16.3915,-8.2083,3.0,1.0,6.8662,-3.8219
