date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-09-24,20.07,30.0,49.4768,13.8271,13.5033,1.2037,1.1235,7841349000.0,2.2767,25.383,1.0,2.0,18.75,81.062,4.60208137254902,11.273299378464966,9.837963492063492,10.832322781037156,15.875380751013983,-0.994359288973664
2002-09-25,20.67,30.0,45.1379,14.1731,13.5103,1.2397,1.1239,8075769000.0,2.2767,25.3848,1.0,2.0,18.75,81.062,4.799817073170732,11.596537436486573,10.25377777777778,11.171228360296922,16.396354509657304,-0.9174505825191428
2002-09-26,22.06,30.0,35.9927,15.1262,13.5103,1.323,1.1239,8618842000.0,2.2767,25.3848,1.0,2.0,18.75,81.062,4.951238834951456,11.770597408886868,10.587172222222222,11.307822686162986,16.721836243838325,-0.720650463940764
2002-09-27,21.52,30.0,39.4052,14.7559,13.5103,1.2907,1.1239,8407864000.0,2.2767,25.3848,1.0,2.0,18.75,81.062,5.117683091787439,11.983700148480573,10.930110317460317,11.521070234229663,17.101383240268014,-0.5909599167693464
2002-09-30,20.19,30.0,48.5884,13.8439,13.4963,1.2109,1.1232,7888233000.0,2.2767,25.3848,1.0,2.0,18.75,81.062,5.326676923076922,12.328844929865989,11.323417460317462,11.949549289375426,17.65552185294291,-0.6261318290579645
2002-10-01,21.73,30.0,38.058,14.8999,13.5033,1.3033,1.1235,8489911000.0,2.2767,25.3848,1.0,2.0,18.75,81.062,5.483286124401914,12.505825539844528,11.605578571428572,12.15760513038391,17.989111664246444,-0.5520265589553368
2002-10-02,20.35,30.0,47.4201,13.9536,13.5103,1.2201,1.1239,7950745000.0,2.277,25.3848,1.0,2.0,18.75,81.062,5.682985238095238,12.80711178768722,11.996472222222224,12.50880194875042,18.490097025782458,-0.5123297265281952
2002-10-03,21.36,30.0,40.4494,14.6462,13.5103,1.2807,1.1239,8345352000.0,2.277,25.3848,1.0,2.0,18.75,81.062,5.847754976303317,12.9988271672197,12.328971428571428,12.703926396209054,18.84658214352301,-0.3749549676376258
2002-10-04,20.9,30.0,43.5407,14.3308,13.5103,1.2531,1.1239,8165630000.0,2.277,25.3848,1.0,2.0,18.75,81.062,6.025551886792452,13.223856984312876,12.691785714285714,12.937069543241789,19.249408871105327,-0.2452838289560741
2002-10-07,19.97,30.0,50.2253,13.6931,13.4963,1.1973,1.1232,7802279000.0,2.277,25.3848,1.0,2.0,18.75,81.062,6.233062441314554,13.535783960871091,13.100153968253966,13.301107423944224,19.76884640218565,-0.2009534556902572
2002-10-08,21.07,30.0,42.3825,14.4473,13.5033,1.2633,1.1235,8232049000.0,2.277,25.382,1.0,2.0,18.75,80.655,6.401985046728972,13.728209235093203,13.483950000000002,13.443194972504118,20.130194281822178,0.0407550274958836
2002-10-09,19.35,30.0,55.0388,13.268,13.4963,1.1602,1.1239,7560045000.0,2.277,25.382,1.0,2.0,18.75,80.655,6.628202790697674,14.092039161353917,13.95129126984127,13.853198461704183,20.720241952051587,0.0980928081370855
2002-10-10,20.56,30.0,45.9144,14.0976,13.4963,1.2327,1.1239,8032792000.0,2.277,25.382,1.0,2.0,18.75,80.655,6.810083333333334,14.31109041227394,14.37898888888889,14.001913016385853,21.12117374560728,0.3770758725030365
2002-10-11,21.13,30.0,41.9782,14.4885,13.4963,1.2669,1.1239,8255491000.0,2.277,25.382,1.0,2.0,18.75,80.655,6.972148387096775,14.47614069845587,14.73343253968254,14.131246497148537,21.448289085552645,0.6021860425340044
2002-10-14,20.74,30.0,44.648,14.2211,13.4943,1.2435,1.1232,8103118000.0,2.277,25.382,1.0,2.0,18.75,80.655,7.144973394495413,14.66643347214753,15.130185714285714,14.264222128167884,21.81140686664294,0.8659635861178305
2002-10-15,22.0,30.0,36.3636,15.0892,13.4953,1.316,1.1235,8595400000.0,2.2773,25.3837,1.0,2.0,18.75,80.655,7.278391780821917,14.765360001260142,15.45577777777778,14.277062353663034,22.04375178208205,1.1787154241147455
2002-10-16,21.2,30.0,41.5094,14.5405,13.4963,1.2681,1.1239,8282840000.0,2.2773,25.3837,1.0,2.0,18.75,80.655,7.433987272727273,14.911289023336073,15.813780952380952,14.360744104853143,22.345276296063343,1.4530368475278088
2002-10-17,21.9,30.0,36.9863,15.0206,13.4963,1.31,1.1239,8556330000.0,2.2773,25.3837,1.0,2.0,18.75,80.655,7.567708144796381,15.009584780218596,16.1329246031746,14.381045271944242,22.577292925014977,1.751879331230359
2002-10-18,21.19,30.0,41.5762,14.5336,13.4963,1.2675,1.1239,8278933000.0,2.2773,25.3837,1.0,2.0,18.75,80.655,7.72089954954955,15.148532696298156,16.48317380952381,14.459450933731494,22.869432245847705,2.0237228757923145
2002-10-21,21.4,30.0,40.1869,14.6776,13.4953,1.2801,1.1235,8360980000.0,2.2773,25.3837,1.0,2.0,18.75,80.655,7.866486995515695,15.269937788328566,16.818695238095238,14.51543431909556,23.136424783844262,2.303260918999678
2002-10-22,20.79,30.0,44.3001,14.2086,13.4963,1.2436,1.1239,8122653000.0,2.2773,25.386,1.0,2.0,18.75,80.655,8.029137053571429,15.428911804273394,17.108707142857142,14.696876946057232,23.458048857844823,2.41183019679991
2002-10-23,21.0,26.0,23.8095,14.4928,13.5033,1.2683,1.124,8204700000.0,2.2726,25.3922,1.0,2.0,18.75,84.5431,8.099272,15.43033846904104,17.266892857142857,14.660551911232693,23.52961046904104,2.606340945910164
2002-10-24,21.01,26.0,23.7506,14.4997,13.5033,1.2672,1.124,8208607000.0,2.2724,25.3959,1.0,2.0,18.75,84.5431,8.168525663716814,15.431171554378874,17.422320634920638,14.624322840010432,23.599697218095688,2.7979977949102057
2002-10-25,20.92,26.0,24.283,14.4375,13.5039,1.2618,1.124,8173444000.0,2.2724,25.3959,1.0,2.0,18.75,84.5431,8.239514537444933,15.434097671564968,17.561580952380954,14.605282466366551,23.673612209009903,2.9562984860144006
