date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2005-01-26,798.25,790.0,-1.0335,10.0336,8.1868,2.2129,0.892,6192823500.0,26.274,24.2671,1.0,3.0,13.3333,16.6765
2005-01-27,773.5,790.0,2.1332,8.4073,8.1868,1.0987,0.892,6106009000.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-01-28,789.5,790.0,0.0633,8.5812,8.1868,1.1215,0.892,6232313000.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-01-31,791.25,790.0,-0.158,8.6003,8.1836,1.124,0.8918,6246127500.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-01,793.25,790.0,-0.4097,8.622,8.1853,1.1268,0.8918,6261915500.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-02,794.0,790.0,-0.5038,8.6301,8.1868,1.1279,0.892,6267836000.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-03,785.75,790.0,0.5409,8.5405,8.1868,1.1161,0.892,6202710500.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-04,806.75,790.0,-2.0762,8.7687,8.1868,1.146,0.892,6368484500.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-07,805.0,790.0,-1.8634,8.7497,8.1836,1.1435,0.8918,6354670000.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-08,808.0,790.0,-2.2277,8.7823,8.1853,1.1478,0.8918,6378352000.0,8.7062,11.9431,1.0,1.0,15.0,11.4993
2005-02-09,785.5,790.0,0.5729,8.5378,8.1868,1.1158,0.892,6200737000.0,8.7062,11.8124,1.0,1.0,15.0,11.4993
2005-02-10,783.0,790.0,0.894,8.5106,8.1868,1.1122,0.892,6181002000.0,8.7062,11.8124,1.0,1.0,15.0,11.4993
2005-02-11,762.25,790.0,3.6405,8.285,8.1868,1.0828,0.892,6017201500.0,8.7062,11.8124,1.0,1.0,15.0,11.4993
2005-02-14,771.0,790.0,2.4643,8.3802,8.1836,1.0952,0.8918,6086274000.0,8.7062,11.8124,1.0,1.0,15.0,11.4993
2005-02-15,772.099976,790.0,2.3184,8.3921,8.1853,1.0968,0.8918,6094957210.544,8.7062,11.8124,1.0,1.0,15.0,11.4993
2005-02-16,783.0,790.0,0.894,8.5106,8.1868,1.1122,0.892,6181002000.0,8.7062,11.8124,1.0,1.0,15.0,11.4993
2005-02-17,790.01001,790.0,-0.0013,8.5868,8.1868,1.1222,0.892,6236339018.94,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-02-18,785.0,790.0,0.6369,8.5323,8.1868,1.1151,0.892,6196790000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-02-22,774.5,790.0,2.0013,8.4182,8.1853,1.1002,0.8918,6113903000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-02-23,792.0,790.0,-0.2525,8.6084,8.1868,1.125,0.892,6252048000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-02-24,800.049988,790.0,-1.2562,8.6959,8.1868,1.1365,0.892,6315594605.272,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-02-25,805.5,790.0,-1.9243,8.7551,8.1868,1.1442,0.892,6358617000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-02-28,792.25,790.0,-0.284,8.6111,8.1836,1.1254,0.8918,6254021500.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-01,798.0,790.0,-1.0025,8.6736,8.1853,1.1335,0.8918,6299412000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-02,797.0,790.0,-0.8783,8.6628,8.1868,1.1321,0.892,6291518000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-03,797.25,790.0,-0.9094,8.6655,8.1868,1.1325,0.892,6293491500.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-04,799.0,790.0,-1.1264,8.6845,8.1868,1.135,0.892,6307306000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-07,807.5,790.0,-2.1672,8.7769,8.1836,1.147,0.8918,6374405000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-08,796.0,790.0,-0.7538,8.6519,8.1853,1.1307,0.8918,6283624000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-09,790.0,790.0,0.0,8.5867,8.1868,1.1222,0.892,6236260000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-10,782.0,790.0,1.023,8.4997,8.1868,1.1108,0.892,6173108000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-11,782.5,790.0,0.9585,8.5051,8.1868,1.1115,0.892,6177055000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-14,786.789978,790.0,0.408,8.5518,8.1836,1.1176,0.8918,6210920086.332,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-15,795.26001,790.0,-0.6614,8.6438,8.1853,1.1297,0.8918,6277782518.94,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-16,795.099976,790.0,-0.6414,8.6421,8.1868,1.1294,0.892,6276519210.544,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-17,789.25,790.0,0.095,8.5785,8.1868,1.1211,0.892,6230339500.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-18,790.5,790.0,-0.0633,8.5921,8.1868,1.1229,0.892,6240207000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-21,789.75,790.0,0.0317,8.5839,8.1836,1.1218,0.8918,6234286500.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-22,795.5,790.0,-0.6914,8.6464,8.1853,1.13,0.8918,6279677000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-23,798.5,790.0,-1.0645,8.6791,8.1868,1.1343,0.892,6303359000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-24,801.25,790.0,-1.4041,8.7089,8.1868,1.1382,0.892,6325067500.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-28,798.0,790.0,-1.0025,8.6736,8.182,1.1335,0.8918,6299412000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-29,785.51001,790.0,0.5716,8.5379,8.1836,1.1158,0.8918,6200816018.94,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-30,790.25,790.0,-0.0316,8.5894,8.1853,1.1225,0.8918,6238233500.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-03-31,785.0,790.0,0.6369,8.5323,8.1853,1.1151,0.8918,6196790000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-04-01,794.5,790.0,-0.5664,8.6356,8.1853,1.1286,0.8918,6271783000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-04-04,803.349976,790.0,-1.6618,8.7318,8.182,1.1411,0.8918,6341644710.544,8.6763,11.8137,1.0,2.0,12.5,11.4993
2005-04-05,796.5,790.0,-0.8161,8.6573,8.1836,1.1314,0.8918,6287571000.0,8.6763,11.8137,1.0,2.0,12.5,11.4993
