date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2023-05-11,35.43,39.4667,11.3935,18.0416,23.1024,2.0104,0.6782,5166925617.66,16.9222,31.3,3.0,1.0,34.1746,29.7752,13.471515625,10.542969616902372,13.471515625,10.542969616902372,24.01448524190237,2.928546008097628
2023-05-12,39.39,39.4667,0.1947,20.2551,23.1009,2.2351,0.6782,5744431275.18,16.9222,31.2872,3.0,1.0,44.2183,29.7752,13.267256923076925,10.589113700532394,13.267256923076925,10.589113700532394,23.856370623609315,2.678143222544529
2023-05-15,40.32,40.2667,-0.1322,20.7333,23.1008,2.2747,0.6792,5880057603.84,17.4057,31.2872,3.0,1.0,44.2183,29.7752,13.06423484848485,10.63600714113644,13.06423484848485,10.63600714113644,23.70024198962129,2.42822770734841
2023-05-16,37.51,40.2667,7.3492,19.2883,23.1007,2.1162,0.6802,5470261922.62,17.4057,31.2872,3.0,1.0,44.2183,31.3947,12.978935820895522,10.578191008143026,12.978935820895522,10.578191008143026,23.55712682903855,2.400744812752496
2023-05-17,38.925,40.2667,3.4469,20.0159,23.0904,2.196,0.6812,5676618110.85,17.4057,31.2872,3.0,1.0,44.2183,31.3947,12.838758823529412,10.562394420593732,12.838758823529412,10.562394420593732,23.401153244123144,2.2763644029356804
2023-05-18,39.33,40.2667,2.3816,20.2242,23.0801,2.2189,0.6823,5735681189.46,17.4057,31.2872,3.0,1.0,44.2183,31.3947,12.687205797101448,10.55975095909942,12.687205797101448,10.55975095909942,23.24695675620087,2.127454838002027
2023-05-19,39.16,40.2667,2.8261,20.1368,23.0424,2.2093,0.6826,5710889279.92,17.4057,31.2872,3.0,1.0,44.2183,31.3947,12.546332857142858,10.54900186652364,12.546332857142858,10.54900186652364,23.095334723666497,1.9973309906192185
2023-05-22,39.98,40.2667,2.5513,20.5584,23.0047,2.2556,0.683,5830473784.76,17.4057,31.2872,3.0,1.0,44.2183,31.3947,12.405557746478872,10.540339528397716,12.405557746478872,10.540339528397716,22.94589727487659,1.8652182180811567
2023-05-23,39.18,40.2667,4.6452,20.1471,22.9785,2.2104,0.6838,5713805975.16,17.4057,31.2872,3.0,1.0,44.2183,31.3947,12.297775,10.505732664353264,12.297775,10.505732664353264,22.803507664353265,1.7920423356467357
2023-05-24,38.46,41.3846,7.6043,19.6064,22.9523,2.1728,0.6846,5608804946.52,16.8672,30.4792,2.0,1.0,44.2183,31.9157,12.233480821917809,10.446973698100026,12.233480821917809,10.446973698100026,22.680454520017832,1.7865071238177812
