date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2024-03-18,2.33,7.0007,200.4592,12.6906,12.6906,0.1968,0.4075,90868497.15,-1.3907,330.7405,1.0,1.0,22.6833,-33.2032
2024-03-19,2.18,7.0007,221.133,11.8736,12.2821,0.1842,0.4064,85018593.9,-1.3907,330.7405,1.0,1.0,22.6833,-33.2032
2024-03-20,2.24,7.0007,212.5312,12.2004,12.2004,0.1892,0.4064,87358555.2,-1.3907,330.7405,1.0,1.0,22.6833,-33.2032
2024-03-21,2.32,7.0007,201.7543,12.6362,12.4183,0.196,0.4048,90478503.6,-1.3907,330.7405,1.0,1.0,22.6833,-33.2032
2024-03-22,2.27,7.0007,208.4009,12.3638,12.3638,0.1918,0.4032,88528535.85,-1.3907,330.7405,1.0,1.0,22.6833,-33.2032
2024-03-25,2.2,4.6441,111.0955,18.5497,12.5,0.1587,0.3995,85798581.0,4.0041,184.3756,2.0,1.0,22.6833,20.808
2024-03-26,2.17,4.6441,114.0138,18.2968,12.6362,0.1565,0.3995,84628600.35,4.0041,184.3756,2.0,1.0,22.6833,20.808
2024-03-27,2.21,6.9725,215.4977,12.0831,12.5,0.1874,0.3994,86188574.55,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-03-28,2.22,6.9725,214.0766,12.1378,12.3638,0.1883,0.3986,86578568.1,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-01,2.27,6.9725,207.1586,12.4112,12.3875,0.1925,0.394,88528535.85,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-02,2.18,6.9725,219.8394,11.9191,12.3638,0.1849,0.3938,85018593.9,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-03,2.24,6.9725,211.2723,12.2471,12.3054,0.19,0.3936,87358555.2,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-04,2.24,6.9725,211.2723,12.2471,12.2471,0.19,0.3934,87358555.2,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-05,2.18,6.9725,219.8394,11.9191,12.2471,0.1849,0.3927,85018593.9,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-08,2.19,6.9725,218.379,11.9738,12.2471,0.1857,0.389,85408587.45,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-09,2.17,6.9725,221.3134,11.8644,12.2237,0.184,0.3864,84628600.35,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-10,2.15,6.9725,224.3023,11.7551,12.2004,0.1824,0.3862,83848613.25,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-11,2.03,6.9725,243.4729,11.099,12.1691,0.1722,0.3842,79168690.65,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-12,1.95,6.9725,257.5641,10.6616,12.1378,0.1654,0.3818,76048742.25,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-15,1.94,6.9725,259.4072,10.6069,12.1104,0.1645,0.3787,75658748.7,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-16,1.9,6.9725,266.9737,10.3882,12.0831,0.1611,0.3764,74098774.5,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-17,1.78,6.9725,291.7135,9.7321,12.0284,0.151,0.3748,69418851.9,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-18,1.82,6.9725,283.1044,9.9508,11.9738,0.1544,0.3726,70978826.1,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-19,1.87,6.9725,272.861,10.2242,11.9464,0.1586,0.3715,72928793.85,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-22,1.88,6.9725,270.8777,10.2788,11.9191,0.1595,0.3705,73318787.4,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-23,1.83,6.9725,281.0109,10.0055,11.9191,0.1552,0.37,71368819.65,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-24,1.79,6.9725,289.5251,9.7868,11.9191,0.1518,0.3695,69808845.45,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-25,1.85,6.9725,276.8919,10.1148,11.8964,0.1569,0.369,72148806.75,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-26,2.0,6.9725,248.625,10.9349,11.8736,0.1696,0.3686,77998710.0,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-29,1.93,6.9725,261.2694,10.5522,11.869,0.1637,0.3671,75268755.15,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-04-30,2.03,6.9725,243.4729,11.099,11.8644,0.1722,0.3669,79168690.65,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-05-01,2.04,6.9725,241.7892,11.1536,11.8098,0.173,0.3666,79558684.2,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-05-02,2.16,6.9725,222.8009,11.8097,11.8097,0.1832,0.3649,84238606.8,-1.5093,330.9253,1.0,1.0,22.6833,20.808
2024-05-03,2.42,4.2299,74.7893,11.8097,11.8097,0.2197,0.3629,94378439.1,-3.9033,136.3431,2.0,1.0,22.6833,20.808
2024-05-06,2.27,4.2299,86.3392,11.8097,11.8097,0.2061,0.361,88528535.85,-3.9033,136.3431,2.0,1.0,22.6833,20.808
