date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2004-02-23,9.63,10.5,9.0343,9.7936,9.967,0.6117,0.612,1515781260.0,-5.8317,-2.6081,3.0,3.0,7.9667,-3.0253
2004-02-24,9.64,10.5,8.9212,9.7207,9.9633,0.5965,0.612,1517355280.0,-5.8578,-2.6153,3.0,3.0,7.9667,-3.003
2004-02-25,9.62,10.75,11.7464,9.5342,9.9615,0.6797,0.612,1514207240.0,-23.8405,-2.0737,1.0,3.0,7.9667,-0.8453
2004-02-26,9.64,10.75,11.5145,9.554,9.9615,0.6811,0.612,1517355280.0,-23.8405,-2.0737,1.0,3.0,7.9667,-0.8453
2004-02-27,9.72,10.75,10.5967,9.6467,9.9615,0.6867,0.612,1529947440.0,-23.847,-2.0728,1.0,4.0,7.975,-0.8453
2004-03-01,9.97,10.75,7.8235,9.7325,9.967,0.7044,0.6118,1569297940.0,-23.847,-2.0691,1.0,4.0,7.975,-0.8453
2004-03-02,10.07,10.75,6.7527,9.8301,9.9633,0.7115,0.612,1585038140.0,-23.847,-2.0691,1.0,4.0,7.975,-0.8453
2004-03-03,9.99,10.75,7.6076,9.752,9.9615,0.8902,0.612,1983240574.2,-23.847,-2.0691,1.0,5.0,7.38,-0.8453
2004-03-04,10.02,10.75,7.2854,9.7813,9.9615,0.8929,0.612,1989196251.6,-23.847,-2.0691,1.0,5.0,7.38,-0.8453
2004-03-05,10.15,10.75,5.9113,9.9082,9.9615,0.9045,0.612,2015004187.0,-23.847,-2.0691,1.0,5.0,7.38,-0.8453
2004-03-08,10.23,10.75,5.0831,9.9863,9.9707,0.9116,0.612,2030885993.4,-23.847,-2.0691,1.0,5.0,7.38,-0.8453
2004-03-09,10.15,10.75,5.9113,9.9082,9.967,0.9045,0.612,2015004187.0,-23.847,-2.0691,1.0,5.0,7.38,-0.8453
2004-03-10,9.94,10.75,8.1489,9.7032,9.9633,0.8858,0.6121,1973314445.2,-23.847,-2.0691,1.0,5.0,7.38,-0.8453
2004-03-11,9.85,10.75,9.1371,9.6154,9.9633,0.8777,0.6121,1955447413.0,-23.843,-2.0697,1.0,5.0,7.38,-0.8453
2004-03-12,10.03,10.75,7.1785,9.7911,9.9597,0.8938,0.6121,1991181477.4,-23.843,-2.0697,1.0,5.0,7.38,-0.8453
2004-03-15,10.04,10.75,7.0717,9.7675,9.9633,0.8842,0.612,1993166703.2,-23.6396,-2.0706,1.0,5.0,7.38,-0.8635
2004-03-16,9.93,10.75,8.2578,9.6605,9.9615,0.8745,0.612,1971329219.4,-23.6396,-2.0706,1.0,5.0,7.38,-0.8635
2004-03-17,9.98,10.75,7.7154,9.7091,9.9597,0.8789,0.6121,1981255348.4,-23.6396,-2.0706,1.0,5.0,7.38,-0.8635
2004-03-18,9.91,10.75,8.4763,9.641,9.9597,0.8728,0.6121,1967358767.8,-23.6396,-2.0706,1.0,5.0,7.38,-0.8635
2004-03-19,9.96,10.75,7.9317,9.6897,9.9597,0.8772,0.6121,1977284896.8,-23.6396,-2.0706,1.0,5.0,7.38,-0.8635
