date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2006-07-24,16.62,27.4721,65.2954,13.7492,48.3238,3.0222,3.0222,1124586483.0,52.1721,2096.0877,3.0,1.0,50.0,142.7089,9.95680257936508,19.33476600747553,17.506483333333332,33.49970659045903,29.291568586840604,-15.993223257125695
2006-07-25,17.32,27.4721,58.6149,14.3283,48.2956,3.1495,3.0859,1171951738.0,52.1721,2096.0877,3.0,1.0,50.0,142.7089,10.056041666666667,19.45576056336673,18.019642857142856,33.63104840730234,29.511802230033407,-15.611405550159482
2006-07-26,17.78,27.4721,54.5112,14.7088,48.0784,3.2331,3.1495,1203077477.0,52.1721,2096.0877,3.0,1.0,50.0,142.7089,10.13289642857143,19.554656594905467,18.546161904761902,33.67926575626704,29.68755302347689,-15.13310385150513
2006-07-27,17.88,27.4721,53.6471,14.7915,47.8612,3.2513,3.1913,1209843942.0,52.1721,2096.0877,3.0,1.0,50.0,142.7089,10.21585238095238,19.650351379914568,19.126031746031742,33.64938781176187,29.86620376086695,-14.523356065730123
2006-07-28,18.55,27.4721,48.0976,15.3458,47.5456,3.3731,3.2331,1255179257.5,52.1721,2096.0877,3.0,1.0,50.0,142.7089,10.288288690476191,19.722581866808763,19.670519841269844,33.557867734016824,30.01087055728496,-13.88734789274698
2006-07-31,18.96,27.4721,44.895,15.685,47.3001,3.4477,3.2422,1282921764.0,52.1721,2096.0877,3.0,1.0,50.0,142.7089,10.361296230158729,19.782475348035508,20.201878571428573,33.42165657206987,30.14377157819424,-13.219778000641298
2006-08-01,19.35,27.4721,41.9747,16.0076,47.2918,3.5186,3.2513,1309310977.5,52.1721,2096.0877,3.0,1.0,50.0,142.7089,10.429599007936508,19.83211633203816,20.750976984126986,33.20408519206801,30.26171533997467,-12.453108207941025
2006-08-02,20.49,27.4721,34.0756,16.7156,47.2835,4.1776,3.3122,1554555810.0,52.1721,2150.2047,3.0,1.0,50.0,146.1384,10.485018849206348,19.859124961832645,21.23281031746032,32.95047598461632,30.344143811039,-11.717665667156002
2006-08-03,20.07,27.6805,37.9198,16.467,47.1892,4.1141,3.3731,1522690830.0,50.9705,2142.4829,3.0,1.0,50.0,146.0574,10.546045436507937,19.896118239306503,21.749688095238096,32.69435801312179,30.44216367581444,-10.944669917883695
2006-08-04,20.37,27.6805,35.8886,16.4619,47.1599,4.1756,3.4104,1545451530.0,50.9705,2281.3966,3.0,1.0,50.0,146.0574,10.594386706349203,19.92807328672384,22.22472063492064,32.45880201096853,30.52245999307305,-10.234081376047897
2006-08-07,21.12,27.6805,31.063,17.068,46.9846,4.3294,3.4477,1602353280.0,50.9705,2281.3966,3.0,1.0,50.0,146.0574,10.640862896825396,19.948471290606708,22.682772222222223,32.16949144996275,30.589334187432105,-9.486719227740526
2006-08-08,20.95,27.6805,32.1265,16.9307,46.967,4.2945,3.4832,1589455550.0,50.9705,2281.3966,3.0,1.0,50.0,146.0574,10.686560912698411,19.971289900762017,23.09706111111111,31.94982910098393,30.657850813460428,-8.85276798987282
2006-08-09,21.64,27.6805,27.9136,17.4883,46.9495,4.436,3.5186,1641805160.0,50.9705,2281.3966,3.0,1.0,50.0,146.0574,10.721432936507936,19.98601916750815,23.47624523809524,31.71856386858052,30.707452104016085,-8.242318630485276
