date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-02-06,68.89,74.5631,8.235,41.2639,25.0262,0.0744,0.0759,3414749991.28,9.4185,164.2857,2.0,2.0,63.8,143.6346
2014-02-07,70.33,75.2733,7.0287,49.2887,25.0262,0.0758,0.0758,3486128130.16,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-10,71.29,75.2733,5.5875,49.9615,25.0641,0.0768,0.0759,3533713556.08,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-11,73.48,75.2733,2.4405,51.4963,25.102,0.0792,0.0759,3642267808.96,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-12,73.08,75.2733,3.0012,51.2159,25.1453,0.0787,0.0759,3622440548.16,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-13,72.65,75.2733,3.6109,50.9146,25.1886,0.0783,0.0759,3601126242.8,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-14,73.24,75.2733,2.7762,51.3281,25.2374,0.0789,0.0759,3630371452.48,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-18,75.37,75.2733,-0.1283,52.8208,25.2952,0.0812,0.0759,3735951616.24,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-19,75.63,75.2733,-0.4716,53.003,25.3042,0.0815,0.076,3748839335.76,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-20,74.14,75.2733,1.5286,51.9588,25.4161,0.0799,0.0762,3674982789.28,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-21,73.61,75.2733,2.2596,51.5874,25.528,0.0793,0.0765,3648711668.72,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-24,71.93,75.2733,4.648,50.41,25.537,0.0775,0.0765,3565437173.36,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-25,71.98,75.2733,4.5753,50.445,25.546,0.0776,0.0765,3567915580.96,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-26,73.5,75.2733,2.4127,51.5103,25.546,0.0792,0.0765,3643259172.0,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-27,73.72,75.6283,2.5886,51.6644,25.546,0.0794,0.0765,3654164165.44,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-02-28,74.57,75.6283,1.4192,52.2601,25.5604,0.0803,0.0766,3696297094.64,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-03-03,74.03,75.6283,2.7756,49.0687,25.5894,0.0837,0.0766,3669530292.56,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-03-04,74.57,75.6283,2.0314,49.4267,25.6038,0.0843,0.0766,3696297094.64,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-03-05,74.38,75.6283,2.292,49.3007,25.6272,0.0841,0.0767,3686879145.76,6.4196,138.225,3.0,2.0,63.8,144.6579
2014-03-06,74.67,76.6555,2.659,49.4929,25.6507,0.0844,0.0768,3701253909.84,1.2797,134.4316,4.0,2.0,63.8,144.6579
2014-03-07,74.46,76.6555,2.9486,49.3537,25.6706,0.0842,0.077,3690844597.92,1.2797,134.4316,4.0,2.0,63.8,144.6579
2014-03-10,73.77,76.6555,3.9115,48.8964,25.6905,0.0834,0.0773,3656642573.04,1.2797,134.4316,4.0,2.0,63.8,144.6579
2014-03-11,73.18,76.6555,4.7492,48.6117,25.714,0.0828,0.0774,3627397363.36,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-12,73.18,76.6555,4.7492,48.6117,25.7374,0.0828,0.0775,3627397363.36,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-13,72.57,76.1609,4.9482,48.2065,27.4024,0.0821,0.0776,3597160790.64,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-14,74.94,76.1609,1.6292,49.7808,29.0673,0.0847,0.0776,3714637310.88,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-17,75.31,76.1609,1.1299,50.0266,29.0952,0.0852,0.0776,3732977527.12,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-18,75.26,76.1609,1.1971,49.9934,29.1231,0.0851,0.0777,3730499119.52,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-19,74.94,76.1609,1.6292,49.7808,29.5748,0.0847,0.078,3714637310.88,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-20,74.7,76.1609,1.9557,49.6214,30.0264,0.0845,0.0783,3702740954.4,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-21,76.51,76.1609,-0.4563,50.8237,30.067,0.0865,0.0784,3792459309.52,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-24,76.56,76.1609,-0.5213,50.8569,30.1076,0.0866,0.0785,3794937717.12,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-25,76.72,76.1609,-0.7288,50.9632,30.1152,0.0868,0.0785,3802868621.44,1.2797,134.3155,4.0,2.0,63.8,144.6579
2014-03-26,76.56,76.516,-0.0575,50.8569,30.1228,0.0866,0.0785,3794937717.12,1.2797,134.3155,4.0,2.0,63.8,102.2738
2014-03-27,73.87,77.4036,4.7835,49.4676,30.1558,0.0828,0.0786,3661599388.24,1.5419,130.6049,5.0,2.0,63.8,56.2196
2014-03-28,74.35,77.9362,4.8234,49.402,30.1888,0.0833,0.0786,3685392101.2,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-03-31,74.51,77.9362,4.6665,49.5083,30.1964,0.0835,0.0786,3693323005.52,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-01,75.58,77.9362,3.1847,50.2193,30.204,0.0847,0.0786,3746360928.16,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-02,76.48,77.9362,1.9704,50.8173,30.2319,0.0857,0.0786,3790972264.96,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-03,76.94,77.9362,1.3608,51.1229,30.2598,0.0862,0.0787,3813773614.88,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-04,76.78,77.9362,1.572,51.0166,30.3207,0.0861,0.0787,3805842710.56,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-07,74.57,77.9362,4.5823,49.5482,30.3816,0.0836,0.0788,3696297094.64,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-08,72.89,77.9362,6.9927,48.4319,30.4146,0.0817,0.0789,3613022599.28,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-09,75.23,77.9362,3.6648,49.9867,30.4476,0.0843,0.0791,3729012074.96,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-10,74.97,77.9362,4.0243,49.814,30.4603,0.084,0.0792,3716124355.44,1.5419,129.9752,6.0,2.0,63.8,56.2196
2014-04-11,73.8,77.9362,5.6734,48.3934,30.473,0.0827,0.0792,3658129617.6,1.5419,131.215,6.0,2.0,63.8,56.2196
2014-04-14,73.9,77.9362,5.5304,48.459,30.5618,0.0828,0.0792,3663086432.8,1.5419,131.215,6.0,2.0,63.8,56.2196
2014-04-15,73.42,77.9362,6.2204,48.1443,30.6506,0.0823,0.0792,3639293719.84,1.5419,131.215,6.0,2.0,63.8,56.2196
2014-04-16,74.03,78.1772,5.6021,48.5443,30.6582,0.083,0.0793,3669530292.56,1.5419,131.215,6.0,2.0,63.8,56.2196
2014-04-17,73.32,78.1772,6.6247,48.0787,30.6658,0.0822,0.0794,3634336904.64,1.5419,131.215,6.0,2.0,63.8,56.2196
2014-04-21,73.4,78.1772,6.5084,48.6608,30.7394,0.0823,0.0794,3638302356.8,1.5419,128.6232,6.0,2.0,63.8,56.2196
2014-04-22,73.1,78.1772,6.9456,48.4619,30.813,0.0819,0.0795,3623431911.2,1.5419,128.6232,6.0,2.0,63.8,55.8236
2014-04-23,74.51,78.1772,4.9218,49.3967,30.8409,0.0835,0.0796,3693323005.52,1.5419,128.6232,6.0,2.0,63.8,55.8236
2014-04-24,73.77,78.1772,5.9742,48.9061,30.8688,0.0827,0.0798,3656642573.04,1.5419,128.6232,6.0,2.0,63.8,55.8236
2014-04-25,72.65,78.1772,7.608,48.1636,30.8738,0.0814,0.0799,3601126242.8,1.5419,128.6232,6.0,2.0,63.8,55.8236
2014-04-28,72.7,78.1772,7.534,48.1968,30.8789,0.0815,0.0799,3603604650.4,1.5419,128.6232,6.0,2.0,63.8,55.8236
