date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-03-13,20.07,27.7496,38.2641,9.419,10.8486,0.3223,2.8437,766625089.41,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-49.68520873015873,26.992386451159,-19.074630158730155,39.697635228589135,-22.69282227899973,-58.772265387319294
2015-03-16,20.27,27.7496,36.8999,9.5129,10.8161,0.3255,2.811,774264602.01,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-49.53251587301587,27.26326855383185,-18.35937063492064,39.88888263626958,-22.26924731918402,-58.24825327119021
2015-03-17,20.43,27.7496,35.8277,9.5879,10.7356,0.3281,2.7783,780376212.09,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-49.3819503968254,27.5239972879182,-17.653323015873017,40.05541174419486,-21.8579531089072,-57.70873476006789
2015-03-18,20.91,27.7496,32.7097,9.8132,10.655,0.3358,2.7783,798711042.33,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-49.23853849206349,27.76249460296444,-16.975811904761905,40.18037951559063,-21.476043889099056,-57.156191420352535
2015-03-19,21.76,27.7496,27.5257,10.2121,10.6261,0.3494,2.7783,831178970.88,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-49.1054123015873,27.969049038412606,-16.344292063492066,40.2500277533193,-21.13636326317469,-56.59431981681136
2015-03-20,22.47,27.7496,23.4962,10.5453,10.5973,0.3608,2.7783,858299240.61,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.98327857142857,28.151186284531235,-15.74134523809524,40.2734765958373,-20.83209228689733,-56.014821833932544
2015-03-23,22.73,27.7496,22.0836,10.6674,10.6261,0.365,2.7783,868230606.99,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.863947619047615,28.3245217338673,-15.127155555555555,40.25539296864169,-20.539425885180314,-55.38254852419724
2015-03-24,22.6,27.7496,22.7858,10.6063,10.6063,0.3629,2.7783,863264923.8,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.7402259920635,28.500835102849543,-14.504851587301587,40.23040095584774,-20.23939088921396,-54.73525254314933
2015-03-25,22.65,27.7496,22.5148,10.6298,10.618,0.3637,2.7783,865174801.95,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.61512361111111,28.674764579308857,-13.886813492063492,40.19591935955358,-19.94035903180225,-54.08273285161707
2015-03-26,22.67,27.7496,22.4067,10.6392,10.6298,0.364,2.7783,865938753.21,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.48397896825397,28.847958347519043,-13.26542857142857,40.14657911974636,-19.63602062073493,-53.412007691174935
2015-03-27,22.56,27.7496,23.0035,10.5876,10.618,0.3623,2.7783,861737021.28,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.35250317460317,29.02228612560581,-12.637036507936507,40.08920260487821,-19.330217048997365,-52.72623911281472
2015-03-30,22.7,27.7496,22.2449,10.6533,10.6298,0.3645,2.7702,867084680.1,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.213811706349205,29.19214600358246,-12.014254761904764,40.01609049561057,-19.021665702766743,-52.030345257515336
2015-03-31,23.21,27.7496,19.5588,10.8926,10.6345,0.3727,2.762,886565437.23,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-48.07235694444445,29.34737062895266,-11.41279126984127,39.91566815259191,-18.72498631549179,-51.328459422433184
2015-04-01,23.86,27.7496,16.3018,11.1977,10.6392,0.3831,2.762,911393853.18,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.93207678571429,29.48571674765968,-10.839857936507936,39.7900774412945,-18.44636003805461,-50.62993537780244
2015-04-02,24.27,27.7496,14.337,11.3901,10.6462,0.3897,2.762,927054854.01,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.79625357142857,29.61454978927317,-10.293887301587302,39.65857200268102,-18.1817037821554,-49.95245930426832
2015-04-06,23.9,27.7496,16.1071,11.2164,10.6533,0.3838,2.762,912921755.7,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.65805615079365,29.74987899606182,-9.734534126984128,39.52872922759677,-17.908177154731828,-49.2632633545809
2015-04-07,23.96,27.7496,15.8164,11.2446,10.6542,0.3848,2.762,915213609.48,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.52043551587302,29.882727316221573,-9.190857936507935,39.404138242159966,-17.637708199651446,-48.5949961786679
2015-04-08,24.41,27.7496,13.6813,11.4558,10.655,0.392,2.762,932402512.83,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.38821805555556,30.00579537318395,-8.655486507936509,39.25149624493484,-17.382422682371605,-47.90698275287135
2015-04-09,24.68,27.7496,12.4376,11.5825,10.6612,0.3963,2.762,942715854.84,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.25239285714285,30.121367270208506,-8.132976190476189,39.08898133050676,-17.131025586934346,-47.22195752098294
2015-04-10,24.95,27.7496,11.2208,11.7092,10.6674,0.4006,2.762,953029196.85,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-47.11846845238095,30.23101585396036,-7.624581746031747,38.91910779574965,-16.88745259842059,-46.5436895417814
2015-04-13,24.94,27.7496,11.2654,11.7045,10.7418,0.4005,2.762,952647221.22,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-46.98445555555556,30.339846010473646,-7.119430158730159,38.746191477537,-16.64460954508191,-45.86562163626716
2015-04-14,25.19,27.7496,10.1612,11.8219,10.8161,0.4045,2.7538,962196611.97,-7.0,80.6819,1.0,1.0,-181.2,126.9899,-46.85015496031746,30.44272566942508,-6.6289428571428575,38.56886077459361,-16.407429290892388,-45.19780363173647
2015-04-15,25.32,27.7496,9.5956,10.7347,10.7754,0.4049,2.7456,967162295.16,-7.0327,81.8787,1.0,1.0,-181.2,127.6523,-46.71649781746032,30.542411955193245,-6.136801587301588,38.37510194058844,-16.17408586226707,-44.51190352789003
2015-04-16,24.74,27.7496,12.1649,10.4888,10.7347,0.3957,2.7447,945007708.62,-7.0327,81.8787,1.0,1.0,-181.2,127.6523,-46.57774285714286,30.65076706731076,-5.626457936507936,38.18555167205593,-15.9269757898321,-43.81200960856387
2015-04-17,24.2,27.7496,14.6678,10.2599,10.701,0.387,2.7439,924381024.6,-7.0327,81.8787,1.0,1.0,-181.2,127.6523,-46.43749265873016,30.768976531030784,-5.104496825396826,38.00808274392996,-15.66851612769938,-43.11257956932678
