date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2021-03-19,17.14,25.3333,47.8022,15.0787,18.4029,10.8462,11.6988,2290761000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,34.481316,10.525502429206568,34.481316,10.525502429206568,45.00681842920657,23.95581357079343
2021-03-22,16.5,25.3333,53.5352,14.5157,18.3512,10.4413,11.6688,2205225000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,35.214157692307694,10.968966857791964,35.214157692307694,10.968966857791964,46.183124550099656,24.24519083451573
2021-03-23,16.37,25.3333,54.7544,14.4013,18.3042,10.359,11.6388,2187850500.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,35.93787037037037,11.394390314361337,35.93787037037037,11.394390314361337,47.33226068473171,24.54348005600903
2021-03-24,16.07,25.3333,57.6434,14.1374,18.2571,10.1691,11.6238,2147755500.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,36.71306785714285,11.910063191394189,36.71306785714285,11.910063191394189,48.62313104853704,24.803004665748663
2021-03-25,16.21,25.3333,56.2819,14.2606,18.2336,10.2577,11.6088,2166466500.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,37.38785517241379,12.246972997368612,37.38785517241379,12.246972997368612,49.63482816978241,25.14088217504518
2021-03-26,17.0,25.3333,49.0194,14.9556,18.2101,10.7577,11.2758,2272050000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,37.77557333333333,12.219905759920303,37.77557333333333,12.219905759920303,49.99547909325364,25.555667573413032
2021-03-29,17.1,25.3333,48.148,15.0435,17.6878,10.8209,10.9429,2285415000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,38.11016774193549,12.158088508818242,38.11016774193549,12.158088508818242,50.26825625075372,25.95207923311724
2021-03-30,17.04,25.3333,48.6696,14.9908,17.1654,10.783,10.9399,2277396000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,38.44015,12.10517174194301,38.44015,12.10517174194301,50.54532174194301,26.334978258056992
2021-03-31,17.42,25.3333,45.4265,15.3251,17.1607,11.0234,10.9429,2328183000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,38.651857575757575,11.976436100031762,38.651857575757575,11.976436100031762,50.62829367578934,26.675421475725813
2021-04-01,17.16,25.3333,47.63,15.0963,17.156,10.8589,10.9399,2293434000.0,28.1715,49.7251,2.0,1.0,43.7591,39.7822,38.915920588235295,11.89366643156436,38.915920588235295,11.89366643156436,50.80958701979966,27.02225415667093
