date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-08,41.38,46.0,11.1648,49.0052,47.4248,14.2294,14.8958,15625667320.0,14.6849,12.6421,2.0,1.0,20.0,46.329
2002-03-11,41.56,46.0,10.6833,49.2184,47.4248,14.2913,14.8747,15693637840.0,14.6849,12.6421,2.0,2.0,21.5,46.329
2002-03-12,41.55,46.0,10.71,49.2065,47.4542,14.2878,14.8567,15689861700.0,14.6849,12.6421,2.0,2.0,21.5,46.329
2002-03-13,40.28,46.0,14.2006,47.7025,47.4542,13.8511,14.855,15210291920.0,14.6849,12.6421,2.0,2.0,21.5,46.329
2002-03-14,39.55,46.0,16.3085,46.838,47.4248,13.6001,14.8462,14934633700.0,14.6849,12.6421,2.0,2.0,21.5,46.329
2002-03-15,40.55,45.6667,12.6182,48.0223,47.4248,13.944,14.8276,15312247700.0,14.6849,12.6421,2.0,2.0,21.5,46.329
2002-03-18,40.96,45.6667,11.491,48.4447,47.3955,14.3168,14.7603,15467069440.0,14.6729,12.647,2.0,2.0,21.5,46.329
2002-03-19,41.4,46.3333,11.9162,49.0579,47.4248,14.6005,14.7517,15653174400.0,14.6954,12.6489,2.0,2.0,21.5,46.329
2002-03-20,39.61,46.3333,16.9737,46.754,47.3955,13.9693,14.7382,14976382560.0,14.6954,12.649,2.0,2.0,21.5,46.329
2002-03-21,39.5,46.3333,17.2995,46.6242,47.359,13.9262,14.7232,14934792000.0,14.747,12.6496,2.0,2.0,21.5,46.2173
2002-03-22,39.26,46.3333,18.0166,46.3409,47.3465,13.8416,14.7144,14844048960.0,14.747,12.6515,2.0,2.0,21.5,46.2173
2002-03-25,38.15,46.3333,21.4503,45.0307,47.3222,13.1648,14.701,14424362400.0,14.7133,12.6459,2.0,2.0,21.5,46.2173
2002-03-26,38.38,46.3333,20.7225,45.3343,47.3202,13.2442,14.6976,14511324480.0,14.7133,12.6458,2.0,2.0,21.5,46.2173
2002-03-27,38.32,46.3333,20.9115,45.2634,47.3152,13.2235,14.6942,14488638720.0,14.7133,12.6458,2.0,2.0,21.5,46.2173
2002-03-28,39.7,46.3333,16.7086,46.8271,47.2953,13.6997,14.6942,15010411200.0,14.7133,12.1113,3.0,3.0,20.3333,46.2173
2002-04-01,39.26,46.3333,18.0166,46.2154,47.2725,13.5479,14.6774,14844048960.0,14.692,12.1113,3.0,3.0,20.3333,46.2173
2002-04-02,38.79,46.3333,19.4465,45.6622,47.2723,13.3857,14.6607,14666343840.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-03,38.59,46.3333,20.0656,45.4267,47.2696,13.3167,14.6607,14590724640.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-04,38.6,46.3333,20.0345,45.4385,47.2669,13.3201,14.6599,14594505600.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-05,38.94,46.3333,18.9864,45.9415,47.262,13.4374,14.6599,14723058240.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-08,39.55,46.3333,17.1512,46.7439,47.1875,13.6479,14.6766,14953696800.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-09,39.4,46.3333,17.5972,46.5666,47.1178,13.5962,14.6591,14896982400.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-10,40.61,46.3333,14.0933,47.9967,47.1875,14.0137,14.6483,15354478560.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-11,39.96,46.3333,15.9492,47.2285,47.2428,13.7894,14.6483,15108716160.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-12,40.75,46.3333,13.7013,48.1622,47.2572,14.062,14.6483,15407412000.0,14.692,12.1198,3.0,3.0,20.3333,46.2173
2002-04-15,40.5,46.3333,14.4032,47.8497,47.2669,13.9758,14.6766,15312888000.0,14.692,12.1211,3.0,3.0,20.3333,46.2173
2002-04-16,41.36,46.3333,12.0244,48.8658,47.2669,14.2725,14.6591,15638050560.0,14.692,12.1211,3.0,3.0,20.3333,46.2173
2002-04-17,40.21,46.3333,15.2283,47.5071,47.2696,13.8757,14.6483,15203240160.0,14.692,9.6675,2.0,3.0,20.3333,46.2173
2002-04-18,40.0,46.3333,15.8333,47.259,47.2696,13.8032,14.6483,15123840000.0,14.692,9.6675,2.0,3.0,20.3333,46.2173
2002-04-19,39.27,46.75,19.0476,46.3527,47.2696,13.5932,14.6483,14847829920.0,14.6973,9.6713,2.0,3.0,20.3333,46.2173
