date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2022-03-17,32.45,45.5,40.2157,1298.0,1298.0,6.1603,9.4673,2793977450.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.692445238095235,25.2205241258646,54.882692857142864,18.12813812114713,45.91296936395983,36.75455473599573
2022-03-18,34.92,45.5,30.2978,1396.8,1347.4,6.6292,9.4548,3006646920.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.732069444444445,25.219894806802483,54.95865079365079,18.0035017549753,45.95196425124693,36.955149038675486
2022-03-21,35.05,45.5,29.8146,1402.0,1396.8,6.6538,9.4424,3017840050.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.778081547619045,25.215259278233617,55.00124126984127,17.936971105585318,45.99334082585266,37.06427016425594
2022-03-22,36.53,45.5,24.5552,1461.2,1399.4,6.9348,9.44,3145269530.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.79843670634921,25.214157133943058,55.00784523809524,17.92551262706248,46.01259384029227,37.08233261103276
2022-03-23,36.16,45.5,25.8296,1446.4,1402.0,6.8646,9.4376,3113412160.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.824339087301585,25.212603622431967,55.02794206349206,17.891063050957477,46.03694270973355,37.136879012534585
2022-03-24,36.5,45.5,24.6575,1460.0,1424.2,6.9291,9.4353,3142686500.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.846411507936505,25.21107715168115,55.04625396825397,17.858500230506017,46.05748865961765,37.187753737747954
2022-03-25,35.53,45.5,28.0608,1421.2,1421.2,6.745,9.433,3059168530.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.87584861111112,25.21082154027641,55.08237222222222,17.798710637363076,46.08667015138752,37.283661584859146
2022-03-28,36.48,45.5,24.7259,1459.2,1433.8,6.9253,9.4064,3140964480.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.86972599206349,25.209508442503672,55.0669,17.824430810754077,46.07923443456716,37.24246918924592
2022-03-29,37.89,45.5,20.0845,1515.6,1446.4,7.193,9.4014,3262366890.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.86526488095238,25.209447942337672,54.96273492063492,17.990761674167388,46.07471282329006,36.971973246467535
2022-03-30,35.33,45.5,28.7857,1413.2,1433.8,6.707,9.4012,3041948330.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.881579563492064,25.211912573555,54.91545158730159,18.05205188443122,46.09349213704706,36.86339970287037
2022-03-31,34.19,45.5,33.0798,1367.6,1421.2,6.4906,9.3994,2943793190.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.88379742063492,25.212938385467844,54.87307380952381,18.09729744169852,46.09673580610277,36.77577636782529
2022-04-01,34.22,45.5,32.9632,1368.8,1417.2,6.4963,9.396,2946376220.0,16.8668,10.7853,5.0,1.0,49.2,158.2135,20.883312301587303,25.212703142456395,54.8526253968254,18.12075768367728,46.0960154440437,36.73186771314812
2022-04-04,36.6,45.5,24.3169,1464.0,1421.2,6.9481,9.3882,3151296600.0,16.866,10.7853,5.0,1.0,49.2,158.2135,20.852028174603177,25.1986093800099,54.68963095238095,18.302862492650533,46.05063755461308,36.38676845973042
