date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2005-01-27,14.27,16.625,16.5032,20.9853,26.4795,3.8315,3.3588,384933250.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-01-28,14.38,16.625,15.612,21.1471,26.4754,3.861,3.3686,387900500.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-01-31,14.53,16.625,14.4184,21.3676,26.3839,3.9013,3.3693,391946750.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-02-01,13.42,16.625,23.8823,19.7353,26.3616,3.6032,3.37,362004500.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-02-02,13.32,16.625,24.8123,19.5882,26.3393,3.5764,3.3748,359307000.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-02-03,13.79,16.625,20.5584,20.2794,26.3393,3.7026,3.3797,371985250.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-02-04,13.87,16.625,19.863,20.3971,26.3143,3.7241,3.3812,374143250.0,18.8857,780.5556,2.0,1.0,35.0,60.5556
2005-02-07,13.46,16.625,23.5141,19.7941,26.1161,3.7097,3.3828,363083500.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-08,13.67,16.625,21.6167,20.1029,26.105,3.7676,3.3902,368748250.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-09,13.87,16.625,19.863,20.3971,26.0938,3.8227,3.3976,374143250.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-10,13.97,16.625,19.005,20.5441,26.0551,3.8503,3.3978,376840750.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-11,13.74,16.625,20.9971,20.2059,26.0268,3.7869,3.398,370636500.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-14,13.78,16.625,20.6459,20.2647,26.0,3.7979,3.405,371715500.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-15,13.8,16.625,20.471,20.2941,25.991,3.8034,3.412,372255000.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-16,13.77,16.625,20.7335,20.25,25.9821,3.7952,3.4138,371445750.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-17,13.6,16.625,22.2426,20.0,25.9565,3.7483,3.4156,366860000.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-18,13.65,16.625,21.7949,20.0735,25.9067,3.7621,3.4158,368208750.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-22,13.29,16.625,25.0941,19.5441,25.837,3.6629,3.4159,358497750.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-23,13.5,16.625,23.1481,19.8529,25.7812,3.7208,3.4159,364162500.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-24,13.42,16.625,23.8823,19.7353,25.7812,3.6987,3.4159,362004500.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-25,13.61,16.625,22.1528,20.0147,25.7812,3.7511,3.4159,367129750.0,18.6969,780.5556,2.0,1.0,35.0,60.5556
2005-02-28,13.55,16.625,22.6937,19.9265,25.7431,3.7345,3.4158,365511250.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-01,13.79,16.625,20.5584,20.2794,25.7336,3.8007,3.4159,371985250.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-02,13.98,16.625,18.9199,20.5588,25.7241,3.853,3.4159,377110500.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-03,13.7,16.625,21.3504,20.1471,25.7143,3.7759,3.4159,369557500.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-04,13.89,16.625,19.6904,20.4265,25.6929,3.8282,3.4159,374682750.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-07,13.92,16.625,19.4325,20.4706,25.6696,3.8365,3.4158,375492000.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-08,13.6,16.625,22.2426,20.0,25.6696,3.7483,3.4159,366860000.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-09,13.72,16.625,21.1735,20.1765,25.6696,3.7814,3.4159,370097000.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-10,13.8,16.625,20.471,20.2941,25.6696,3.8034,3.4159,372255000.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-11,13.87,16.625,19.863,20.3971,25.6366,3.8227,3.4159,374143250.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-14,13.97,16.625,19.005,20.5441,25.558,3.8503,3.4158,376840750.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-15,13.93,16.625,19.3467,20.4853,25.558,3.8393,3.4159,375761750.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-16,13.67,16.625,21.6167,20.1029,25.558,3.7676,3.4159,368748250.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-17,13.92,16.625,19.4325,20.4706,25.5476,3.8365,3.4159,375492000.0,18.6969,749.2754,2.0,1.0,35.0,60.5556
2005-03-18,13.25,16.3,23.0189,19.4853,25.4972,3.6519,3.4159,357418750.0,18.6951,736.8142,2.0,1.0,35.0,60.5556
