date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-04-29,44.67,47.333,5.9615,23.4279,21.4608,2.9773,2.4905,125210010000.0,4.4905,10.3768,2.0,2.0,10.0,-41.7303,7.235883505154639,5.6141752866525465,9.340329365079365,3.9319343787213454,12.850058791807186,5.408394986358019
2002-04-30,44.79,47.333,5.6776,23.5242,21.4641,2.9918,2.4912,125922606000.0,4.4894,9.1577,3.0,2.0,10.0,-41.7303,7.227892307692308,5.600798854903188,9.329238888888888,3.9403369056561113,12.828691162595495,5.388901983232777
2002-05-01,45.56,47.333,3.8916,23.9286,21.4689,3.0432,2.492,128087384000.0,4.4894,9.1577,3.0,2.0,10.0,-41.7303,7.210870408163266,5.591499928150269,9.279473809523807,3.9692258639926994,12.802370336313537,5.310247945531108
2002-05-02,46.27,47.333,2.2974,24.3015,21.4689,3.0906,2.492,130083478000.0,4.4894,9.1577,3.0,2.0,10.0,-41.7303,7.185928934010152,5.588193446137534,9.210226984126985,4.014425262802392,12.774122380147686,5.195801721324593
2002-05-03,45.63,47.333,3.7322,23.8464,21.4689,3.0657,2.492,128284182000.0,4.4965,9.1589,3.0,2.0,10.0,-41.7303,7.168485858585859,5.579393547371324,9.14755476190476,4.037935284842634,12.747879405957182,5.109619477062127
2002-05-06,45.76,47.333,3.4375,23.9143,21.4608,3.0744,2.4905,128649664000.0,4.4965,9.1589,3.0,2.0,10.0,-41.7303,7.149737185929649,5.57156737584315,9.108151587301586,4.06936738318347,12.7213045617728,5.038784204118117
2002-05-07,45.49,47.333,4.0514,23.7732,21.4641,3.0563,2.4912,127890586000.0,4.4965,9.1589,3.0,2.0,10.0,-41.7303,7.1342455,5.561867466612322,9.073849206349209,4.0937529263549095,12.696112966612322,4.980096279994298
2002-05-08,45.56,47.333,3.8916,23.8098,21.4689,3.061,2.492,128087384000.0,4.4965,9.1589,3.0,2.0,10.0,-41.7303,7.118112935323383,5.552657927140105,9.04864126984127,4.115923260436618,12.670770862463488,4.932718009404652
2002-05-09,45.69,47.333,3.596,23.8777,21.4689,3.0697,2.492,128452866000.0,4.4965,9.1589,3.0,2.0,10.0,-41.7303,7.100676732673268,5.544369147691544,9.032721428571428,4.133204445514057,12.645045880364812,4.899516983057371
2002-05-10,45.86,47.333,3.2119,23.9666,21.4689,3.0811,2.492,128930804000.0,4.4965,9.1589,3.0,2.0,10.0,-41.7303,7.081520197044336,5.537359151554371,9.014834126984129,4.153591582602465,12.618879348598709,4.861242544381661
