date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-10-13,81.65,105.0,28.5977,16.9673,21.4966,0.7215,0.7694,5593025000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-16,82.59,105.0,27.134,17.1626,21.4817,0.7298,0.7696,5657415000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-17,82.68,105.0,26.9956,17.1813,21.4796,0.7306,0.7695,5663580000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-18,82.27,105.0,27.6285,17.0961,21.4774,0.7269,0.7694,5635495000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-19,81.76,105.0,28.4247,16.9902,21.4774,0.7224,0.7694,5600560000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-20,81.62,105.0,28.6449,16.9611,21.4774,0.7212,0.7694,5590970000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-23,80.62,105.0,30.2406,16.7533,21.4796,0.7124,0.7695,5522470000.0,11.5711,69.0786,5.0,1.0,6.0,2198.0574
2023-10-24,80.91,104.1111,28.6752,16.8485,21.4796,0.7154,0.7695,5542335000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-10-25,81.38,104.1111,27.932,16.9464,21.4774,0.7195,0.7694,5574530000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-10-26,80.78,104.1111,28.8823,16.8215,21.4774,0.7142,0.7694,5533430000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-10-27,80.64,104.1111,29.106,16.7923,21.4774,0.713,0.7694,5523840000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-10-30,80.74,104.1111,28.9461,16.8131,21.4817,0.7139,0.7696,5530690000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-10-31,80.28,104.1111,29.685,16.7173,21.4796,0.7098,0.7695,5499180000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-11-01,80.1,104.1111,29.9764,16.6799,21.4774,0.7082,0.7694,5486850000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-11-02,82.54,104.1111,26.1341,17.188,21.4774,0.7298,0.7694,5653990000.0,11.5691,69.078,5.0,1.0,6.0,2198.0574
2023-11-03,84.17,104.1111,23.6915,17.3858,21.4774,0.7438,0.7694,5765645000.0,11.5339,70.3131,5.0,1.0,6.0,2198.0574
2023-11-06,83.24,104.1111,25.0734,16.8304,21.4817,0.7356,0.7696,5701940000.0,11.5339,72.2129,5.0,1.0,6.0,2198.0574
2023-11-07,84.14,104.1111,23.7356,17.0124,21.4796,0.7435,0.7695,5763590000.0,11.5339,72.2129,5.0,1.0,6.0,2198.0574
2023-11-08,84.01,104.1111,23.927,16.9861,21.4774,0.7424,0.7694,5754685000.0,11.5339,72.2129,5.0,1.0,6.0,2198.0574
2023-11-09,84.09,104.1111,23.8091,17.0023,21.4774,0.7431,0.7694,5760165000.0,11.5339,72.2129,5.0,1.0,6.0,2198.0574
2023-11-10,84.1,104.1111,23.7944,17.0043,21.4774,0.7432,0.7694,5760850000.0,11.5339,72.2129,5.0,1.0,6.0,2198.0574
2023-11-13,84.45,104.1111,23.2813,17.0751,21.4817,0.7463,0.7696,5784825000.0,11.5339,72.2129,5.0,1.0,6.0,2198.0574
2023-11-14,85.97,104.1111,21.1017,17.3821,21.4796,0.7597,0.7695,5888945000.0,11.5339,72.2181,5.0,1.0,6.0,2198.0574
2023-11-15,85.5,104.1111,21.7674,17.287,21.4774,0.7556,0.7694,5856750000.0,11.5339,72.2181,5.0,1.0,6.0,2198.0574
2023-11-16,85.39,104.1111,21.9242,17.2648,21.4774,0.7491,0.7694,5806520000.0,11.5339,72.2181,5.0,1.0,6.0,2198.0574
2023-11-17,84.21,104.7778,24.4244,14.7017,21.4774,0.7189,0.7694,5726280000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-20,86.17,104.7778,21.5943,15.0439,21.4796,0.7356,0.7695,5859560000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-21,85.91,104.7778,21.9623,14.9985,21.4774,0.7334,0.7694,5841880000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-22,86.57,104.7778,21.0325,15.1137,21.4633,0.7391,0.7692,5886760000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-24,87.03,104.7778,20.3927,15.1941,21.4774,0.743,0.769,5918040000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-27,87.17,104.7778,20.1994,15.2185,21.4796,0.7442,0.7689,5927560000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-28,85.62,104.7778,22.3754,14.9479,21.4774,0.7309,0.7684,5822160000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-29,84.43,104.7778,24.1002,14.7401,21.4633,0.7208,0.7679,5741240000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-11-30,85.43,104.7778,22.6475,14.9147,21.4633,0.7293,0.7679,5809240000.0,4.6473,6.9898,3.0,1.0,6.0,6.006
2023-12-01,85.53,104.7778,22.5042,14.9322,21.4633,0.7254,0.7679,5816040000.0,4.668,6.9898,3.0,1.0,6.0,6.006
2023-12-04,87.4,104.7778,19.8831,15.1979,21.4796,0.7413,0.7689,5943200000.0,4.668,6.9738,3.0,1.0,6.0,6.006
2023-12-05,87.41,104.7778,19.8694,15.1996,21.4774,0.7413,0.7684,5943880000.0,4.668,6.9738,3.0,1.0,6.0,6.006
2023-12-06,87.42,104.7778,19.8556,15.2393,21.4633,0.738,0.7679,5944560000.0,4.684,6.9706,3.0,1.0,6.0,6.006
2023-12-07,88.06,104.7778,18.9846,15.3508,21.4633,0.7434,0.7679,5988080000.0,4.684,6.9706,3.0,1.0,6.0,6.006
2023-12-08,86.66,104.1,20.1246,15.1835,21.4633,0.7293,0.7679,5892880000.0,5.3622,7.3059,5.0,1.0,4.0,9.0244
2023-12-11,87.39,104.1,19.1212,15.3114,21.4796,0.7354,0.7689,5942520000.0,5.3622,7.3059,5.0,1.0,4.0,9.0244
2023-12-12,87.84,104.1,18.5109,15.3903,21.4774,0.7392,0.7684,5973120000.0,5.3622,7.3059,5.0,1.0,4.0,9.0244
2023-12-13,90.19,104.1,15.423,15.6852,21.4633,0.7558,0.7679,6132920000.0,5.3802,7.2479,5.0,1.0,4.0,9.0244
2023-12-14,88.88,104.1,17.1242,15.4574,21.4492,0.7448,0.7677,6043840000.0,5.3802,7.2479,5.0,1.0,4.0,9.0244
2023-12-15,87.13,103.3,18.5585,15.1296,21.4492,0.7302,0.7677,5924840000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
2023-12-18,88.24,103.3,17.0671,15.3224,21.4774,0.7395,0.7684,6000320000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
2023-12-19,88.54,103.3,16.6704,15.3745,21.4633,0.742,0.7679,6020720000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
2023-12-20,87.15,103.3,18.5313,15.1331,21.4492,0.7303,0.7677,5926200000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
2023-12-21,88.2,103.3,17.1202,15.3154,21.4492,0.7391,0.7677,5997600000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
2023-12-22,88.74,103.3,16.4075,15.4092,21.4492,0.7437,0.7677,6034320000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
2023-12-26,88.72,103.3,16.4337,15.4057,21.4774,0.7435,0.7684,6032960000.0,5.3802,7.2494,5.0,1.0,4.0,9.0244
