date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-11-13,23.74,37.5,57.9612,6.8464,10.9552,0.1807,0.309,1580033101.42,4.7948,81.1392,1.0,1.0,8.0,6.7008,13.939264285714286,9.831640522313377,20.33084365079365,13.865372072327489,23.77090480802766,6.465471578466161
2007-11-14,24.1,38.1429,58.2693,7.0181,10.9547,0.1829,0.3088,1603993165.3,4.8001,74.464,1.0,1.0,8.0,8.1726,14.003258333333331,10.01368789061583,20.716287301587304,14.237621242839593,24.01694622394916,6.478666058747713
2007-11-15,23.73,38.1429,60.737,6.9103,10.9547,0.1801,0.3085,1579367544.09,4.8001,74.464,1.0,1.0,8.0,8.1726,14.07528015873016,10.217353467652256,21.125135714285715,14.638910246296136,24.29263362638242,6.486225467989579
2007-11-16,24.03,38.1429,58.7303,6.9977,10.9547,0.1823,0.3084,1599334263.99,4.8001,74.464,1.0,1.0,8.0,8.1726,14.144739285714286,10.40042260210565,21.52042857142857,14.975390309330066,24.545161887819937,6.545038262098505
2007-11-19,24.0,38.1429,58.9287,6.9889,10.9552,0.1821,0.3082,1597337592.0,4.8001,74.464,1.0,1.0,8.0,8.1726,14.210041666666667,10.576937799555978,21.91658571428572,15.29861571886666,24.786979466222647,6.6179699954190525
2007-11-20,23.86,38.1429,59.8613,6.9482,10.9547,0.181,0.3082,1588019789.38,4.8001,74.464,1.0,1.0,8.0,8.1726,14.280087896825398,10.760902809922818,22.304720634920635,15.63499845991328,25.04099070674821,6.669722175007356
2007-11-21,23.97,38.1429,59.1277,6.9802,10.9541,0.1819,0.3082,1595340920.01,4.8001,74.464,1.0,1.0,8.0,8.1726,14.3448875,10.931426915371386,22.6685,15.953599344238272,25.276314415371388,6.714900655761726
2007-11-23,24.5,38.1429,55.6853,7.1345,10.9547,0.1859,0.3077,1630615458.5,4.8001,74.464,1.0,1.0,8.0,8.1726,14.402528968253968,11.072045679074716,23.01181031746032,16.1950760995993,25.474574647328687,6.816734217861015
2007-11-26,24.26,38.1429,57.2255,7.0646,10.9572,0.1841,0.307,1614642082.58,4.8001,74.464,1.0,1.0,8.0,8.1726,14.470172619047618,11.228526773256496,23.37010634920635,16.448698990423505,25.69869939230412,6.921407358782844
2007-11-27,24.38,38.1429,56.4516,7.0996,10.9552,0.185,0.3067,1622628770.54,4.8001,74.464,1.0,1.0,8.0,8.1726,14.537823611111111,11.37784997276732,23.716719841269843,16.68221170351231,25.91567358387843,7.034508137757534
2007-11-28,25.14,38.1429,51.722,7.3209,10.9547,0.1908,0.3066,1673211127.62,4.8001,74.464,1.0,1.0,8.0,8.1726,14.598368452380951,11.49400687767294,24.02605,16.83779436527599,26.09237533005389,7.188255634724012
2007-11-29,25.64,38.1429,48.7633,7.4665,10.9547,0.1945,0.3066,1706488994.12,4.8001,74.464,1.0,1.0,8.0,8.1726,14.654389285714286,11.591362764677424,24.31618333333333,16.947103189639222,26.245752050391708,7.369080143694113
2007-11-30,26.08,38.1429,46.2535,7.5946,10.9547,0.1979,0.3064,1735773516.64,4.8001,74.464,1.0,1.0,8.0,8.1726,14.70572757936508,11.673773831492554,24.58639761904762,17.02373396440376,26.379501410857635,7.56266365464386
2007-12-03,25.96,38.1429,46.9295,7.5597,10.9572,0.197,0.3058,1727786828.68,4.8001,74.464,1.0,1.0,8.0,8.1726,14.75698888888889,11.75829882381693,24.84744523809524,17.112635884887432,26.51528771270582,7.734809353207805
2007-12-04,27.02,38.1429,41.1654,7.8684,10.9552,0.205,0.3057,1798335905.66,4.8001,74.464,1.0,1.0,8.0,8.1726,14.804657738095235,11.816535500035457,25.054642063492064,17.151170986618272,26.621193238130694,7.903471076873792
2007-12-05,27.13,38.1429,40.5931,7.9004,10.9547,0.2059,0.3056,1805657036.29,4.8001,74.464,1.0,1.0,8.0,8.1726,14.849349801587302,11.871372658020908,25.22873492063492,17.196984246516326,26.72072245960821,8.031750674118594
2007-12-06,28.34,38.1429,34.5903,8.2528,10.9547,0.215,0.3054,1886189473.22,4.8001,74.464,1.0,1.0,8.0,8.1726,14.880333531746032,11.90249796476351,25.356026984126984,17.20652090795074,26.782831496509544,8.149506076176245
2007-12-07,28.74,38.1429,32.7171,8.3692,10.9547,0.2181,0.305,1912811766.42,4.8001,74.464,1.0,1.0,8.0,8.1726,14.906435119047618,11.927183569655966,25.481159523809524,17.202233139497572,26.833618688703584,8.278926384311951
2007-12-10,28.54,38.1429,33.6472,8.311,10.9572,0.2166,0.3042,1899500619.82,4.8001,74.464,1.0,1.0,8.0,8.1726,14.937559722222222,11.955602793900091,25.60736349206349,17.20335782441371,26.89316251612232,8.404005667649784
2007-12-11,28.39,38.1429,34.3533,8.2673,10.9552,0.2154,0.3041,1889517259.87,4.8001,74.464,1.0,1.0,8.0,8.1726,14.971219642857143,11.986359066955206,25.75891031746032,17.195566089644522,26.95757870981235,8.563344227815794
2007-12-12,27.75,38.1429,37.4519,8.081,10.9547,0.2106,0.304,1846921590.75,4.8001,74.464,1.0,1.0,8.0,8.1726,15.01137996031746,12.027715781446604,25.94396111111111,17.194939782366077,27.039095741764065,8.749021328745034
2007-12-13,28.24,38.1429,35.0669,8.2236,10.9541,0.2143,0.3038,1879533899.92,4.8001,74.464,1.0,1.0,8.0,15.141,15.044964682539682,12.06005822357614,26.14210158730159,17.154715382905,27.10502290611582,8.98738620439659
2007-12-14,27.58,36.1429,31.0475,8.5387,10.9541,0.2093,0.3038,1835607116.14,4.8001,73.589,1.0,1.0,8.0,15.141,15.074163293650797,12.080975442343671,26.31641507936508,17.091468761461396,27.155138735994463,9.224946317903685
2007-12-17,26.92,36.1429,34.2604,8.3344,10.9385,0.2043,0.3031,1791680332.36,4.8001,73.589,1.0,1.0,8.0,15.141,15.115414087301588,12.110944596003042,26.51315873015873,17.03860079156863,27.226358683304632,9.4745579385901
2007-12-18,27.28,36.1429,32.4886,8.4458,10.937,0.207,0.3031,1815640396.24,4.8001,73.589,1.0,1.0,8.0,15.141,15.158617063492065,12.134028806992877,26.69796746031746,16.97550944063042,27.29264587048494,9.72245801968704
2007-12-19,27.63,36.1429,30.8104,8.5542,10.937,0.2096,0.3031,1838934902.79,4.8001,73.589,1.0,1.0,8.0,15.141,15.194398611111112,12.153564306835088,26.888142857142856,16.885339415563685,27.3479629179462,10.002803441579172
2007-12-20,28.29,36.1429,27.7586,8.7585,10.937,0.2147,0.303,1882861686.57,4.8001,73.589,1.0,1.0,8.0,15.141,15.226508928571429,12.165355880930145,27.0375753968254,16.808280982695102,27.39186480950157,10.229294414130294
2007-12-21,28.08,36.1429,28.714,8.6935,10.937,0.2131,0.303,1868884982.64,4.8001,73.589,1.0,1.0,8.0,15.141,15.259039087301588,12.179477394607924,27.19183492063492,16.73300293918491,27.43851648190952,10.458831981450013
2007-12-24,28.73,36.1429,25.8019,8.8947,10.934,0.218,0.3029,1912146209.09,4.8001,73.589,1.0,1.0,8.0,15.141,15.284687698412698,12.18805517396055,27.31904920634921,16.66028737516251,27.47274287237325,10.658761831186697
2007-12-26,29.01,36.1429,24.5877,8.9814,10.9309,0.2201,0.3028,1930781814.33,4.8001,73.589,1.0,1.0,8.0,15.141,15.307141468253969,12.194760430595142,27.44650873015873,16.576597760076194,27.50190189884911,10.869910970082536
2007-12-27,28.74,36.1429,25.7582,8.8978,10.9278,0.2181,0.3028,1912811766.42,4.8001,73.589,1.0,1.0,8.0,15.141,15.334899603174604,12.202608575902929,27.58393888888889,16.489329502099093,27.53750817907753,11.0946093867898
2007-12-28,29.08,36.1429,24.2878,9.0031,10.9246,0.2207,0.3026,1935440715.64,4.8001,73.589,1.0,1.0,8.0,15.141,15.356955357142857,12.208735328491816,27.70003492063492,16.413442382648768,27.56569068563467,11.286592537986149
2007-12-31,28.95,36.1429,24.8459,8.9628,10.9094,0.2197,0.3024,1926788470.35,4.8001,73.589,1.0,1.0,8.0,15.141,15.376452579365075,12.216039328099727,27.84815793650794,16.301535960939894,27.592491907464805,11.546621975568044
2008-01-02,28.3,36.1429,27.7134,8.7616,10.8997,0.2147,0.3024,1883527243.9,4.8001,72.618,1.0,1.0,8.0,15.141,15.40204503968254,12.228365323225573,28.02645555555556,16.174733454736398,27.630410362908115,11.851722100819156
2008-01-03,25.76,35.4286,37.5334,8.1262,10.8899,0.1944,0.3024,1714475682.08,4.8104,70.2974,1.0,1.0,8.0,15.141,15.443068253968256,12.267875565009328,28.267288095238097,16.087660825134808,27.710943818977583,12.179627270103287
2008-01-04,24.79,35.4286,42.9149,7.8202,10.8858,0.187,0.3023,1649916621.07,4.8104,70.2974,1.0,1.0,8.0,15.141,15.486046428571427,12.326077721609268,28.552787301587305,16.025259621195456,27.812124150180697,12.527527680391849
2008-01-07,25.69,35.4286,37.9081,8.1041,10.8733,0.1938,0.3021,1709816780.77,4.8104,70.2974,1.0,1.0,8.0,15.141,15.523650793650791,12.365530495699687,28.78956507936508,15.940439003918646,27.88918128935048,12.84912607544643
2008-01-08,25.31,35.4286,39.9787,7.9842,10.871,0.191,0.302,1684525602.23,4.8104,70.2974,1.0,1.0,8.0,15.141,15.572018253968254,12.413418280319537,29.02675873015873,15.882246594032068,27.98543653428779,13.14451213612666
2008-01-09,25.78,35.4286,37.4267,8.1325,10.8698,0.1945,0.3019,1715806796.74,4.8104,70.2974,1.0,1.0,8.0,15.141,15.616608333333335,12.451496175282378,29.236982539682536,15.816074119285506,28.06810450861571,13.42090842039703
2008-01-10,25.6,35.4286,38.393,8.0757,10.8682,0.1931,0.3019,1703826764.8,4.8104,70.2974,1.0,1.0,8.0,15.141,15.663115674603176,12.492720082404336,29.47226031746032,15.729102837439038,28.155835757007512,13.74315748002128
2008-01-11,25.15,35.4286,40.8692,7.9338,10.864,0.1897,0.3019,1673876684.95,4.8104,70.2974,1.0,1.0,8.0,15.141,15.70948115079365,12.542818677094203,29.73803968253968,15.63548540673339,28.252299827887853,14.102554275806291
2008-01-14,24.68,35.4286,43.5519,7.5706,10.8567,0.1862,0.3017,1642595490.44,4.8104,66.4022,1.0,1.0,8.0,15.141,15.762145436507936,12.60386119834932,30.011336507936505,15.572980251836723,28.366006634857257,14.43835625609978
2008-01-15,24.15,35.4286,46.7023,7.408,10.8563,0.1822,0.3017,1607320951.95,4.8104,66.4022,1.0,1.0,8.0,15.141,15.821501388888889,12.678914250884828,30.320999206349203,15.513283599813404,28.50041563977372,14.8077156065358
2008-01-16,23.92,35.4286,48.1129,7.3374,10.8563,0.1805,0.3017,1592013133.36,4.8104,66.4022,1.0,1.0,8.0,15.141,15.88496865079365,12.760238145789671,30.636992063492062,15.466530354127157,28.645206796583324,15.170461709364908
2008-01-17,23.775,35.4286,49.0162,7.2929,10.8563,0.1782,0.3017,1582362552.075,4.8215,66.4022,1.0,1.0,8.0,15.141,15.94369623015873,12.844363606257309,30.963476984126984,15.416390794154973,28.78805983641604,15.547086189972012
2008-01-18,23.46,35.4286,51.0171,7.1963,10.8561,0.1758,0.3016,1561397496.18,4.8215,66.4022,1.0,1.0,8.0,15.141,16.003977182539682,12.937383258994632,31.29034047619048,15.401375909325395,28.941360441534314,15.88896456686508
2008-01-22,23.75,35.4286,49.1731,7.2853,10.8494,0.178,0.3012,1580698658.75,4.8215,67.4095,1.0,1.0,8.0,15.141,16.060880753968252,13.019977889101446,31.60734603174603,15.354683336132474,29.080858643069696,16.252662695613555
2008-01-23,26.15,35.4286,35.4822,8.189,10.8471,0.1964,0.3011,1740432417.95,4.8126,71.9564,1.0,1.0,8.0,15.141,16.089490277777777,13.046805593578265,31.781035714285714,15.272888161180074,29.13629587135604,16.50814755310564
2008-01-24,25.02,35.4286,41.6011,7.8352,10.8448,0.1879,0.3007,1665224439.66,4.8126,71.9564,1.0,1.0,8.0,15.141,16.146128571428573,13.095477893546878,32.03720396825397,15.1635039280789,29.24160646497545,16.873700040175066
2008-01-25,24.37,35.4286,45.3779,7.6316,10.8416,0.183,0.3006,1621963213.21,4.8126,71.9564,1.0,1.0,8.0,15.141,16.206310912698413,13.159950841000688,32.31133412698413,15.089217230603651,29.3662617536991,17.222116896380477
