date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2018-10-17,18.18,21.6667,19.1788,9.2458,9.038,0.8833,0.8148,1579442040.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-18,17.58,21.6667,23.2463,8.9406,9.0183,0.8542,0.8154,1527315240.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-19,17.03,21.6667,27.2267,8.6609,9.0171,0.8274,0.8156,1479532340.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-22,16.61,21.6667,30.4437,8.4473,9.0159,0.807,0.8154,1443043580.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-23,15.99,21.6667,35.5016,8.132,9.0154,0.7769,0.8148,1389179220.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-24,15.1,21.6667,43.4881,7.6794,9.0148,0.7337,0.8141,1311857800.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-25,15.94,21.6667,35.9266,8.1066,9.0145,0.7745,0.8135,1384835320.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-26,16.79,21.6667,29.0453,8.5389,9.0142,0.8158,0.8141,1458681620.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-29,16.36,21.6667,32.437,8.3202,9.0126,0.7949,0.8135,1421324080.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-30,17.48,21.6667,23.9514,8.8898,9.011,0.8493,0.8141,1518627440.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-10-31,17.65,21.6667,22.7575,8.9762,9.01,0.8576,0.8148,1533396700.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
2018-11-01,17.79,21.6667,21.7915,9.0474,9.011,0.8644,0.8154,1545559620.0,29.3609,48.2515,10.0,1.0,69.478,42.6948
