date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-01-11,15.49,19.5167,25.9955,13.3834,15.122,0.6535,0.9588,1211410940.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,49.90509010989011,28.390787881322257,49.90509010989011,28.390787881322257,78.29587799121236,21.514302228567853
2002-01-14,15.48,19.5167,26.0769,13.3748,15.1205,0.6531,0.9588,1210628880.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,49.64608804347826,28.343444380411142,49.64608804347826,28.343444380411142,77.9895324238894,21.302643663067112
2002-01-15,15.31,19.5167,27.4768,13.2279,15.0964,0.6459,0.9587,1197333860.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,49.40770860215054,28.2825647264032,49.40770860215054,28.2825647264032,77.69027332855374,21.125143875747344
2002-01-16,14.55,19.5167,34.1354,12.5713,15.0722,0.6138,0.9574,1137897300.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,49.24523723404256,28.174166674848568,49.24523723404256,28.174166674848568,77.41940390889113,21.071070559193988
2002-01-17,14.8,19.5167,31.8696,12.7873,15.0722,0.6244,0.9561,1157448800.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,49.062335789473686,28.08054824728441,49.062335789473686,28.08054824728441,77.14288403675809,20.98178754218928
2002-01-18,14.27,19.5167,36.7673,12.3294,15.0722,0.602,0.9554,1115999620.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,48.9342625,27.960537809560147,48.9342625,27.960537809560147,76.89480030956014,20.973724690439848
2002-01-22,13.6,19.5167,43.5051,11.7505,15.0722,0.5737,0.9534,1063601600.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,48.87829175257732,27.8199907549547,48.87829175257732,27.8199907549547,76.69828250753201,21.05830099762262
2002-01-23,13.01,19.5167,50.0131,11.2407,15.065,0.5488,0.9523,1017460060.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,48.88987142857143,27.6764546302262,48.88987142857143,27.6764546302262,76.56632605879763,21.213416798345232
2002-01-24,13.88,19.5167,40.6102,11.9924,15.0579,0.5856,0.952,1085499280.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,48.806238383838384,27.547457412957662,48.806238383838384,27.547457412957662,76.35369579679605,21.25878097088072
2002-01-25,13.67,19.5167,42.7703,11.811,15.0386,0.5767,0.9517,1069076020.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,48.745879,27.41462125531894,48.745879,27.41462125531894,76.16050025531894,21.33125774468106
2002-01-28,13.75,19.5167,41.9396,11.8801,15.0076,0.5801,0.9513,1075332500.0,3.5299,2.6339,3.0,1.0,15.0,9.7224,48.6784900990099,27.28560997391301,48.6784900990099,27.28560997391301,75.96410007292292,21.392880125096887
2002-01-29,13.44,19.5167,45.2135,11.6233,14.9958,0.567,0.9509,1051088640.0,3.5299,2.6419,3.0,1.0,15.0,9.7224,48.64451960784314,27.152364303418448,48.64451960784314,27.152364303418448,75.79688391126159,21.49215530442469
2002-01-30,13.84,19.5167,41.0166,11.9692,14.9956,0.5839,0.9482,1082371040.0,3.5299,2.6419,3.0,1.0,15.0,9.7224,48.57046213592233,27.02938848425121,48.57046213592233,27.02938848425121,75.59985062017354,21.54107365167112
2002-01-31,13.25,19.5167,47.2958,11.459,14.9955,0.559,0.9455,1036229500.0,3.5299,2.6419,3.0,1.0,15.0,9.7224,48.55820576923077,26.898148239536543,48.55820576923077,26.898148239536543,75.4563540087673,21.66005752969422
2002-02-01,13.42,19.5167,45.43,11.606,14.9904,0.5661,0.9446,1049524520.0,3.5299,2.6419,3.0,1.0,15.0,9.7224,48.52841333333333,26.770258590857114,48.52841333333333,26.770258590857114,75.29867192419044,21.75815474247622
2002-02-04,12.99,19.5167,50.244,11.4459,14.9854,0.548,0.9438,1015895940.0,3.5299,2.9473,3.0,1.0,15.0,9.7224,48.54459811320754,26.642997284811496,48.54459811320754,26.642997284811496,75.18759539801904,21.901600828396045
2002-02-05,12.38,19.5167,57.647,10.9085,14.9793,0.5223,0.9434,968190280.0,3.5299,2.9473,3.0,1.0,15.0,9.7224,48.62966728971962,26.53162163534468,48.62966728971962,26.53162163534468,75.1612889250643,22.098045654374943
2002-02-06,11.7,19.5167,66.8094,10.3093,14.9732,0.4936,0.9431,915010200.0,3.5299,2.9473,3.0,1.0,15.0,9.7224,48.79799814814815,26.465230021745924,48.79799814814815,26.465230021745924,75.26322816989406,22.33276812640222
2002-02-07,11.65,19.5167,67.5253,10.2652,14.9488,0.4915,0.9414,911099900.0,3.5299,2.9473,3.0,1.0,15.0,9.7224,48.96980825688073,26.40342168938396,48.96980825688073,26.40342168938396,75.37322994626469,22.56638656749677
2002-02-08,12.15,19.5167,60.6313,10.7058,14.9245,0.5126,0.9398,950202900.0,3.5299,2.9473,3.0,1.0,15.0,9.7224,49.075821818181815,26.30553491473855,49.075821818181815,26.30553491473855,75.38135673292037,22.770286903443264
2002-02-11,13.35,19.5167,46.1925,12.0487,14.9192,0.5632,0.9392,1044050100.0,3.5299,-0.1736,4.0,1.0,15.0,9.7224,49.04984594594595,26.18712137800767,49.04984594594595,26.18712137800767,75.23696732395362,22.86272456793828
2002-02-12,13.55,19.5167,44.0347,12.2292,14.9138,0.5716,0.9385,1059691300.0,3.5299,-0.1736,4.0,1.0,15.0,9.7224,49.00506785714286,26.073201351511003,49.00506785714286,26.073201351511003,75.07826920865386,22.93186650563186
2002-02-13,13.44,19.5167,45.2135,11.9276,14.9121,0.567,0.9362,1051088640.0,3.5299,-0.4225,4.0,1.0,15.0,9.7224,48.97151415929204,25.95899268785313,48.97151415929204,25.95899268785313,74.93050684714517,23.012521471438905
2002-02-14,14.84,19.5167,31.5142,10.12,14.9104,0.5529,0.934,1093533407.4,3.8964,13.2459,1.0,1.0,15.0,24.8299,48.81837982456141,25.895543446954907,48.81837982456141,25.895543446954907,74.71392327151631,22.922836377606497
2002-02-15,15.18,19.5167,28.5685,10.3519,14.8994,0.5656,0.9337,1118587407.3,3.8964,13.2459,1.0,1.0,15.0,24.8299,48.64229391304348,25.850775917474685,48.64229391304348,25.850775917474685,74.49306983051817,22.7915179955688
2002-02-19,15.09,19.5167,33.4493,9.6434,14.8885,0.526,0.9326,1111955466.15,3.8964,14.7268,1.0,2.0,15.0,24.8299,48.511319827586206,25.776763271463736,48.511319827586206,25.776763271463736,74.28808309904994,22.73455655612247
2002-02-20,15.03,19.5167,33.982,9.6051,14.8885,0.5239,0.9318,1107534172.05,3.8964,14.7268,1.0,2.0,15.0,24.8299,48.38713760683761,25.70054209109863,48.38713760683761,25.70054209109863,74.08767969793624,22.686595515738983
2002-02-21,14.93,19.5167,34.8794,9.5412,14.887,0.5204,0.9313,1100165348.55,3.8964,14.7268,1.0,2.0,15.0,24.8299,48.27266525423729,25.62066889156773,48.27266525423729,25.62066889156773,73.89333414580503,22.65199636266956
2002-02-22,14.96,19.5167,34.609,9.5603,14.8855,0.5215,0.9308,1102375995.6,3.8964,14.7268,1.0,2.0,15.0,24.8299,48.15784453781512,25.542605116986827,48.15784453781512,25.542605116986827,73.70044965480196,22.615239420828296
2002-02-25,14.96,19.5167,34.609,9.5603,14.8847,0.5215,0.9296,1102375995.6,3.8964,14.7268,1.0,2.0,15.0,24.8299,48.0449375,25.46511095128036,48.0449375,25.46511095128036,73.51004845128035,22.57982654871964
2002-02-26,14.75,19.5167,36.5254,9.4261,14.8839,0.5142,0.9284,1086901466.25,3.8964,14.7268,1.0,2.0,15.0,24.8299,47.949734710743805,25.380398648641275,47.949734710743805,25.380398648641275,73.33013335938509,22.56933606210253
2002-02-27,15.08,19.5167,33.5378,9.637,14.8772,0.5257,0.9268,1111218583.8,3.8964,14.7268,1.0,2.0,15.0,24.8299,47.83160409836066,25.308959906777595,47.83160409836066,25.308959906777595,73.14056400513826,22.522644191583066
2002-02-28,15.42,19.5167,30.5934,9.8543,14.8704,0.5375,0.9253,1136272583.7,3.8964,14.605,1.0,2.0,15.0,24.8299,47.69145609756098,25.25290072930804,47.69145609756098,25.25290072930804,72.94435682686901,22.438555368252945
