date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-02-18,97.84,158.0,61.4881,19.8137,24.4607,5.1515,5.0268,4158200000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-02-22,103.09,158.0,53.2641,20.8769,24.3733,5.4279,5.038,4381325000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-02-23,103.09,158.0,53.2641,20.8769,24.3644,5.4279,5.0399,4381325000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-02-24,104.4,158.0,51.341,21.1422,24.3392,5.4969,5.0468,4437000000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-02-25,107.74,158.0,46.6493,21.8186,24.3076,5.6727,5.0524,4578950000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-02-28,105.79,158.0,49.3525,21.4237,24.2084,5.5701,5.0661,4496075000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-01,103.55,158.0,52.5833,20.97,24.1976,5.4521,5.0674,4400875000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-02,103.83,158.0,52.1718,21.0267,24.1954,5.4669,5.069,4412775000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-03,101.2,158.0,56.1265,20.4941,24.19,5.3284,5.0816,4301000000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-04,99.57,158.0,58.6823,20.164,24.1619,5.2426,5.0962,4231725000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-07,99.01,158.0,59.5798,20.0506,24.066,5.2131,5.1051,4207925000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-08,98.15,158.0,60.9781,19.8765,24.0595,5.1678,5.1064,4171375000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-09,102.06,158.0,54.8109,20.6683,24.0387,5.3737,5.1137,4337550000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-10,99.49,158.0,58.8099,20.1478,23.9738,5.2384,5.1286,4228325000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-11,99.2,158.0,59.2742,20.0891,23.8932,5.2231,5.1438,4216000000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-14,101.99,158.0,54.9171,20.6541,23.8525,5.37,5.1515,4334575000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-15,103.68,158.0,52.392,20.9964,23.818,5.459,5.1533,4406400000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-16,107.47,158.0,47.0178,21.7639,23.7834,5.6585,5.1551,4567475000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-17,109.72,158.0,44.0029,22.2195,23.6713,5.777,5.1602,4663100000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-18,114.6,158.0,37.8709,23.2078,23.6066,6.0339,5.1678,4870500000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-21,111.31,158.0,41.9459,22.5415,23.2078,5.8607,5.1961,4730675000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-22,114.12,158.0,38.4508,23.1106,23.172,6.0087,5.2046,4850100000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-23,112.17,158.0,40.8576,22.7157,23.1363,5.906,5.2131,4767225000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-24,110.45,158.0,43.0512,22.3674,23.1106,5.8154,5.2131,4694125000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
2022-03-25,109.2,158.0,44.6886,22.1142,22.9334,5.7496,5.2201,4641000000.0,-18.5134,-29.1241,3.0,1.0,5.0,-21.2352
