date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-11-05,16.01,21.3333,33.2498,21.4181,23.4113,1.5604,1.1576,764669620.0,17.4387,24.6896,1.0,1.0,15.0,26.5695
2010-11-08,16.48,21.3333,29.4496,22.0468,23.4038,1.6065,1.1576,787117760.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-09,17.03,21.3333,25.2689,22.7826,23.3962,1.6601,1.1576,813386860.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-10,17.0,21.3333,25.49,22.7425,23.3056,1.6346,1.1612,800904000.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-11,17.95,21.3333,18.8485,24.0134,23.3962,1.726,1.1647,845660400.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-12,18.2,21.3333,17.2159,24.3478,23.4038,1.75,1.1717,857438400.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-15,19.02,21.3333,12.1625,25.4448,23.4113,1.8289,1.1787,896070240.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-16,18.71,21.3333,14.0208,25.0301,23.4136,1.7991,1.2032,881465520.0,17.4386,24.6896,1.0,1.0,15.0,26.5695
2010-11-17,18.74,21.4286,14.3469,25.0702,23.4158,1.7867,1.2277,882878880.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-18,19.35,21.4286,10.7421,25.8863,23.4286,1.8449,1.2317,911617200.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-19,19.2,21.4286,11.6073,25.6856,23.4415,1.8306,1.2357,904550400.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-22,19.36,21.4286,10.6849,25.8997,23.449,1.8458,1.2384,912088320.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-23,19.4,21.4286,10.4567,25.9532,23.4566,1.8497,1.241,913972800.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-24,19.49,21.4286,9.9466,26.0736,23.4566,1.8582,1.2437,918212880.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-26,19.47,21.4286,10.0596,26.0468,23.4566,1.8563,1.2464,917270640.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-29,19.49,21.4286,9.9466,26.0736,23.4642,1.8582,1.2793,918212880.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-11-30,20.0,21.4286,7.143,26.7559,23.4717,1.9069,1.3122,942240000.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-12-01,20.1,21.4286,6.61,26.8896,23.4868,1.9164,1.3148,946951200.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-12-02,20.61,21.4286,3.9719,27.5719,23.5019,1.965,1.3175,970978320.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-12-03,20.73,21.4286,3.37,27.7324,23.517,1.9765,1.3224,976631760.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-12-06,20.64,21.4286,3.8207,27.612,23.5321,1.9679,1.3273,972391680.0,17.5403,24.6896,1.0,1.0,15.0,25.427
2010-12-07,20.95,21.4286,2.2845,28.0268,23.5397,1.9974,1.3291,986996400.0,17.5403,24.6896,1.0,1.0,15.0,25.427
