date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-02-17,42.12,49.1323,16.6484,33.7068,19.8764,2.1938,2.2684,8510461493.04,5.4262,58.652,3.0,1.0,29.2,47.5515,62.10527391304348,22.628150786078976,62.10527391304348,22.628150786078976,84.73342469912245,39.4771231269645
2015-02-18,40.97,49.6431,21.1694,34.2187,19.8874,2.1881,2.2684,8278100839.74,4.775,58.0672,3.0,1.0,29.2,41.4661,61.23429787234043,23.163683141621288,61.23429787234043,23.163683141621288,84.39798101396171,38.07061473071914
2015-02-19,40.8,49.6431,21.6743,34.0767,19.8985,2.1791,2.2311,8243751873.6,4.775,58.0672,3.0,1.0,29.2,41.4661,60.41013125,23.61660764790236,60.41013125,23.61660764790236,84.02673889790236,36.79352360209764
2015-02-20,41.59,49.6431,19.3631,34.7365,19.9004,2.2212,2.2212,8403373539.78,4.775,58.0672,3.0,1.0,29.2,41.4661,59.57243673469387,24.09376184429189,59.57243673469387,24.09376184429189,83.66619857898577,35.478674890401976
2015-02-23,41.63,49.6431,12.3216,34.7699,19.9024,2.1813,2.1938,8411455649.46,4.775,58.0672,3.0,1.0,29.2,41.4661,58.62742,24.76519859520614,58.62742,24.76519859520614,83.39261859520614,33.86222140479386
2015-02-24,42.33,49.6431,10.4642,35.3545,19.9179,2.218,2.2059,8552892568.86,4.775,58.0672,3.0,1.0,29.2,41.4661,57.6830431372549,25.427013014392823,57.6830431372549,25.427013014392823,83.11005615164773,32.25603012286207
2015-02-25,42.69,49.6431,9.5327,35.9434,19.9335,2.1925,2.1938,8625631555.98,4.4023,58.3575,3.0,2.0,19.6,41.4661,56.757075,26.046910698003227,56.757075,26.046910698003227,82.80398569800323,30.710164301996773
2015-02-26,43.48,49.6431,7.5425,36.6086,19.9387,2.2331,2.2059,8785253222.16,4.4023,58.3575,3.0,2.0,19.6,41.4661,55.82849811320755,26.66634809512869,55.82849811320755,26.66634809512869,82.49484620833624,29.16215001807886
2015-02-27,44.23,49.6431,5.719,37.24,19.9439,2.2716,2.218,8936792778.66,4.4023,58.3575,3.0,2.0,19.6,41.4661,54.90054444444444,27.27959939482504,54.90054444444444,27.27959939482504,82.18014383926948,27.620945049619404
2015-03-02,44.67,49.6431,4.6776,37.6105,19.9543,2.2942,2.2196,9025695985.14,4.4023,58.3575,3.0,2.0,19.6,41.4661,53.9874,27.861376469047617,53.9874,27.861376469047617,81.8487764690476,26.126023530952377
