date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2021-11-30,197.690002,251.0,26.9665,34.0792,18.4052,3.5645,3.0034,5095616767.4116,37.3316,25.2506,3.0,1.0,5.8658,82.825
2021-12-01,190.820007,251.0,31.5376,32.8949,18.4074,3.4406,3.0073,4918537191.5106,37.3316,25.2506,3.0,1.0,5.8658,82.825
2021-12-02,198.919998,251.0,26.1814,34.2912,18.4348,3.5866,3.008,5127320890.9284,37.3316,25.2506,3.0,1.0,5.8658,82.825
2021-12-03,201.660004,251.0,24.4669,34.7636,18.4872,3.636,3.0162,5197946721.1432,37.3316,25.2506,3.0,1.0,5.8658,82.825
2021-12-06,205.679993,254.0,23.4928,36.1324,18.663,3.727,3.0426,5301565129.4894,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-07,206.070007,254.0,23.2591,36.2009,18.7045,3.7341,3.0494,5311618050.0106,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-08,208.550003,254.0,21.7933,36.6366,18.7242,3.779,3.0562,5375541916.0274,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-09,204.479996,254.0,24.2175,35.9216,18.7471,3.7053,3.0626,5270634254.0168,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-10,205.669998,254.0,23.4988,36.1306,18.7821,3.7269,3.0637,5301307500.4284,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-13,204.220001,254.0,24.3757,35.8759,18.8564,3.7006,3.0751,5263932676.4558,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-14,199.949997,254.0,27.0318,35.1258,18.8924,3.6232,3.081,5153869932.9726,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-15,202.75,254.0,25.2774,35.6177,18.9364,3.6739,3.0869,5226042233.5,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-16,198.929993,254.0,27.6831,34.9466,18.9805,3.6047,3.1006,5127578519.9894,37.1706,22.7779,4.0,1.0,5.8658,82.825
2021-12-17,200.309998,246.6,23.1092,35.189,19.0606,3.6344,3.1156,5163149244.5884,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-20,193.710007,246.6,27.3037,34.0296,19.1393,3.5146,3.1304,4993029236.1706,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-21,202.169998,246.6,21.9766,35.5158,19.1505,3.6681,3.1337,5211092221.4284,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-22,202.770004,246.6,21.6156,35.6212,19.1617,3.679,3.1549,5226557852.4832,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-23,205.020004,246.6,20.2809,36.0164,19.1786,3.7198,3.1831,5284553388.9832,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-27,204.279999,246.6,20.7167,35.8864,19.3207,3.7064,3.2165,5265479172.5442,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-28,206.009995,246.6,19.7029,36.1904,19.3407,3.7378,3.2318,5310071193.061,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-29,203.690002,246.6,21.0663,35.7828,19.3417,3.6957,3.2472,5250271531.4116,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-30,201.960007,246.6,22.1034,35.4789,19.3512,3.6643,3.265,5205679536.6706,37.1384,22.7779,4.0,1.0,5.8658,82.825
2021-12-31,201.970001,246.6,22.0973,35.4806,19.3618,3.6645,3.2707,5205937139.9558,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-03,204.899994,246.6,20.3514,35.9954,19.3754,3.7176,3.2779,5281460035.9452,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-04,208.830002,246.6,18.0865,36.6858,19.3786,3.7889,3.2793,5382759112.5716,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-05,209.360001,246.6,17.7875,36.7789,19.4086,3.7986,3.2807,5396420257.6158,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-06,211.979996,246.6,16.3317,37.2391,19.4697,3.8461,3.2814,5463952709.0168,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-07,205.75,246.6,19.8542,36.1447,19.5123,3.7331,3.2829,5303369615.5,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-10,201.5,246.6,22.3821,35.3981,19.5356,3.656,3.3046,5193822491.0,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-11,202.570007,246.6,21.7357,35.586,19.5366,3.6754,3.3076,5221402771.0106,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-12,202.0,246.6,22.0792,35.4859,19.563,3.665,3.3107,5206710388.0,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-13,202.330002,246.6,21.8801,35.5439,19.5893,3.671,3.3152,5215216451.5716,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-14,204.630005,246.6,20.5102,35.9479,19.6967,3.7127,3.3287,5274500855.099,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-18,200.770004,246.6,22.8271,35.2698,19.9874,3.6427,3.3792,5175006264.4832,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-19,196.759995,246.6,25.3304,34.5654,20.0527,3.57,3.3871,5071645098.561,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-20,192.820007,246.6,27.8913,33.8732,20.2454,3.4985,3.401,4970088779.5106,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-21,190.399994,246.6,29.5168,33.4481,20.7591,3.4546,3.4406,4907711022.9452,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-24,189.929993,246.6,29.8373,33.3655,21.217,3.446,3.4524,4895596373.9894,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-25,184.660004,246.6,33.5427,32.4397,21.2591,3.3504,3.4492,4759758223.1432,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-26,180.119995,246.6,36.9087,31.6422,21.2636,3.268,3.446,4642735886.401,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-27,178.979996,246.6,37.7808,31.4419,21.3012,3.2474,3.446,4613351507.0168,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-28,172.410004,246.6,43.0311,30.2878,21.3614,3.1282,3.446,4444004746.6432,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-01-31,180.470001,246.6,36.6432,31.7037,21.4329,3.2744,3.4524,4651757568.9558,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-01,179.899994,246.6,37.0762,31.6035,21.4409,3.2641,3.4492,4637065185.9452,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-02,175.860001,246.6,40.2252,30.8938,21.4943,3.1908,3.446,4532931158.6158,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-03,172.610001,246.6,42.8654,30.3229,21.5738,3.1318,3.446,4449159828.1158,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-04,175.410004,246.6,40.5849,30.8148,21.6046,3.1826,3.446,4521332128.6432,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-07,174.649994,246.6,41.1967,30.6813,21.6534,3.1688,3.4524,4501742267.4452,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-08,177.710007,246.6,38.7654,31.2188,21.6864,3.2243,3.4492,4580616532.1706,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-09,178.910004,246.6,37.8347,31.4296,21.7386,3.2461,3.446,4611547407.6432,37.1384,22.7779,4.0,1.0,5.8658,82.825
2022-02-10,182.5,242.0,32.6027,33.8854,21.8022,3.6947,3.4524,5222875337.5,37.3314,18.703,4.0,1.0,5.8658,33.7165
2022-02-11,177.229996,235.6,32.9346,33.1327,21.8432,3.5325,3.4546,5072055754.376,37.6735,17.0477,5.0,1.0,5.8658,33.7165
2022-02-14,180.940002,235.6,30.2089,33.8263,21.9648,3.6064,3.4711,5178230542.537,37.6735,17.0477,5.0,1.0,5.8658,33.7165
2022-02-15,183.130005,235.6,28.6518,34.2357,21.9682,3.6501,3.478,5240905132.4425,37.6735,17.0477,5.0,1.0,5.8658,33.7165
2022-02-16,187.119995,235.6,25.9085,34.9816,21.9738,3.7296,3.4849,5355092641.3075,37.6735,17.0477,5.0,1.0,5.8658,33.7165
2022-02-17,182.070007,232.6667,27.7897,33.2809,21.9886,3.6267,3.4864,5210569584.9795,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-02-18,181.770004,232.6667,28.0006,33.2261,22.0022,3.6208,3.4972,5201983950.624,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-02-22,180.5,232.6667,28.9012,32.9939,22.1307,3.5955,3.5061,5165638347.5,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-02-23,175.979996,232.6667,32.212,32.1677,22.1409,3.5054,3.5058,5036282635.626,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-02-24,185.360001,232.6667,25.5215,33.8823,22.1568,3.6923,3.5091,5304724261.8185,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-02-25,189.740005,232.6667,22.624,34.6829,22.1614,3.7795,3.5134,5430073384.3925,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-02-28,193.850006,232.6667,20.0241,35.4342,22.1909,3.8614,3.5234,5547695427.461,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-01,188.220001,232.6667,23.6142,34.4051,22.2466,3.7492,3.5322,5386573157.5185,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-02,196.0,232.6667,18.7075,35.8272,22.3023,3.9042,3.5324,5609225020.0,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-03,198.210007,232.6667,17.3839,36.2312,22.3045,3.9482,3.5366,5672472094.2795,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-04,196.139999,232.6667,18.6228,35.8528,22.3364,3.907,3.5416,5613231580.6815,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-07,189.289993,232.6667,22.9155,34.6007,22.35,3.7706,3.5495,5417194718.2205,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-08,188.149994,232.6667,23.6602,34.3923,22.3693,3.7479,3.5549,5384569662.539,37.6834,17.3678,5.0,1.0,5.8658,31.5593
2022-03-09,191.589996,233.0,21.6139,35.5501,22.3886,3.8207,3.5597,5483017342.576,37.6951,17.2118,6.0,1.0,5.8658,31.5593
2022-03-10,191.460007,235.1667,22.8281,35.9212,22.3932,3.8146,3.5672,5479297253.0295,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-11,192.550003,235.1667,22.1328,36.1257,22.4227,3.8364,3.571,5510491298.1055,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-14,186.929993,235.1667,25.8047,35.0713,22.4284,3.7244,3.5758,5349655070.0205,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-15,190.100006,235.1667,23.7068,35.666,22.4318,3.7876,3.5806,5440376071.211,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-16,194.449997,235.1667,20.9394,36.4822,22.4477,3.8742,3.586,5564866266.8945,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-17,198.919998,235.1667,18.2217,37.3208,22.4682,3.9633,3.591,5692790968.163,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-18,202.300003,235.1667,16.2465,37.955,22.5341,4.0306,3.5968,5789521624.3555,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-21,199.309998,235.1667,17.9904,37.394,22.5455,3.9711,3.5994,5703952181.213,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-22,201.830002,235.1667,16.5172,37.8668,22.5568,4.0213,3.6,5776070903.087,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-23,198.330002,235.1667,18.5734,37.2101,22.5682,3.9515,3.6006,5675906170.587,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-24,196.679993,235.1667,19.5682,36.9006,22.6182,3.9187,3.602,5628685396.2705,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-25,194.880005,235.1667,20.6726,36.5629,22.6205,3.8828,3.6038,5577172448.6925,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-28,193.240005,235.1667,21.6967,36.2552,22.6568,3.8501,3.6062,5530238116.8925,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-29,199.399994,235.1667,17.9372,37.4109,22.6602,3.9728,3.6064,5706527731.289,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-30,194.509995,235.1667,20.9021,36.4934,22.6636,3.8754,3.6069,5566583319.3575,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-03-31,193.880005,235.1667,21.295,36.3752,22.6727,3.8629,3.6141,5548553953.6925,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-01,195.550003,235.1667,20.2591,36.6886,22.6932,3.8961,3.622,5596346783.1055,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-04,194.690002,235.1667,20.7903,36.5272,22.775,3.879,3.6264,5571734848.787,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-05,187.089996,235.1667,25.6971,35.1013,22.7772,3.7276,3.6267,5354234115.076,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-06,180.880005,235.1667,30.0125,33.9362,22.7795,3.6039,3.6264,5176513518.6925,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-07,180.910004,235.1667,29.991,33.9418,22.8091,3.6045,3.6264,5177372044.924,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-08,178.100006,235.1667,32.0419,33.4146,22.8477,3.5485,3.6264,5096954131.211,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-11,179.690002,235.1667,30.8736,33.7129,22.9477,3.5801,3.628,5142457423.787,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-12,179.690002,235.1667,30.8736,33.7129,22.9488,3.5801,3.6267,5142457423.787,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-13,183.369995,235.1667,28.2471,34.4034,22.95,3.6535,3.628,5247773285.0575,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-14,180.660004,235.1667,30.1709,33.8949,22.9705,3.5995,3.628,5170217421.174,37.8643,16.4664,5.0,1.0,5.8658,31.5593
2022-04-18,178.580002,235.1667,31.687,33.7032,23.41,3.5671,3.632,5110690894.337,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-19,185.720001,235.1667,26.6243,35.0508,23.4154,3.7097,3.6324,5315026920.0185,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-20,187.759995,235.1667,25.2486,35.4358,23.4198,3.7505,3.6328,5373408478.1075,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-21,185.240005,235.1667,26.9524,34.9602,23.4241,3.7001,3.6336,5301290156.8925,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-22,180.229996,235.1667,30.4814,34.0146,23.7415,3.6,3.6336,5157911239.376,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-25,178.830002,235.1667,31.5029,33.7504,23.9822,3.5721,3.6352,5117845518.087,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-26,169.240005,235.1667,38.9546,31.9405,24.0524,3.3805,3.6344,4843394236.8925,37.7045,16.2231,5.0,1.0,5.8658,31.4158
2022-04-27,170.039993,229.4286,34.9263,32.0123,24.1227,3.3978,3.6336,4866288689.4705,37.5605,17.0948,6.0,1.0,5.8658,31.4158
2022-04-28,173.679993,229.4286,32.0985,32.6976,24.2184,3.4705,3.6336,4970460011.2705,37.5605,17.0948,6.0,1.0,5.8658,31.4158
2022-04-29,168.350006,229.4286,36.2807,31.6942,24.2705,3.364,3.6336,4817923804.961,37.5605,17.0948,6.0,1.0,5.8658,31.4158
2022-05-02,169.649994,229.4286,35.2364,31.9389,24.3279,3.39,3.6352,4855127505.039,37.5605,17.0948,6.0,1.0,5.8658,31.4158
2022-05-03,171.869995,229.4286,33.4896,32.3569,24.3422,3.4343,3.6344,4918660592.5575,37.5605,17.0948,6.0,1.0,5.8658,31.4158
2022-05-04,178.229996,229.4286,28.7261,33.5542,24.3565,3.5614,3.6336,5100674249.376,37.5605,17.0948,6.0,1.0,5.8658,31.4158
2022-05-05,170.580002,229.4286,34.4991,32.0766,24.3693,3.4086,3.6336,4881742934.337,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-06,167.190002,229.4286,37.2263,31.4391,24.3942,3.3408,3.6336,4784726236.287,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-09,162.589996,229.4286,41.1087,30.5741,24.538,3.2489,3.6352,4653080987.576,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-10,161.660004,229.4286,41.9204,30.3992,24.551,3.2303,3.6344,4626466016.174,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-11,155.740005,229.4286,47.3151,29.286,24.5639,3.112,3.6336,4457044554.3925,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-12,159.550003,229.4286,43.7973,30.0024,24.6363,3.1881,3.6336,4566080963.1055,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-13,159.649994,229.4286,43.7072,30.0212,24.7168,3.1901,3.6336,4568942555.039,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-16,159.600006,229.4286,43.7523,30.0118,24.7302,3.1891,3.6352,4567511973.711,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-17,163.210007,229.4286,40.5726,30.6907,24.7856,3.2613,3.6344,4670824769.2795,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-18,157.410004,229.4286,45.7522,29.6,24.8409,3.1454,3.6336,4504837412.424,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-19,157.619995,229.4286,45.5581,29.6395,24.8855,3.1496,3.6336,4510847038.8075,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-20,157.360001,229.4286,45.7986,29.5906,24.8989,3.1444,3.6336,4503406401.8185,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-23,162.050003,229.4286,41.5789,30.4726,24.9469,3.2381,3.6352,4637627200.6055,37.5605,17.135,6.0,1.0,5.8658,31.4158
2022-05-24,160.410004,229.4286,43.0264,30.1642,24.9821,3.2053,3.6344,4590692897.424,37.5605,17.135,6.0,1.0,5.8658,31.4158
