date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-11-01,15.79,30.0,58.3281,47.2826,17.1304,16.6022,45.4146,693970500.0,32.328,-23.2193,2.0,1.0,20.0,-38.7751,54.079334420289854,36.93454272459186,87.09516666666667,27.06886629061221,91.01387714488172,60.02630037605447
2002-11-04,16.98,30.0,47.232,47.2826,17.1304,17.8534,45.389,746271000.0,32.328,-23.2193,2.0,1.0,20.0,-38.7751,54.054614801444046,36.86986709304892,86.9000134920635,27.267771842402865,90.92448189449296,59.63224164966063
2002-11-05,16.98,20.0,17.7856,47.2826,17.1304,17.8534,45.2636,746271000.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.92415071942446,36.86748389198576,86.61381825396825,27.801489147187528,90.79163461141022,58.81232910678072
2002-11-06,17.49,20.0,14.3511,47.2826,17.1304,18.3896,45.1381,768685500.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.78231182795699,36.87729812018211,86.24265952380952,28.449226358367472,90.65960994813908,57.79343316544205
2002-11-07,17.07,20.0,17.1646,47.2826,17.1304,17.948,44.8614,750226500.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.65153428571429,36.87613824122181,85.81199285714287,29.07903193721604,90.5276725269361,56.73296091992683
2002-11-08,16.61,20.0,20.4094,47.2826,17.1304,17.4643,44.5847,730009500.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.53323487544484,36.86360659044355,85.45435634920634,29.60356924206405,90.3968414658884,55.85078710714228
2002-11-11,16.02,20.0,24.8439,47.2826,17.1304,16.844,44.5606,704079000.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.43149964539007,36.837591848048106,85.17533968253967,30.00830658435518,90.26909149343815,55.16703309818449
2002-11-12,16.09,20.0,24.3008,47.2826,17.1304,16.9176,44.5366,707155500.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.328564310954064,36.81296871692496,84.88520396825398,30.41921408532551,90.14153302787903,54.46598988292847
2002-11-13,15.99,20.0,25.0782,47.2826,17.1304,16.8125,44.4124,702760500.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.2290911971831,36.78608627899812,84.52199285714286,30.85827468921019,90.01517747618122,53.66371816793267
2002-11-14,16.0,20.0,25.0,47.2826,17.1304,16.823,44.2882,703200000.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.13004175438597,36.75931683128978,84.22635873015872,31.249313435162136,89.88935858567575,52.977045294996586
2002-11-15,16.05,20.0,24.6106,47.2826,17.1304,16.8755,44.2415,705397500.0,31.2942,-21.7968,2.0,1.0,20.0,-35.6449,53.03032342657343,36.73350059672013,83.87545952380952,31.669068481821032,89.76382402329357,52.206391041988496
2002-11-18,16.66,22.5,35.054,47.2826,17.1304,17.5169,44.1948,732207000.0,31.2942,-21.7917,2.0,1.0,20.0,-35.6449,52.96768815331011,36.68457456200417,83.51559523809524,31.965150343039195,89.65226271531428,51.550444895056046
2002-11-19,16.45,22.5,36.7781,47.2826,17.1304,17.2961,44.189,722977500.0,31.2942,-22.0251,2.0,1.0,20.0,-35.6449,52.91147430555556,36.63303205491569,83.20304285714285,32.22909617226878,89.54450636047125,50.97394668487407
2002-11-20,17.61,22.5,27.7683,47.2826,17.1304,18.5158,44.1832,773959500.0,31.2942,-22.0251,2.0,1.0,20.0,-35.6449,52.82447370242215,36.599274028727145,82.96328412698412,32.52922253953309,89.42374773114929,50.43406158745103
2002-11-21,20.71,22.5,8.6432,47.2826,17.1304,21.7752,44.1415,910204500.0,31.2942,-22.0251,2.0,1.0,20.0,-35.6449,52.67212448275862,36.62789743037714,82.43803015873016,33.18930840033466,89.30002191313577,49.2487217583955
2002-11-22,21.54,22.5,4.4568,47.2826,17.1304,22.6479,44.0998,946683000.0,31.2942,-22.0251,2.0,1.0,20.0,-35.6449,52.50643608247423,36.6737695548096,81.94061666666667,33.88295891352999,89.18020563728382,48.05765775313668
2002-11-25,22.24,22.5,1.1691,47.2826,17.1304,23.3839,44.0808,977448000.0,31.2942,-22.0251,2.0,1.0,20.0,-35.6449,52.33062328767123,36.73376185144157,81.35846587301589,34.63329445330472,89.0643851391128,46.72517141971117
