date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2016-02-19,17.34,18.4286,6.278,131.7629,72.225,7.3051,5.9831,964081180.56,11.2987,61.2963,2.0,1.0,4.4565,20.5684,11.603259523809523,5.630991965539707,12.085777777777778,8.126744820651268,17.23425148934923,3.95903295712651
2016-02-22,17.2,18.6429,8.389,74.7826,72.8,7.2461,5.9852,956297364.8,11.2987,61.2963,2.0,2.0,7.2282,20.5684,11.59328611111111,5.632226963071027,11.99079365079365,8.09919203444636,17.22551307418214,3.891601616347289
2016-02-23,17.15,18.6429,8.705,74.5652,72.9,7.1775,5.9873,953517430.6,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.579087698412698,5.630466583260765,11.882619047619048,8.050805359184526,17.209554281673462,3.83181368843452
2016-02-24,16.99,18.6429,9.7287,73.8696,73.35,7.1105,5.9971,944621641.16,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.569455952380952,5.629469555895984,11.739073015873016,7.924705546523859,17.198925508276936,3.8143674693491567
2016-02-25,17.3,18.6429,7.7624,75.2174,73.8,7.2403,6.007,961857233.2,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.55423869047619,5.6293739371731135,11.551413492063492,7.732864633460002,17.183612627649303,3.8185488586034895
2016-02-26,17.04,18.6429,9.4067,74.087,73.8348,7.1315,6.0125,947401575.36,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.548071825396825,5.630021962709938,11.391255555555556,7.5634644455414,17.178093788106764,3.827791110014157
2016-02-29,16.85,18.6429,10.6404,73.2609,73.8,7.052,6.0181,936837825.4,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.55167996031746,5.62885395009554,11.24325873015873,7.390945725210215,17.180533910412997,3.852313004948516
2016-03-01,17.13,18.6429,8.8319,74.4783,73.8348,7.1691,6.0197,952405456.92,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.549721626984129,5.629629639728132,11.08011984126984,7.21194077967943,17.17935126671226,3.868179061590412
2016-03-02,17.19,18.6429,8.452,74.7391,73.8696,7.1942,6.0212,955741377.96,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.544838293650791,5.63125010937146,10.9068126984127,7.006091196837037,17.176088403022252,3.9007215015756618
2016-03-03,17.13,18.6429,8.8319,74.4783,73.9098,7.1691,6.025,952405456.92,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.549288690476187,5.628211132579668,10.731696031746033,6.774371706322594,17.177499823055857,3.957324325423437
2016-03-04,17.1,18.6429,9.0228,74.3478,73.95,7.1566,6.0288,950737496.4,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.555981746031748,5.623184685020847,10.570072222222224,6.565429236717291,17.179166431052593,4.004642985504933
2016-03-07,17.24,18.6429,8.1375,74.9565,74.0185,7.2152,6.0364,958521312.16,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.559054365079366,5.620887801410425,10.40299841269841,6.352228519478611,17.17994216648979,4.0507698932198
2016-03-08,17.21,18.6429,8.326,74.8261,74.087,7.2026,6.0441,956853351.64,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.559864682539684,5.6203912149465545,10.220625396825398,6.070967236267199,17.180255897486237,4.149658160558198
2016-03-09,17.31,18.6429,7.7002,75.2609,74.2174,7.2445,6.0456,962413220.04,11.3398,61.2963,2.0,2.0,7.2282,20.5684,11.560024801587302,5.6202798833436445,10.04295,5.806734397573213,17.180304684930945,4.236215602426786
