date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-08-13,33.02,38.4444,16.4276,16.6348,16.8153,2.1591,2.1447,6924294000.0,2.5219,20.4621,8.0,1.0,6.0,278.8809
2020-08-14,33.45,38.4444,14.9309,16.8514,16.822,2.1872,2.1473,7014465000.0,2.5219,20.4621,8.0,1.0,6.0,278.8809
2020-08-17,33.42,38.4444,15.0341,16.8363,16.8287,2.1853,2.1499,7008174000.0,2.5219,20.4621,8.0,1.0,6.0,278.8809
2020-08-18,33.06,38.4444,16.2868,16.6549,16.822,2.1617,2.153,6932682000.0,2.5219,20.4621,8.0,1.0,6.0,278.8809
2020-08-19,33.58,38.4444,14.486,16.9169,16.8287,2.1957,2.1561,7041726000.0,2.5219,20.4621,8.0,1.0,6.0,278.8809
2020-08-20,33.28,38.4444,15.518,16.7472,16.822,2.1752,2.1567,6978816000.0,2.5343,20.523,8.0,1.0,6.0,278.8809
2020-08-21,33.97,38.4444,13.1716,17.1384,16.8287,2.2203,2.1574,7123509000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-08-24,33.42,38.4444,15.0341,16.8609,16.8325,2.1844,2.1576,7008174000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-08-25,32.71,38.4444,17.531,16.5027,16.8287,2.138,2.1574,6859287000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-08-26,32.65,38.4444,17.747,16.4724,16.822,2.134,2.1567,6846705000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-08-27,32.95,38.4444,16.675,16.6238,16.8153,2.1536,2.1561,6909615000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-08-28,33.23,38.4444,15.6918,16.765,16.8088,2.1719,2.1567,6968331000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-08-31,33.23,38.4444,15.6918,16.765,16.8022,2.1719,2.1574,6968331000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-09-01,33.32,38.4444,15.3794,16.8105,16.8064,2.1778,2.1576,6987204000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-09-02,33.19,38.4444,15.8313,16.7449,16.8022,2.1693,2.1577,6959943000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-09-03,32.03,38.4444,20.0262,16.1596,16.796,2.0935,2.1576,6716691000.0,2.5343,20.3907,8.0,1.0,6.0,278.8809
2020-09-04,31.64,38.4444,21.5057,15.9629,16.7898,2.068,2.1574,6634908000.0,2.5343,20.381,8.0,1.0,6.0,278.8809
2020-09-08,32.03,38.4444,20.0262,16.1141,16.7774,2.093,2.1561,6716691000.0,2.5532,20.6383,8.0,1.0,6.0,281.9363
2020-09-09,32.48,38.4444,18.3633,16.284,16.765,2.1224,2.1548,6811056000.0,2.5532,20.7396,8.0,1.0,6.0,281.9363
2020-09-10,32.38,38.4444,18.7288,16.2338,16.765,2.1159,2.1536,6790086000.0,2.5532,20.7396,8.0,1.0,6.0,281.9363
2020-09-11,32.55,38.4444,18.1088,16.3101,16.765,2.1249,2.1518,6825735000.0,2.5548,20.7589,8.0,1.0,6.0,281.9363
2020-09-14,32.51,38.4444,18.2541,16.29,16.7648,2.1223,2.1499,6817347000.0,2.5548,20.7589,8.0,1.0,6.0,281.9363
2020-09-15,32.38,38.4444,18.7288,16.2249,16.7646,2.1138,2.1473,6790086000.0,2.5548,20.7589,8.0,1.0,6.0,281.9363
