date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-03-13,31.31,36.0,14.9792,68.0652,43.8934,12.0314,6.3721,1025308570.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-16,30.81,36.0,16.8452,66.9783,43.92,11.8393,6.36,1008935070.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-17,31.35,36.0,14.8325,68.1522,44.06,12.0468,6.3661,1026618450.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-18,32.29,36.0,11.4896,70.1957,44.2,12.408,6.3721,1057400630.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-19,33.41,36.0,7.7522,72.6304,44.22,12.8383,6.3721,1094077270.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-20,32.32,36.0,11.3861,70.2609,44.24,12.4195,6.3721,1058383040.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-23,31.75,36.0,13.3858,69.0217,44.3,12.2005,6.3812,1039717250.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-24,30.6,36.0,17.6471,66.5217,44.36,11.7586,6.3843,1002058200.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-25,28.58,36.0,25.9622,62.1304,44.4,10.9823,6.4238,935909260.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-26,28.57,36.0,26.0063,62.1087,44.44,10.9785,6.4969,935581790.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-27,30.57,36.0,17.7625,66.4565,44.48,11.747,6.5912,1001075790.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-30,30.81,36.0,16.8452,66.9783,44.52,11.8393,6.6582,1008935070.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-03-31,30.36,36.0,18.5771,66.0,44.56,11.6663,6.6582,994198920.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-04-01,29.39,36.0,22.4906,63.8913,44.6,11.2936,6.6643,962434330.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-04-02,30.25,36.0,19.0083,65.7609,44.6,11.6241,6.6764,990596750.0,18.272,32.6452,1.0,1.0,15.0,23.8605
2015-04-06,29.12,32.3333,11.0347,65.6891,44.6,11.2878,6.7495,953592640.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-07,29.61,32.3333,9.1972,66.7945,44.75,11.4778,6.7556,969638670.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-08,30.71,32.3333,5.2859,69.2759,44.9,11.9042,6.7616,1005660370.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-09,30.35,32.3333,6.5348,68.4638,44.97,11.7646,6.7738,993871450.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-10,30.5,32.3333,6.0108,68.8022,45.04,11.8228,6.786,998783500.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-13,32.12,32.3333,0.6641,72.4566,45.08,12.4507,6.8529,1051833640.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-14,31.4,32.3333,2.9723,70.8324,45.12,12.1716,6.859,1028255800.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-15,32.05,32.3333,0.8839,72.2987,45.1434,12.4236,6.8651,1049541350.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-16,32.3,32.3333,0.1031,72.8626,45.1667,12.5205,6.8955,1057728100.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-17,32.09,32.3333,0.7582,72.3889,45.1667,12.4391,6.9072,1050851230.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-20,33.18,32.3333,-2.5518,74.8477,45.1667,12.8616,6.9138,1086545460.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-21,32.86,32.3333,-1.6029,74.1259,45.2,12.7376,6.9836,1076066420.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-22,33.37,36.6667,9.8792,75.2763,45.2333,12.9353,7.0535,1092767390.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-23,35.0,36.6667,4.762,78.9533,45.2767,13.5671,7.0744,1146145000.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-24,34.75,36.6667,5.5157,78.3894,45.32,13.4702,7.1064,1137958250.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-27,32.57,36.6667,12.5781,73.4717,45.38,12.6252,7.2241,1066569790.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-28,31.87,36.6667,15.0508,71.8926,45.44,12.3538,7.2836,1043646890.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-29,31.3,36.6667,17.146,70.6068,45.44,12.1329,7.3034,1024981100.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-04-30,29.51,36.6667,24.2518,66.5689,45.44,11.439,7.331,966363970.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-05-01,31.49,36.6667,16.4392,71.0354,45.47,12.2065,7.397,1031203030.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-05-04,31.12,36.6667,17.8236,70.2008,45.5,12.0631,7.4945,1019086640.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-05-05,31.1,36.6667,17.8994,70.1557,45.55,12.0553,7.4994,1018431700.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-05-06,31.98,36.6667,14.6551,72.1408,45.6,12.3965,7.4994,1047249060.0,18.2958,31.2889,1.0,1.0,15.0,23.8605
2015-05-07,37.55,37.6667,0.3108,82.837,46.05,14.0839,7.505,1256070443.05,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-08,37.39,37.6667,0.74,82.484,46.75,14.0239,7.5241,1250718345.29,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-11,38.66,37.6667,-2.5693,85.2857,47.15,14.5002,7.5462,1293200621.26,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-12,39.88,37.6667,-5.5499,87.9771,47.2333,14.9578,7.5548,1334010366.68,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-13,40.01,37.6667,-5.8568,88.2638,47.3,15.0065,7.5585,1338358946.11,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-14,41.37,37.6667,-8.9517,91.2641,47.4334,15.5166,7.5668,1383851777.07,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-15,41.63,37.6667,-9.5203,91.8376,47.7324,15.6142,7.576,1392548935.93,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-18,41.73,37.6667,-9.7371,92.0582,48.9974,15.6517,7.6388,1395893997.03,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-19,41.71,37.6667,-9.6938,92.0141,49.1,15.6442,7.6418,1395224984.81,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-20,41.99,37.6667,-10.296,92.6318,49.129,15.7492,7.6448,1404591155.89,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-21,41.19,37.6667,-8.5538,90.867,49.4456,15.4491,7.651,1377830667.09,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-22,40.88,37.6667,-7.8603,90.1831,49.7333,15.3329,7.6816,1367460977.68,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-26,40.51,37.6667,-7.0188,89.3669,49.8333,15.1941,7.7212,1355084251.61,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-27,40.38,37.6667,-6.7194,89.0801,49.9333,15.1453,7.7215,1350735672.18,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-28,40.74,37.6667,-7.5437,89.8743,50.4211,15.2803,7.7337,1362777892.14,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-05-29,40.76,37.6667,-7.5891,89.9184,50.4667,15.2879,7.7399,1363446904.36,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-01,40.07,37.6667,-5.9978,88.3962,50.5131,15.0291,7.749,1340365982.77,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-02,40.16,37.6667,-6.2084,88.5947,50.5263,15.0628,7.7521,1343376537.76,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-03,40.11,37.6667,-6.0915,88.4844,50.6316,15.0441,7.7521,1341704007.21,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-04,38.19,37.6667,-1.3703,84.2488,50.8158,14.3239,7.7552,1277478834.09,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-05,38.61,37.6667,-2.4431,85.1754,51.1974,14.4814,7.7674,1291528090.71,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-08,38.22,37.6667,-1.4477,84.315,51.6052,14.3352,7.7797,1278482352.42,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-09,37.31,37.6667,0.956,82.3075,51.7105,13.9939,7.7828,1248042296.41,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-10,38.39,37.6667,-1.8841,84.6901,51.7237,14.3989,7.7889,1284168956.29,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-11,38.46,37.6667,-2.0627,84.8445,51.7518,14.4252,7.795,1286510499.06,22.1592,34.1962,1.0,1.0,15.0,26.6517
2015-06-12,38.22,39.6667,3.7852,84.315,51.8044,14.3328,7.7994,1278482352.42,22.158,34.1962,1.0,1.0,15.0,26.6517
2015-06-15,38.75,39.6667,2.3657,85.4842,51.8842,14.5315,7.8172,1296211176.25,22.158,34.1962,1.0,1.0,15.0,26.6517
2015-06-16,37.66,39.6667,5.3285,83.0796,51.9,14.1228,7.8195,1259750010.26,22.158,34.1962,1.0,1.0,15.0,26.6517
2015-06-17,38.33,39.6667,3.4873,84.5577,51.9084,14.374,7.8195,1282161919.63,22.158,34.1962,1.0,1.0,15.0,26.6517
2015-06-18,40.0,39.6667,-0.8333,88.2418,52.0,15.0003,7.8226,1338024440.0,22.158,34.1962,1.0,1.0,15.0,26.6517
2015-06-19,39.75,39.6667,-0.2096,87.6903,52.2008,14.9065,7.8257,1329661787.25,22.158,34.1962,1.0,1.0,15.0,26.6517
2015-06-22,41.51,39.6667,-4.4406,91.5729,52.579,15.5665,7.8318,1388534862.61,22.158,34.1962,1.0,1.0,15.0,26.6517
