date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-10-22,83.79,88.0,5.0245,45.0896,30.3067,1.8352,1.086,4411952562.78,21.5212,37.264,5.0,1.0,30.9337,19.064,9.588201587301588,8.596450096341181,3.256001587301588,5.825008212951657,18.18465168364277,-2.569006625650069
2024-10-23,81.77,88.0,7.6189,44.0026,30.3128,1.791,1.0867,4305589701.14,21.5212,37.264,5.0,1.0,30.9337,19.064,9.579050992063491,8.596086146826194,3.2730174603174604,5.834665354915352,18.175137138889685,-2.561647894597892
2024-10-24,79.06,88.0,11.3079,42.5443,30.3128,1.7316,1.0867,4162894970.92,21.5212,37.264,5.0,1.0,30.9337,19.064,9.583857936507936,8.596374756836559,3.3261539682539683,5.877294482363541,18.180232693344493,-2.551140514109573
2024-10-25,77.49,88.0,13.563,41.6994,30.3128,1.6973,1.0867,4080226806.18,21.5212,37.264,5.0,1.0,30.9337,19.064,9.594953571428572,8.597897475605368,3.4190579365079365,5.9460044914928645,18.19285104703394,-2.526946554984928
2024-10-28,79.33,88.0,10.929,42.6896,30.3067,1.7376,1.086,4177111789.06,21.5212,37.264,5.0,1.0,30.9337,19.064,9.60885753968254,8.594369725220119,3.489214285714286,5.982228340111324,18.20322726490265,-2.493014054397038
2024-10-29,80.08,88.0,9.8901,43.0931,30.3128,1.754,1.0867,4216602950.56,21.5212,37.264,5.0,1.0,30.9337,19.064,9.62864781746032,8.583482148998868,3.546805555555556,6.0087957796721385,18.212129966459187,-2.4619902241165827
2024-10-30,79.94,88.0,10.0826,43.0178,30.3147,1.7509,1.0869,4209231267.08,21.5212,37.264,5.0,1.0,30.9337,19.064,9.646450396825395,8.575079720200462,3.596833333333333,6.036920167396353,18.221530117025857,-2.44008683406302
2024-10-31,78.73,88.0,11.7744,42.3667,30.3147,1.7244,1.0869,4145518859.86,21.5212,37.264,5.0,1.0,30.9337,19.064,9.664729166666667,8.569765267766378,3.664140476190476,6.080631897112783,18.23449443443305,-2.4164914209223065
2024-11-01,78.75,88.0,11.746,42.3774,30.3147,1.7249,1.0869,4146571957.5,21.5212,37.264,5.0,1.0,30.9337,19.064,9.681644642857144,8.565433059503194,3.7342468253968257,6.122674511272559,18.247077702360336,-2.3884276858757327
2024-11-04,78.06,88.0,12.7338,42.0061,30.3067,1.7097,1.086,4110240088.92,21.5212,37.264,5.0,1.0,30.9337,19.064,9.70311746031746,8.55947846349128,3.820978571428572,6.172336577518595,18.26259592380874,-2.3513580060900234
2024-11-05,80.89,88.0,8.7897,43.529,30.3128,1.7717,1.0867,4259253404.98,21.5212,37.264,5.0,1.0,30.9337,19.064,9.704886111111112,8.55919688209164,3.902249206349208,6.169788258560921,18.264082993202752,-2.2675390522117143
2024-11-06,90.93,91.6667,0.8102,47.6497,30.3147,1.93,1.0869,4787908420.26,21.7392,37.3684,5.0,1.0,42.674,18.8983,9.695737499999998,8.56624607465913,3.9044642857142855,6.1686182553495,18.261983574659126,-2.264153969635214
2024-11-07,92.66,91.6667,-1.072,48.5563,30.3147,1.9667,1.0869,4879001366.12,21.7392,37.3684,5.0,1.0,42.674,18.8983,9.68119484126984,8.578307715951672,3.907903174603175,6.165698373821628,18.25950255722152,-2.257795199218453
2024-11-08,94.46,91.6667,-2.9571,49.4996,30.3147,2.0049,1.0869,4973780153.72,21.7375,37.3684,5.0,1.0,42.674,18.8983,9.657258333333331,8.596725026767754,3.8416507936507935,6.1944207639807765,18.25398336010109,-2.352769970329983
2024-11-11,95.77,91.6667,-4.2845,50.186,30.3147,2.0327,1.086,5042758049.14,21.7375,37.3684,5.0,1.0,42.674,18.8983,9.628385912698413,8.619079590225644,3.75694365079365,6.232174172026659,18.24746550292405,-2.475230521233009
2024-11-12,94.51,91.6667,-3.0085,49.5258,30.3166,2.006,1.0867,4976412897.82,21.7375,37.3684,5.0,1.0,42.674,18.8983,9.59499503968254,8.635389667661858,3.684816666666667,6.257616692367535,18.2303847073444,-2.572800025700868
2024-11-13,91.37,91.6667,0.3247,47.8803,30.3251,1.9393,1.0869,4811076568.34,21.7375,37.3684,5.0,1.0,42.674,18.8983,9.587925396825398,8.641527680154057,3.670913492063492,6.263162255287126,18.229453076979453,-2.5922487632236337
2024-11-14,89.24,91.6667,2.7193,46.7641,30.3404,1.8941,1.0869,4698921669.68,21.7375,37.3684,5.0,1.0,42.674,18.8983,9.58520634920635,8.643476508104973,3.63994365079365,6.258101268908659,18.228682857311323,-2.618157618115008
2024-11-15,88.52,91.6667,3.5548,46.3455,30.3486,1.8716,1.0869,4661010154.64,21.7685,37.3734,5.0,1.0,42.674,18.8983,9.582050793650794,8.645390784899071,3.600831746031746,6.242973145771246,18.227441578549865,-2.6421413997395
2024-11-18,90.1,92.1667,2.2938,47.1728,30.3505,1.905,1.0867,4744204868.2,21.9471,36.5706,5.0,1.0,42.674,18.8983,9.582873412698412,8.644676087802795,3.5790777777777776,6.242712007938458,18.22754950050121,-2.6636342301606803
2024-11-19,93.0,92.1667,-0.896,48.6911,30.3568,1.9663,1.0869,4896904026.0,21.9471,36.5706,5.0,1.0,42.674,18.8983,9.575947619047618,8.651681394984015,3.5372166666666667,6.254980799685702,18.227629014031635,-2.717764133019036
2024-11-20,91.31,92.1667,0.9382,47.8063,30.3631,1.9306,1.0872,4807917275.42,21.9471,36.5706,5.0,1.0,42.674,18.8983,9.572419246031746,8.654846450352066,3.5272269841269845,6.25814283340216,18.22726569638381,-2.7309158492751755
2024-11-21,96.85,98.8333,2.0478,38.6164,30.3735,1.8166,1.0872,5093374816.4,16.6025,24.0287,5.0,1.0,42.674,9.8178,9.571168055555557,8.655890586154301,3.521330158730159,6.259192256874681,18.227058641709856,-2.737862098144522
2024-11-22,99.98,98.8333,-1.1469,39.8628,30.3911,1.8753,1.0872,5257982593.12,16.6394,24.1047,5.0,1.0,42.674,9.8178,9.566835714285714,8.66071578138888,3.5289833333333336,6.25283651501275,18.2275514956746,-2.7238531816794165
