date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-01-21,147.55,161.125,9.2003,21.7465,19.8963,3.9613,3.5508,14903435300.0,6.92,9.3532,7.0,4.0,11.95,66.3534,5.066417261904762,4.162372001057548,1.5815873015873017,4.462691813477287,9.22878926296231,-2.881104511889985
2015-01-22,150.23,161.125,7.2522,22.1415,19.9099,4.0333,3.5509,15174131380.0,6.92,9.3532,7.0,4.0,11.95,66.3534,5.07504246031746,4.1623884456340585,1.577899206349206,4.457770160400724,9.23743090595152,-2.8798709540515177
2015-01-23,149.7,161.125,7.6319,22.0634,19.9142,4.019,3.5519,15120598200.0,6.92,9.3532,7.0,4.0,11.95,66.3534,5.083779365079365,4.163126154726648,1.5763873015873016,4.45566713101385,9.246905519806011,-2.8792798294265483
2015-01-26,155.7,164.125,5.411,20.9963,19.9173,4.0443,3.5544,15744695400.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.0896638888888885,4.161484878979737,1.55605,4.432020114697104,9.251148767868624,-2.875970114697104
2015-01-27,157.18,164.125,4.4185,21.1959,19.9197,4.0827,3.555,15894355960.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.093972619047618,4.159659496736583,1.5543682539682535,4.430884266466894,9.2536321157842,-2.87651601249864
2015-01-28,154.56,164.125,6.1885,20.8425,19.9221,4.0147,3.5555,15629416320.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.093414484126984,4.159493392741748,1.5590468253968253,4.435497984139952,9.252907876868733,-2.8764511587431265
2015-01-29,156.43,164.125,4.9191,21.0947,19.9333,4.0632,3.5567,15818514460.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.091578373015873,4.159365430586364,1.5688841269841272,4.441609000484595,9.250943803602237,-2.872724873500468
2015-01-30,154.34,164.125,6.3399,20.8129,19.9352,4.009,3.5572,15607169480.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.088498214285714,4.157861804866282,1.5700071428571427,4.4428066178788725,9.246360019151997,-2.87279947502173
2015-02-02,157.3,164.125,4.3388,21.212,19.944,4.0858,3.5586,15906490600.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.08097380952381,4.155775622542484,1.5517238095238095,4.426475113467634,9.236749432066294,-2.8747513039438246
2015-02-03,159.66,164.125,2.7966,21.5303,19.9508,4.1471,3.5594,16145138520.0,4.9702,7.1635,4.0,4.0,11.475,5.9605,5.07369880952381,4.156560376797395,1.531975396825397,4.415222951157685,9.230259186321206,-2.883247554332288
2015-02-04,158.12,164.125,3.7977,21.3226,19.9575,4.1071,3.5602,15989410640.0,4.9702,7.1635,4.0,3.0,10.3,5.9605,5.065155555555556,4.1547452469299335,1.5130396825396826,4.400204478304666,9.21990080248549,-2.887164795764983
2015-02-05,162.11,164.125,1.243,21.8245,19.9577,4.2023,3.5614,16392887420.0,4.9698,7.1647,4.0,3.0,10.3,5.9605,5.053765873015873,4.157343639690432,1.4697142857142858,4.375510055090038,9.211109512706305,-2.905795769375752
2015-02-06,161.12,164.125,1.8651,21.6912,19.959,4.1767,3.5617,16292776640.0,4.9698,7.1647,4.0,3.0,10.3,5.9605,5.044731150793651,4.159319045501026,1.4372492063492064,4.357095813180966,9.204050196294675,-2.91984660683176
2015-02-09,161.9,164.125,1.3743,21.7962,19.9787,4.1969,3.566,16371651800.0,4.9698,7.1647,4.0,3.0,10.3,5.9605,5.033082142857143,4.161364471436391,1.4177801587301586,4.351807783365773,9.194446614293534,-2.9340276246356147
2015-02-10,163.38,164.125,0.456,21.9954,19.979,4.2353,3.5663,16521312360.0,4.9698,7.1647,4.0,3.0,10.3,5.9605,5.021251587301588,4.16589090927605,1.3875984126984129,4.345127987877596,9.18714249657764,-2.9575295751791835
2015-02-11,163.38,164.125,0.456,21.9954,19.9794,4.2353,3.5666,16521312360.0,4.9698,7.1647,4.0,3.0,10.3,5.9605,5.009030952380952,4.170237502563477,1.3544738095238096,4.3361139787819605,9.17926845494443,-2.981640169258151
2015-02-12,165.07,164.125,-0.5725,22.223,19.9873,4.2791,3.5671,16692208540.0,4.9698,7.1647,4.0,3.0,10.3,5.9605,4.995565873015874,4.177289602134943,1.3201126984126983,4.334076957470554,9.172855475150817,-3.013964259057856
2015-02-13,166.23,164.125,-1.2663,22.3791,20.0064,4.3115,3.5685,16809510060.0,4.9291,7.1641,4.0,3.0,10.3,5.9605,4.9810936507936505,4.1863319107966745,1.283915079365079,4.336499713807272,9.167425561590324,-3.0525846344421925
2015-02-17,167.82,164.125,-2.2018,22.5932,20.0102,4.3527,3.5703,16970294040.0,4.9291,7.1641,4.0,3.0,10.3,5.9605,4.964905753968254,4.198308200694396,1.2362325396825395,4.341571634951156,9.16321395466265,-3.105339095268616
