date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2016-11-11,5.11,10.25,100.5871,23.834,23.834,0.8566,0.9995,537020120.0,39.9124,38.9198,6.0,1.0,-57.4901,433.8574,112.0392408496732,44.412968791780514,104.2801507936508,24.74676560196971,156.45220964145372,79.53338519168109
2016-11-14,4.98,10.25,105.8233,23.2276,23.5308,0.8348,0.9989,523358160.0,39.9124,38.9198,6.0,1.0,-57.4901,433.8574,112.018993485342,44.34175838118491,104.19980555555556,24.7250089101064,156.36075186652693,79.47479664544916
2016-11-15,4.91,10.25,108.7576,22.9011,23.2276,0.823,0.9983,516001720.0,39.9124,38.9198,6.0,1.0,-57.4901,433.8574,112.00840454545455,44.26987167751113,104.14842301587302,24.708621026442124,156.27827622296567,79.43980198943089
2016-11-16,4.85,10.25,111.3402,19.8445,23.0643,0.8102,0.9982,509696200.0,39.8764,64.5937,6.0,1.0,-57.4901,433.8574,112.00624207119742,44.19796292110935,104.1287753968254,24.70185563350781,156.20420499230676,79.42691976331757
2016-11-17,4.8,10.25,113.5417,19.6399,22.9011,0.8018,0.9982,504441600.0,39.8764,64.5937,6.0,1.0,-57.4901,433.8574,112.01119516129032,44.12647340149476,104.13493174603174,24.7041220354162,156.13766856278508,79.43080971061553
2016-11-18,4.98,10.25,105.8233,20.9596,21.9303,0.8319,0.9974,523358160.0,39.8764,66.4057,6.0,1.0,-57.4901,433.8574,111.99129839228296,44.05664148522713,104.14365317460316,24.70452577535585,156.0479398775101,79.43912739924733
2016-11-21,4.82,10.25,112.6556,20.3118,20.9596,0.8052,0.9966,506543440.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.99342756410256,43.98576992045992,104.20403650793652,24.71604765650221,155.97919748456246,79.4879888514343
2016-11-22,5.05,10.25,102.9703,21.2811,21.1203,0.8436,0.9934,530714600.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.96459968051116,43.918184820467154,104.17461587301588,24.715286359819867,155.88278450097832,79.459329513196
2016-11-23,5.28,10.25,94.1288,22.2503,21.2811,0.882,0.9903,554885760.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.90779777070064,43.8595228298289,104.0930785714286,24.73147003743872,155.76732060052953,79.36160853398988
2016-11-25,5.34,10.25,91.9476,22.5032,21.7657,0.8921,0.99,561191280.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.84443206349204,43.804066436392695,104.00688412698412,24.754898770405383,155.64849849988474,79.25198535657874
2016-11-28,5.38,10.25,90.5204,22.6717,22.2503,0.8987,0.9896,565394960.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.77695094936708,43.75092900935715,103.89159126984129,24.7838261102259,155.5278799587242,79.10776515961537
2016-11-29,4.99,10.25,105.4108,21.0282,21.7657,0.8336,0.9891,524409080.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.75686845425868,43.68311138555421,103.86839682539684,24.781003372050574,155.4399798398129,79.08739345334625
2016-11-30,5.1,10.25,100.9804,21.4918,21.4918,0.852,0.9886,535969200.0,39.8764,66.4691,6.0,1.0,-57.4901,433.8574,111.72298018867926,43.6183426201528,103.82838253968256,24.78156830052861,155.34132280883205,79.04681423915393
