date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2014-09-16,11.61,15.75,35.6589,5.2203,3.1954,0.0922,0.06,371955375.0,-9.0738,39.2076,1.0,1.0,10.0,15.6058,216.4728962962963,38.018099433058325,216.4728962962963,38.018099433058325,254.49099572935464,178.454796863238
2014-09-17,12.37,16.0,29.3452,5.2895,3.1984,0.0982,0.06,396303875.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,209.78976428571428,51.40469376933802,209.78976428571428,51.40469376933802,261.19445805505234,158.38507051637626
2014-09-18,13.21,16.0,21.1204,5.6487,3.2014,0.1049,0.0601,423215375.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,203.28392413793105,61.445279057343015,203.28392413793105,61.445279057343015,264.72920319527407,141.838645080588
2014-09-19,13.39,16.0,19.4922,5.7256,3.206,0.1063,0.0602,428982125.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,197.15753333333333,69.07468293362571,197.15753333333333,69.07468293362571,266.232216266959,128.08285039970764
2014-09-22,13.58,16.0,17.8203,5.8069,3.2105,0.1078,0.0603,435069250.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,191.37246129032252,75.16479834201506,191.37246129032252,75.16479834201506,266.5372596323376,116.20766294830752
2014-09-23,14.02,16.0,14.1227,5.995,3.2165,0.1113,0.0604,449165750.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,185.83340625,80.3074915132513,185.83340625,80.3074915132513,266.1408977632513,105.52591473674867
2014-09-24,13.81,16.0,15.8581,5.9052,3.2226,0.1097,0.0605,442437875.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,180.6826393939394,84.3993836153216,180.6826393939394,84.3993836153216,265.082023009261,96.2832557786178
2014-09-25,13.3,16.0,20.3008,5.6872,3.2347,0.1056,0.0608,426098750.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,175.96552647058823,87.54392589364674,175.96552647058823,87.54392589364674,263.50945236423496,88.42160057694149
2014-09-26,13.65,16.0,17.2161,5.8368,3.2468,0.1084,0.061,437311875.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,171.42982857142857,90.32479411308027,171.42982857142857,90.32479411308027,261.75462268450883,81.1050344583483
2014-09-29,13.65,16.0,17.2161,5.8368,3.2528,0.1084,0.0611,437311875.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,167.1461138888889,92.66107105852616,167.1461138888889,92.66107105852616,259.80718494741507,74.48504283036273
2014-09-30,12.8,16.0,25.0,5.4734,3.2589,0.1016,0.0612,410080000.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,163.30432702702703,94.30624106849292,163.30432702702703,94.30624106849292,257.61056809552,68.99808595853412
2014-10-01,12.47,16.0,28.3079,5.3323,3.2589,0.099,0.0612,399507625.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,159.75178947368423,95.56609021953058,159.75178947368423,95.56609021953058,255.3178796932148,64.18569925415365
2014-10-02,12.98,16.0,23.2666,5.5503,3.2589,0.1031,0.0612,415846750.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,156.25216923076923,96.7997161544451,156.25216923076923,96.7997161544451,253.05188538521432,59.45245307632413
2014-10-03,13.09,16.0,22.2307,5.5974,3.2831,0.1039,0.0616,419370875.0,-9.3894,45.3244,2.0,2.0,7.5,29.0554,152.9016325,97.87220109859749,152.9016325,97.87220109859749,250.7738335985975,55.02943140140252
2014-10-06,13.21,15.8333,19.8584,5.7362,3.3073,0.1049,0.0621,423215375.0,-9.3894,36.259,2.0,2.0,7.5,29.0554,149.6566756097561,98.8494466761873,149.6566756097561,98.8494466761873,248.50612228594332,50.8072289335688
