date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2023-03-07,157.7,233.3333,47.9602,19.3873,25.2551,2.4213,1.3534,1567604549.4,6.9239,15.9659,4.0,1.0,10.1695,456.7406,59.47988645320197,17.50179179055927,52.479886507936506,11.297714675642103,76.98167824376124,41.1821718322944
2023-03-08,147.4,233.3333,58.2994,18.4232,25.2524,2.2632,1.3541,1465218202.8,6.3148,15.3175,4.0,1.0,10.1695,456.7406,59.476985995086,17.480322508871605,52.51722460317461,11.30919719729532,76.9573085039576,41.208027405879285
2023-03-09,143.2,233.3333,62.9422,17.8982,25.2498,2.1987,1.3553,1423468430.4,6.3148,15.3175,4.0,1.0,10.1695,456.7406,59.48547916666666,17.459677542411693,52.62623968253968,11.34317878761748,76.94515670907836,41.2830608949222
2023-03-10,143.4,233.3333,62.715,17.9232,25.1844,2.2018,1.3565,1425456514.8,6.3148,15.3175,4.0,1.0,10.1695,456.7406,59.493375305623466,17.438998908608905,52.7225246031746,11.377136255467464,76.93237421423237,41.345388347707136
2023-03-13,142.2,232.0,63.1505,17.2197,25.1191,2.1934,1.3567,1413528008.4,5.3818,13.972,5.0,1.0,10.1695,456.7406,59.502295121951214,17.418603197532274,52.858359523809526,11.39880784225574,76.92089831948348,41.45955168155378
2023-03-14,139.0,232.0,66.9065,16.8322,25.057,2.144,1.3568,1381718658.0,5.3818,13.972,5.0,1.0,10.1695,456.7406,59.5203102189781,17.401181165391435,53.05920158730159,11.421778704541593,76.92149138436955,41.63742288275999
2023-03-15,137.2,232.0,69.0962,16.6142,24.995,2.1162,1.3612,1363825898.4,5.3818,13.972,5.0,1.0,10.1695,456.7406,59.54355266990292,17.386400741637853,53.22778650793651,11.500832653719415,76.92995341154077,41.72695385421709
2023-03-16,140.6,232.0,65.0071,17.0259,24.9806,2.1687,1.3656,1397623333.2,5.3818,13.972,5.0,1.0,10.1695,456.7406,59.55678159806295,17.367368870423633,53.33533015873016,11.547398605942616,76.92415046848657,41.78793155278754
2023-03-17,135.0,232.0,71.8519,16.3478,24.9663,2.0823,1.3664,1341956970.0,5.3818,13.972,5.0,1.0,10.1695,456.7406,59.58647995169082,17.35685219631726,53.47591031746032,11.66448610271601,76.94333214800808,41.81142421474431
2023-03-20,138.2,232.0,67.8726,16.7353,24.9652,2.1317,1.3673,1373766320.4,5.3818,13.972,5.0,1.0,10.1695,456.7406,59.60644650602409,17.340648243448843,53.519482539682535,11.708194608304687,76.94709474947294,41.81128793137785
