date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-11,52.85,56.4,6.7171,24.5255,14.7232,3.1664,2.971,368915038.45,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-12,53.04,56.4,6.3348,24.6137,14.7232,3.1778,2.9722,370241317.68,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-13,53.64,56.4,5.1454,24.8921,14.7232,3.2137,2.9722,374429567.88,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-14,53.76,60.0,11.6071,24.9478,14.7232,3.2209,2.9722,375267217.92,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-15,58.92,60.0,1.833,27.3423,14.7232,3.5301,2.9732,411286169.64,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-18,60.02,60.0,-0.0333,27.8528,14.7309,3.596,2.9741,418964628.34,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-19,60.02,60.0,-0.0333,27.8528,14.7386,3.596,2.9741,418964628.34,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-20,59.76,60.0,0.4016,27.7321,14.7448,3.5804,2.9741,417149719.92,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-21,60.02,60.0,-0.0333,27.8528,14.751,3.596,2.9751,418964628.34,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-22,59.64,60.0,0.6036,27.6765,14.7556,3.5732,2.9761,416312069.88,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-25,59.4,60.0,1.0101,27.5651,14.7601,3.5588,2.9761,414636769.8,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-26,58.8,60.0,2.0408,27.2866,14.7601,3.5229,2.9761,410448519.6,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-27,59.4,60.0,1.0101,27.5651,14.7601,3.5588,2.9761,414636769.8,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-03-28,60.48,60.0,-0.7937,28.0663,14.7601,3.6235,2.9761,422175620.16,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-04-01,60.53,60.0,-0.8756,28.0895,14.7601,3.6265,2.9764,422524641.01,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-04-02,61.68,60.0,-2.7237,25.0834,14.7601,3.6954,2.9766,430552120.56,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-03,61.97,60.0,-3.179,25.2013,14.7601,3.7128,2.9773,432576441.49,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-04,59.95,60.0,0.0834,24.3798,14.7658,3.5918,2.978,418475999.15,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-05,61.08,60.0,-1.7682,24.8394,14.7716,3.6595,2.9788,426363870.36,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-08,61.32,60.0,-2.1526,24.937,14.773,3.6738,2.9797,428039170.44,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-09,60.24,62.4,3.5857,24.4978,14.7744,3.6091,2.9801,420500320.08,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-10,61.2,62.4,1.9608,24.8882,14.7857,3.6667,2.9805,427201520.4,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-11,60.84,62.4,2.5641,24.7418,14.797,3.6451,2.981,424688570.28,4.0792,15.8527,2.0,2.0,25.0,13.2855
2002-04-12,64.08,69.6,8.6142,29.7369,14.8123,3.8392,2.9815,447305121.36,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-04-15,63.84,69.6,9.0226,29.6255,14.8276,3.8248,2.9825,445629821.28,4.0792,14.6409,2.0,2.0,25.0,13.2855
2002-04-16,65.76,69.6,5.8394,29.8516,14.8298,3.9399,2.9836,459032221.92,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-17,64.56,69.6,7.8067,29.3068,14.8321,3.868,2.9836,450655721.52,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-18,67.2,69.6,3.5714,30.5052,14.8321,4.0261,2.9836,469084022.4,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-19,67.18,69.6,3.6023,30.4962,14.8321,4.0249,2.9836,468944414.06,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-22,66.72,69.6,4.3165,30.2873,14.833,3.9974,2.9836,465733422.24,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-23,66.96,69.6,3.9427,30.3963,14.8339,4.0117,2.9836,467408722.32,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-24,66.96,69.6,3.9427,30.3963,14.8339,4.0117,2.9836,467408722.32,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-25,66.96,69.6,3.9427,30.3963,14.8339,4.0117,2.9836,467408722.32,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-26,66.96,70.8,5.7348,30.3963,14.8408,4.0117,2.9836,467408722.32,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-29,66.84,70.8,5.9246,30.3418,14.8477,4.0046,2.9836,466571072.28,4.0792,14.6924,2.0,2.0,25.0,13.2855
2002-04-30,67.15,70.8,5.4356,30.9319,14.8477,4.0231,2.9836,468735001.55,4.0792,14.6285,2.0,2.0,25.0,13.2855
2002-05-01,67.2,70.8,5.3571,30.5052,14.8477,4.0458,2.9836,471379977.6,4.0792,14.7001,2.0,2.0,25.0,13.2855
2002-05-02,69.6,70.8,1.7241,31.5947,14.8477,4.1903,2.9836,488214976.8,4.0792,14.7001,2.0,2.0,25.0,13.2855
