date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-04-08,33.09,3.5194,-89.3642,154.3377,105.0111,3.5931,2.5571,8479652102.67,7.872,7.501,3.0,1.0,14.0,11.7449
2002-04-09,33.71,3.5123,-89.5808,157.2295,105.0391,3.6533,2.5602,8638533465.73,8.0898,7.501,3.0,1.0,14.0,11.7449
2002-04-10,36.47,3.6278,-90.0526,148.6145,105.0391,3.5726,2.5633,9345811791.61,6.296,8.1507,2.0,1.0,14.0,9.5542
2002-04-11,35.33,3.7129,-89.4908,144.5581,105.0391,3.4609,2.569,9053675091.79,6.296,8.1232,2.0,1.0,14.0,9.5542
2002-04-12,35.12,3.7129,-89.428,145.4244,105.0391,3.4404,2.5747,8999860436.56,6.296,8.0804,2.0,1.0,14.0,9.5542
2002-04-15,35.03,3.7129,-89.4008,146.6304,105.0111,3.4278,2.5747,8976797012.89,7.2743,8.4432,3.0,1.0,14.0,9.5542
2002-04-16,36.1,3.7129,-89.715,151.1093,105.0391,3.5325,2.5747,9250995494.3,7.2743,8.4432,3.0,1.0,14.0,9.5542
2002-04-17,36.37,3.7129,-89.7913,152.2394,105.0391,3.5589,2.5769,9320185765.31,7.2743,8.4432,3.0,1.0,14.0,9.5542
2002-04-18,36.42,3.7129,-89.8053,152.4487,105.0391,3.5638,2.5791,9332998778.46,7.2743,8.4432,3.0,1.0,14.0,9.5542
2002-04-19,38.22,3.7129,-90.2855,159.9833,105.0391,3.7399,2.5822,9794267251.86,7.2743,8.438,3.0,1.0,14.0,9.5542
2002-04-22,37.77,3.7129,-90.1697,157.0478,105.0111,3.6959,2.5852,9678950133.51,7.2743,8.4394,3.0,1.0,14.0,9.5507
2002-04-23,37.77,3.7129,-90.1697,157.0478,105.0391,3.6959,2.628,9678950133.51,7.2743,8.4394,3.0,1.0,14.0,9.5507
2002-04-24,36.51,3.7129,-89.8305,151.8087,105.0391,3.5726,2.6707,9356062202.13,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-04-25,35.43,3.7129,-89.5205,147.3181,105.0391,3.4669,2.6872,9079301118.09,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-04-26,34.68,3.7129,-89.2938,144.1996,105.0391,3.3935,2.7038,8887105920.84,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-04-29,34.11,3.7129,-89.1149,141.8295,105.0391,3.3378,2.7038,8741037570.93,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-04-30,33.8,3.7129,-89.0151,140.5405,105.0391,3.3074,2.7038,8661596889.4,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-05-01,34.03,3.7129,-89.0893,141.4969,105.0391,3.3299,2.7038,8720536749.89,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-05-02,33.77,3.7129,-89.0053,140.4158,105.0391,3.3045,2.7038,8653909081.51,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-05-03,35.0,3.7129,-89.3917,145.5301,105.0391,3.4248,2.7038,8969109205.0,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-05-06,34.63,3.7129,-89.2784,143.9917,105.0391,3.3886,2.7038,8874292907.69,7.2743,8.4394,3.0,1.0,14.0,10.5292
2002-05-07,34.63,3.7129,-89.2784,144.6533,105.0391,3.4037,2.7083,8874292907.69,7.2621,8.431,3.0,1.0,14.0,10.5292
2002-05-08,34.67,3.7129,-89.2907,144.8204,105.0391,3.3963,2.7128,8854900433.54,7.2621,8.431,3.0,1.0,14.0,10.5292
2002-05-09,36.0,3.7129,-89.6864,150.0,105.0391,3.5266,2.7276,9194589432.0,7.2621,8.6512,3.0,1.0,14.0,18.5971
2002-05-10,36.21,3.7129,-89.7462,150.875,105.0391,3.5348,2.7425,9248224537.02,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-13,35.67,3.7129,-89.591,148.625,105.0391,3.482,2.758,9110305695.54,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-14,35.17,3.7129,-89.443,146.5417,105.0391,3.4332,2.7734,8982603064.54,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-15,35.87,3.7129,-89.649,149.4583,105.0391,3.5016,2.7794,9161386747.94,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-16,36.51,3.7129,-89.8305,152.125,105.0391,3.564,2.7853,9324846115.62,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-17,36.5,3.7129,-89.8277,152.0833,105.0391,3.5631,2.7904,9322292063.0,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-20,35.87,3.7129,-89.649,149.4583,105.0391,3.5016,2.7954,9161386747.94,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-21,35.99,3.7129,-89.6835,149.9583,105.0391,3.5133,2.7984,9192035379.38,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-22,36.2,3.7129,-89.7434,150.8333,105.0391,3.5338,2.8015,9245670484.4,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-23,36.33,3.7129,-89.7801,151.375,105.0391,3.5465,2.8087,9278873168.46,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-24,36.33,3.7129,-89.7801,151.375,105.0391,3.5465,2.8159,9278873168.46,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-28,35.7,3.7129,-89.5997,148.75,105.0391,3.485,2.8159,9117967853.4,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-29,33.43,3.7129,-88.8935,139.2917,105.0391,3.2634,2.8159,8538197908.66,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-30,34.49,3.7129,-89.2349,143.7083,105.0391,3.3669,2.8159,8808927486.38,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-05-31,35.33,3.7129,-89.4908,147.2083,105.0391,3.4489,2.8159,9023467906.46,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-03,35.33,3.7129,-89.4908,147.2083,105.0391,3.4489,2.819,9023467906.46,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-04,35.69,3.7129,-89.5968,148.7083,105.0391,3.484,2.822,9115413800.78,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-05,34.0,3.7129,-89.0797,141.6667,105.0391,3.319,2.832,8683778908.0,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-06,34.83,3.7129,-89.3399,145.125,105.0391,3.4,2.8419,8895765275.46,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-07,33.57,3.7129,-88.9398,139.875,105.0391,3.277,2.8456,8573954645.34,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-10,33.98,3.7129,-89.0733,141.5833,105.0391,3.3171,2.8492,8678670802.76,7.2638,8.6512,3.0,1.0,14.0,18.5971
2002-06-11,34.36,3.7129,-89.1941,142.9879,105.0391,3.3542,2.8492,8775724802.32,7.2638,8.8847,3.0,1.0,14.0,9.2185
2002-06-12,34.33,3.7129,-89.1847,142.8631,105.0391,3.3512,2.8492,8768062644.46,7.2638,8.8847,3.0,1.0,14.0,9.2185
2002-06-13,32.0,3.7129,-88.3972,133.2223,105.0391,3.1704,2.8514,8294888512.0,7.2638,8.8853,3.0,1.0,14.0,9.1707
2002-06-14,32.99,3.7129,-88.7454,136.3787,105.0391,3.2436,2.8537,8551511625.34,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-17,33.0,3.7129,-88.7488,136.42,105.0111,3.2445,2.8753,8554103778.0,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-18,33.0,3.7129,-88.7488,136.42,105.0391,3.2445,2.8969,8554103778.0,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-19,31.1,3.6724,-88.1916,128.5655,105.0391,3.0577,2.903,8061594772.6,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-20,31.2,3.6724,-88.2295,128.9789,105.0391,3.0676,2.9092,8087516299.2,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-21,33.33,3.6006,-89.1971,137.7842,105.0391,3.277,2.9092,8639644815.78,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-24,33.33,3.6006,-89.1971,137.7842,105.0111,3.277,2.9092,8639644815.78,7.6347,8.8775,3.0,1.0,13.0,9.1707
2002-06-25,33.33,3.6006,-89.1971,137.7842,105.0391,3.277,2.917,8639644815.78,7.6347,8.8775,3.0,1.0,13.0,9.1707
