date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2008-01-29,15.57,29.6667,90.5376,8.3338,14.5887,2.3491,3.6073,528476940.0,38.8165,39.8583,1.0,1.0,35.0,80.867,25.43256825396825,20.33014977220736,47.87919285714285,25.468452609460684,45.762718026175605,22.41074024768217
2008-01-30,15.89,29.6667,86.7004,8.5051,14.5856,2.3973,3.6058,539338380.0,38.8165,39.8583,1.0,1.0,35.0,80.867,25.5811251984127,20.503356257119044,48.12492857142857,25.69326466424329,46.084481455531744,22.431663907185275
2008-01-31,15.4,29.6667,92.6409,8.2428,14.5824,2.3234,3.6044,522706800.0,38.8165,39.8583,1.0,1.0,35.0,80.867,25.75313234126984,20.701017782048552,48.50506666666666,25.995385923659526,46.45415012331839,22.50968074300713
2008-02-01,16.06,28.6667,78.4975,6.5955,14.5818,1.9616,3.6042,545108520.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,25.894607142857147,20.817254262880034,48.77586507936508,26.129412646732927,46.71186140573718,22.64645243263216
2008-02-04,17.01,28.6667,68.5285,6.9856,14.5811,2.0777,3.6041,577353420.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,26.020302976190475,20.8830698762608,48.91153095238095,26.18763896405612,46.90337285245127,22.72389198832484
2008-02-05,15.93,28.6667,79.9542,6.5421,14.5804,1.9458,3.6037,540696060.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,26.16361051587301,21.004756088740105,49.11906746031746,26.329957462053912,47.16836660461312,22.789109998263548
2008-02-06,15.57,28.6667,84.115,6.3943,14.5797,1.9018,3.6033,528476940.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,26.313971428571428,21.14761760200365,49.34293174603175,26.507454394290296,47.46158903057508,22.83547735174145
2008-02-07,15.7,28.6667,82.5904,6.4476,14.5764,1.9177,3.6022,532889400.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,26.45995535714286,21.2814872139619,49.60843809523809,26.67239946977048,47.74144257110476,22.93603862546761
2008-02-08,15.72,28.6667,82.3581,6.4559,14.5731,1.9201,3.6011,533568240.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,26.604522023809523,21.41309425072308,49.84615,26.83053537636168,48.0176162745326,23.01561462363832
2008-02-11,15.83,28.6667,83.1965,6.501,14.5676,1.9335,3.6008,537301860.0,15.9442,21.9732,1.0,1.0,35.0,105.8949,26.74950992063492,21.548238358107948,50.08597063492064,26.993315807605526,48.29774827874287,23.09265482731511
2008-02-12,15.49,28.6667,87.2176,6.4186,14.5622,1.8891,3.6004,525761580.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,26.91291865079365,21.69369413207245,50.36611825396825,27.19491075477873,48.6066127828661,23.171207499189524
2008-02-13,15.94,28.6667,81.9322,6.6051,14.5612,1.944,3.599,541035480.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,27.058139484126983,21.81643560312859,50.54142936507937,27.32736798405888,48.87457508725558,23.214061381020485
2008-02-14,15.51,28.6667,86.9761,6.4269,14.5602,1.8915,3.5977,526440420.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,27.20580257936508,21.969394101133258,50.83704285714286,27.5192942017615,49.17519668049834,23.31774865538136
2008-02-15,15.22,28.6667,90.5388,6.3067,14.5596,1.8562,3.5963,516597240.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,27.359075,22.14091264048996,51.11448015873015,27.74281363030359,49.49998764048996,23.37166652842656
2008-02-19,14.92,28.6667,94.37,6.1824,14.5591,1.8196,3.5949,506414640.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,27.523562698412697,22.32976128098026,51.42448174603175,28.007041126100766,49.85332397939296,23.41744061993098
2008-02-20,15.48,28.6667,87.3385,6.4145,14.5582,1.8879,3.5949,525422160.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,27.675090277777777,22.47583911253616,51.74071746031746,28.186670897043665,50.150929390313934,23.5540465632738
2008-02-21,14.72,28.6667,97.0109,6.0995,14.5572,1.7952,3.5949,499626240.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,27.850229166666665,22.6710705988968,52.1239253968254,28.47214136935375,50.521299765563455,23.65178402747165
2008-02-22,14.45,28.6667,100.692,5.9877,14.5552,1.7623,3.5942,490461900.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.02825178571429,22.88946621334553,52.59752063492064,28.78056732220625,50.91771799905982,23.816953312714386
2008-02-25,14.51,28.6667,99.8622,6.0125,14.5531,1.7696,3.5936,492498420.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.190848214285715,23.10749795012923,53.06806984126984,29.065662800835604,51.298346164414944,24.002407040434235
2008-02-26,14.89,28.6667,94.7616,6.17,14.5531,1.8159,3.5935,505396380.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.339933730158727,23.29374810077247,53.5149365079365,29.271321514546145,51.6336818309312,24.24361499339036
2008-02-27,15.16,28.6667,91.2929,6.2819,14.5531,1.8489,3.5934,514560720.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.480819246031743,23.45908677483996,53.90678809523809,29.444817349325373,51.9399060208717,24.46197074591272
2008-02-28,14.9,28.6667,94.6309,6.1741,14.55,1.8171,3.5934,505735800.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.632876785714284,23.638663568003803,54.31055873015873,29.65259212299455,52.27154035371809,24.65796660716418
2008-02-29,14.87,28.6667,95.0235,6.1617,14.5468,1.8135,3.5934,504717540.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.781164285714286,23.819923283558825,54.78459206349206,29.82310216139313,52.60108756927311,24.96148990209893
2008-03-03,14.62,28.6667,98.3584,6.0581,14.5464,1.783,3.5928,496232040.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,28.93168333333333,24.018987631946928,55.34380317460317,29.9751300402608,52.95067096528026,25.368673134342377
2008-03-04,14.98,28.6667,93.5915,6.2073,14.546,1.8269,3.5921,508451160.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,29.05798630952381,24.19102508230924,55.90042698412699,30.02940235788487,53.24901139183305,25.87102462624212
2008-03-05,15.0,28.6667,93.3333,6.2156,14.5456,1.8293,3.5916,509130000.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,29.1841628968254,24.359847466460423,56.45409285714286,30.07165508709928,53.54401036328582,26.382437770043584
2008-03-06,14.88,28.6667,94.8925,6.1658,14.5452,1.8147,3.5911,505056960.0,15.9563,21.9423,1.0,1.0,35.0,105.8949,29.31324027777778,24.535042184673006,57.04537142857143,30.089333310430995,53.84828246245078,26.95603811814044
